seed,train_design,eval_background,algorithm,auc,tss,boyce
2,random,stratified,randomforest,0.7017886056911962,0.3942599174349506,0.6352901689235788
2,tgb,uniform,maxent,0.7132210552490397,0.4436943206149044,0.49145826316444136
2,tgb,uniform,xgboost,0.7240152414631633,0.4452281407620835,0.4975929126276145
2,tgb,uniform,randomforest,0.7163738848930395,0.42264663421458815,0.6426049575110057
2,tgb,tgb,maxent,0.6943960818048841,0.40214520266641607,0.5052729106574808
2,tgb,tgb,xgboost,0.7238274499612665,0.43334205920148533,0.4975929126276145
2,tgb,tgb,randomforest,0.7051949195444416,0.40578802268988945,0.6426049575110057
2,tgb,hybrid,maxent,0.7036979389418947,0.4275260048120077,0.5105983209349031
2,tgb,hybrid,xgboost,0.7178478064039728,0.4276222216688629,0.5159772185933207
2,tgb,hybrid,randomforest,0.7088480245257577,0.4050608654740123,0.6145007899524091
2,tgb,stratified,maxent,0.704937575950644,0.42700994756877364,0.4922039512463308
2,tgb,stratified,xgboost,0.7185277719245015,0.4381719982819153,0.4975929126276145
2,tgb,stratified,randomforest,0.7071034434784265,0.4186578532799242,0.6426049575110057
2,hybrid,uniform,maxent,0.6800168650819738,0.389775391257821,0.730283211543817
2,hybrid,uniform,xgboost,0.7193380014814265,0.42166990612000144,0.5582750410870807
2,hybrid,uniform,randomforest,0.7196552916283772,0.42918251528872264,0.5764776273029323
2,hybrid,tgb,maxent,0.6706982607581793,0.35259890308372344,0.737059658091584
2,hybrid,tgb,xgboost,0.718992484294397,0.40203632277668316,0.5582750410870807
2,hybrid,tgb,randomforest,0.7085417437185951,0.4191280350419741,0.5764776273029323
2,hybrid,hybrid,maxent,0.6987090287853925,0.4059724570871336,0.7317863823088484
2,hybrid,hybrid,xgboost,0.7282314244693892,0.43320770659500807,0.4781296287579864
2,hybrid,hybrid,randomforest,0.7242596645683064,0.44172871454415963,0.5673230342386011
2,hybrid,stratified,maxent,0.6748432614478943,0.38194373858754727,0.7399748996714464
2,hybrid,stratified,xgboost,0.7165712745370649,0.408709320216542,0.5582750410870807
2,hybrid,stratified,randomforest,0.7108877362314294,0.41411317247327856,0.5764776273029323
3,random,uniform,maxent,0.6953607600635328,0.3920584278495308,0.5457061886879988
3,random,uniform,xgboost,0.7031089849088961,0.41919016206901033,0.4034188073281998
3,random,uniform,randomforest,0.7055093731592941,0.40903647810450916,0.6477615429977719
3,random,tgb,maxent,0.6987571126384442,0.3962689055518525,0.5422176961556192
3,random,tgb,xgboost,0.703204216042324,0.41478907310621327,0.4034188073281998
3,random,tgb,randomforest,0.7080031484192026,0.42812971883450146,0.6477615429977719
3,random,hybrid,maxent,0.7159330540986013,0.4232782880132581,0.5837529140339214
3,random,hybrid,xgboost,0.7282606524766793,0.4586170976781049,0.56795982357322
3,random,hybrid,randomforest,0.7346364805979977,0.4582151268342514,0.6653426957435754
3,random,stratified,maxent,0.7137040696072484,0.41885146549726426,0.5868472114769653
3,random,stratified,xgboost,0.7147804047281706,0.43696578754456183,0.56795982357322
3,random,stratified,randomforest,0.7160595732416853,0.4251670208874339,0.6653426957435754
3,tgb,uniform,maxent,0.6706227184232314,0.37185985870136806,0.5727878686240075
3,tgb,uniform,xgboost,0.7139337668856042,0.4368536152745051,0.46943162439989977
3,tgb,uniform,randomforest,0.7052881645720225,0.3874549556389422,0.6408589440251037
3,tgb,tgb,maxent,0.6776359157421242,0.3758308308545201,0.5731842701937975
3,tgb,tgb,xgboost,0.7087104162596575,0.42718861711745043,0.46943162439989977
3,tgb,tgb,randomforest,0.7024669024429586,0.40855375247260506,0.6408589440251037
3,tgb,hybrid,maxent,0.7070268352972855,0.42788294713965874,0.6382349805478059
3,tgb,hybrid,xgboost,0.7388364303319059,0.4727121557286805,0.5135405125366868
3,tgb,hybrid,randomforest,0.7350817601831527,0.4511107397357718,0.6295866318055502
3,tgb,stratified,maxent,0.6940054050994291,0.3985423749012402,0.6402184871892804
3,tgb,stratified,xgboost,0.7165288081695967,0.43810271453958016,0.5135405125366868
3,tgb,stratified,randomforest,0.7136731621145543,0.4105632731751416,0.6295866318055502
3,hybrid,uniform,maxent,0.645432479966294,0.31134982730103966,0.6242407411301981
3,hybrid,uniform,xgboost,0.6920512636818017,0.3813899766790346,0.5195263249665947
3,hybrid,uniform,randomforest,0.6895195292145201,0.3898556979784087,0.6053650488109044
3,hybrid,tgb,maxent,0.6572873521046623,0.3333488623489032,0.6146480121235464
3,hybrid,tgb,xgboost,0.69903356140794,0.4026785975545356,0.5195263249665947
3,hybrid,tgb,randomforest,0.693830633524096,0.39919700183953,0.6053650488109044
3,hybrid,hybrid,maxent,0.7292346802816413,0.420439476820974,0.6138832778947736
3,hybrid,hybrid,xgboost,0.7591273440354307,0.47264941962276047,0.5746827460525928
3,hybrid,hybrid,randomforest,0.7467183475671921,0.4691122139967595,0.6103138662517889
3,hybrid,stratified,maxent,0.6603671334775363,0.3247060492861242,0.671569101800382
3,hybrid,stratified,xgboost,0.7123106707525022,0.40038619686932647,0.552760371979574
3,hybrid,stratified,randomforest,0.7122000702697113,0.4178512691612789,0.5785548203767348
4,random,uniform,maxent,0.7029478412942995,0.41784530445451457,0.6877592062674996
4,random,uniform,xgboost,0.7195493552418789,0.4254418657932283,0.46677405765165486
4,random,uniform,randomforest,0.7109678145540308,0.42508346711513073,0.6278494124171599
4,random,tgb,maxent,0.6838487465922437,0.3913943752538354,0.673081720793616
4,random,tgb,xgboost,0.7163670581954034,0.4325205943928362,0.45827343705973933
4,random,tgb,randomforest,0.699156052820328,0.3938615669810487,0.6419952351309554
4,random,hybrid,maxent,0.7046830368559839,0.42045092814169893,0.6703995982455698
4,random,hybrid,xgboost,0.7375685758348889,0.48162747312389786,0.45827343705973933
4,random,hybrid,randomforest,0.7234939990934415,0.44548070973435294,0.6419952351309554
4,random,stratified,maxent,0.7075506811937108,0.41250291393432165,0.6705122330685566
4,random,stratified,xgboost,0.7309219981717876,0.45591936375567393,0.45827343705973933
4,random,stratified,randomforest,0.7122676328399631,0.4094232356520083,0.6419952351309554
4,tgb,uniform,maxent,0.711214619728674,0.41125461570411337,0.5523342374447517
4,tgb,uniform,xgboost,0.7219742819797546,0.43105237428216425,0.6752678055256265
4,tgb,uniform,randomforest,0.718584429102291,0.4096304571827292,0.5690776323526354
4,tgb,tgb,maxent,0.6846722298920882,0.3658643011591349,0.5537703973333177
4,tgb,tgb,xgboost,0.7088754526823472,0.41247142337296394,0.6752678055256265
4,tgb,tgb,randomforest,0.6952153124938959,0.37445777296057065,0.5611291964624939
4,tgb,hybrid,maxent,0.7119498244183087,0.41040811074142614,0.5959339037552911
4,tgb,hybrid,xgboost,0.7371874017627735,0.47716034262854234,0.6375436231636906
4,tgb,hybrid,randomforest,0.7243871654455308,0.4287540442096137,0.6244246822361158
4,tgb,stratified,maxent,0.7083735310270616,0.40170408069704655,0.5540451249786221
4,tgb,stratified,xgboost,0.7279191775654141,0.44559392355390043,0.6752678055256265
4,tgb,stratified,randomforest,0.7094639394875923,0.39673575094758323,0.5690776323526354
4,hybrid,uniform,maxent,0.6752384893736127,0.36763083502028293,0.686695849230002
4,hybrid,uniform,xgboost,0.7099912853096161,0.39691180569739626,0.6066253437794866
4,hybrid,uniform,randomforest,0.7079397538701787,0.4070010582618881,0.47576179583631883
4,hybrid,tgb,maxent,0.6550519025926766,0.3361050915785009,0.6830882498474915
4,hybrid,tgb,xgboost,0.7098797419538784,0.4030582506565036,0.4988575535256781
4,hybrid,tgb,randomforest,0.691134481135268,0.39807368811429494,0.480264227304876
4,hybrid,hybrid,maxent,0.7090437961913917,0.403216840034189,0.6756346049943944
4,hybrid,hybrid,xgboost,0.7474858211529287,0.46515296586204347,0.49812406565241607
4,hybrid,hybrid,randomforest,0.7288168162586766,0.4517264770266761,0.4808588747563305
4,hybrid,stratified,maxent,0.6744294723296083,0.3652626852079604,0.6826834629970886
4,hybrid,stratified,xgboost,0.7216890550102597,0.4182957216588945,0.4988575535256781
4,hybrid,stratified,randomforest,0.7054092585908003,0.4129485431827972,0.480264227304876
5,random,uniform,maxent,0.6892491634280085,0.36879159054319693,0.6518503576895113
5,random,uniform,xgboost,0.689364173429171,0.39198061256007766,0.39928126169932926
5,random,uniform,randomforest,0.7046726681756057,0.38744508774230274,0.6459626981154287
5,random,tgb,maxent,0.704122372855797,0.39085568691036815,0.580507509852755
5,random,tgb,xgboost,0.699050501329425,0.41113919243064334,0.3661581405499513
5,random,tgb,randomforest,0.7127037153809749,0.40938958915450263,0.6235078731429555
5,random,hybrid,maxent,0.7089738390177361,0.41070554696619627,0.5856611548378582
5,random,hybrid,xgboost,0.7225561239622017,0.44359972022791794,0.3661581405499513
5,random,hybrid,randomforest,0.7385505666034028,0.45222086389168964,0.6235078731429555
5,random,stratified,maxent,0.7019197251492094,0.3836829399466323,0.5740400214973951
5,random,stratified,xgboost,0.7031845354928763,0.40798472764329413,0.3661581405499513
5,random,stratified,randomforest,0.7130224167973553,0.40786228003031777,0.6235078731429555
5,tgb,uniform,maxent,0.6772824042404894,0.35729899927075304,0.6081849824892865
