seed,hard_frac,zdist_mean,frac_zdist_ge2,algorithm,auc_own,auc_common,inflation,n_bg
2,0.7,2.602545266619497,0.8338624338624339,randomforest,0.7808900931341589,0.6822644410373936,0.09862565209676533,1890
2,0.8,2.6807444648561476,0.8947089947089947,maxent,0.7867980951711624,0.6372256138347488,0.14957248133641354,1890
2,0.8,2.6807444648561476,0.8947089947089947,xgboost,0.8174006907028618,0.6678171966588112,0.14958349404405058,1890
2,0.8,2.6807444648561476,0.8947089947089947,randomforest,0.8201168149619367,0.6756314559083284,0.14448535905360826,1890
2,0.9,2.729260324468221,0.9428571428571428,maxent,0.8030451398434378,0.6179924369099681,0.18505270293346976,1890
2,0.9,2.729260324468221,0.9428571428571428,xgboost,0.8514106043078818,0.6621997667798812,0.1892108375280006,1890
2,0.9,2.729260324468221,0.9428571428571428,randomforest,0.8353052124187237,0.6599952509702351,0.17530996144848854,1890
2,1.0,2.839968483972124,1.0,maxent,0.8112538686307703,0.5560987414837575,0.25515512714701283,1890
2,1.0,2.839968483972124,1.0,xgboost,0.8794456283986873,0.6320828811610085,0.24736274723767882,1890
2,1.0,2.839968483972124,1.0,randomforest,0.8579463061359174,0.6462509944887345,0.21169531164718292,1890
3,0.0,2.074114719502635,0.45291005291005293,maxent,0.7144908461085945,0.6685652898033675,0.04592555630522699,1890
3,0.0,2.074114719502635,0.45291005291005293,xgboost,0.7368123997613825,0.7152608121725026,0.021551587588879872,1890
3,0.0,2.074114719502635,0.45291005291005293,randomforest,0.724532595674426,0.7001939502535383,0.024338645420887706,1890
3,0.1,2.20061153582273,0.5248677248677248,maxent,0.6993346853583379,0.6616592582914468,0.03767542706689109,1890
3,0.1,2.20061153582273,0.5248677248677248,xgboost,0.7335355800751593,0.7031464359708455,0.030389144104313814,1890
3,0.1,2.20061153582273,0.5248677248677248,randomforest,0.7174194087249142,0.7003358583934798,0.017083550331434383,1890
3,0.2,2.243194140622685,0.5761904761904761,maxent,0.6601755181540128,0.6301949026796806,0.029980615474332173,1890
3,0.2,2.243194140622685,0.5761904761904761,xgboost,0.7239491583211789,0.6973751812412022,0.026573977079976663,1890
3,0.2,2.243194140622685,0.5761904761904761,randomforest,0.7115755236952198,0.6924732841802154,0.01910223951500445,1890
3,0.3,2.283920126656053,0.6185185185185185,maxent,0.7115937698161157,0.654600362576847,0.05699340723926871,1890
3,0.3,2.283920126656053,0.6185185185185185,xgboost,0.7506619787630757,0.6928299131509646,0.05783206561211107,1890
3,0.3,2.283920126656053,0.6185185185185185,randomforest,0.7329030459631174,0.6925771723000056,0.0403258736631118,1890
3,0.4,2.3885089221181945,0.6687830687830688,maxent,0.7147926511949644,0.6405488833727013,0.07424376782226305,1890
3,0.4,2.3885089221181945,0.6687830687830688,xgboost,0.7485161802420819,0.6865119909443551,0.062004189297726775,1890
3,0.4,2.3885089221181945,0.6687830687830688,randomforest,0.7509329492091024,0.6901952896443021,0.06073765956480026,1890
3,0.5,2.4558966010932095,0.7428571428571429,maxent,0.7410293356564551,0.6439803480862547,0.09704898757020042,1890
3,0.5,2.4558966010932095,0.7428571428571429,xgboost,0.7830109193854442,0.6895176844729106,0.09349323491253358,1890
3,0.5,2.4558966010932095,0.7428571428571429,randomforest,0.7679299684600114,0.6891208454163398,0.0788091230436716,1890
3,0.6,2.5408253820826183,0.7804232804232805,maxent,0.7482938512596076,0.6379339768890155,0.11035987437059203,1890
3,0.6,2.5408253820826183,0.7804232804232805,xgboost,0.7918651158959472,0.6896865111433851,0.10217860475256213,1890
3,0.6,2.5408253820826183,0.7804232804232805,randomforest,0.7759980941767147,0.6791223040849466,0.09687579009176817,1890
3,0.7,2.619269344199571,0.8412698412698413,maxent,0.7575075735237243,0.6166024237316674,0.14090514979205693,1890
3,0.7,2.619269344199571,0.8412698412698413,xgboost,0.8110668662283537,0.6718331682962552,0.1392336979320985,1890
3,0.7,2.619269344199571,0.8412698412698413,randomforest,0.8131783309371208,0.6737716713496975,0.13940665958742327,1890
3,0.8,2.668949055947695,0.8899470899470899,maxent,0.7854326868220228,0.6251814923598158,0.16025119446220704,1890
3,0.8,2.668949055947695,0.8899470899470899,xgboost,0.80833892335696,0.6586560320582906,0.1496828912986694,1890
3,0.8,2.668949055947695,0.8899470899470899,randomforest,0.8082356717690768,0.6569548131428378,0.15128085862623908,1890
3,0.9,2.7751428488856087,0.9470899470899471,maxent,0.8161106239243716,0.6032853618689156,0.21282526205545604,1890
3,0.9,2.7751428488856087,0.9470899470899471,xgboost,0.853335081509537,0.641077616883268,0.21225746462626893,1890
3,0.9,2.7751428488856087,0.9470899470899471,randomforest,0.838421835789236,0.6403473797630234,0.19807445602621265,1890
3,1.0,2.7957958884195993,1.0,maxent,0.8139409677535179,0.5421066225903732,0.27183434516314464,1890
3,1.0,2.7957958884195993,1.0,xgboost,0.8688012405697808,0.6019756933944045,0.2668255471753763,1890
3,1.0,2.7957958884195993,1.0,randomforest,0.8539538451804896,0.6235418552496969,0.2304119899307927,1890
4,0.0,2.1067704605093738,0.47513227513227513,maxent,0.7095897812911915,0.6858900875001841,0.023699693791007448,1890
4,0.0,2.1067704605093738,0.47513227513227513,xgboost,0.7505771848474698,0.7228701980238046,0.027706986823665236,1890
4,0.0,2.1067704605093738,0.47513227513227513,randomforest,0.7285184850455199,0.72216278055609,0.006355704489429903,1890
4,0.1,2.1756657645337985,0.5227513227513227,maxent,0.7052182859373636,0.6750728516292422,0.030145434308121333,1890
4,0.1,2.1756657645337985,0.5227513227513227,xgboost,0.7095268036123394,0.7008717542490358,0.008655049363303635,1890
4,0.1,2.1756657645337985,0.5227513227513227,randomforest,0.7188249160261281,0.7157271201515917,0.003097795874536402,1890
4,0.2,2.2715495183975722,0.5825396825396826,maxent,0.69827972974379,0.6720870244163988,0.026192705327391264,1890
4,0.2,2.2715495183975722,0.5825396825396826,xgboost,0.7431882509492287,0.7000701646558924,0.043118086293336244,1890
4,0.2,2.2715495183975722,0.5825396825396826,randomforest,0.7299769590549736,0.7015662069071448,0.028410752147828844,1890
4,0.3,2.2912944410493696,0.6169312169312169,maxent,0.7303271913519945,0.6751729272848157,0.055154264067178826,1890
4,0.3,2.2912944410493696,0.6169312169312169,xgboost,0.7529329651397305,0.7105556422671234,0.04237732287260709,1890
4,0.3,2.2912944410493696,0.6169312169312169,randomforest,0.7614963694154262,0.7083868624824696,0.053109506932956574,1890
4,0.4,2.374713789470395,0.674074074074074,maxent,0.7251208720372118,0.6651130386477158,0.060007833389496,1890
4,0.4,2.374713789470395,0.674074074074074,xgboost,0.7570688766538803,0.7070970000900582,0.04997187656382218,1890
4,0.4,2.374713789470395,0.674074074074074,randomforest,0.7591756536370247,0.7073475668365511,0.05182808680047357,1890
4,0.5,2.4907628220230356,0.7476190476190476,maxent,0.7481078265226206,0.6700023607404535,0.07810546578216715,1890
4,0.5,2.4907628220230356,0.7476190476190476,xgboost,0.7811386451651401,0.6925237788365219,0.08861486632861815,1890
4,0.5,2.4907628220230356,0.7476190476190476,randomforest,0.7635757644599348,0.6896486517048803,0.07392711275505448,1890
4,0.6,2.512125604176359,0.780952380952381,maxent,0.7315459181048115,0.6567899334736669,0.07475598463114463,1890
