seed,zdist_target,zdist_realized,algorithm,auc_own,auc_common,inflation,n_bg
3,1.25,1.2774442009014175,randomforest,0.8924167033495536,0.5187896839816114,0.3736270193679422,1890
3,1.75,1.763728505944182,maxent,0.7502468006621721,0.5215043262329013,0.22874247442927076,1890
3,1.75,1.763728505944182,xgboost,0.8383384265585558,0.570611880437293,0.2677265461212628,1890
3,1.75,1.763728505944182,randomforest,0.7905541685726115,0.5906997931816094,0.19985437539100215,1890
3,2.25,2.2241123756434944,maxent,0.7838552950601677,0.5100674877666984,0.2737878072934693,1890
3,2.25,2.2241123756434944,xgboost,0.8681433886354547,0.5571544733487868,0.31098891528666794,1890
3,2.25,2.2241123756434944,randomforest,0.8449772381324443,0.5853885800162719,0.2595886581161724,1890
3,2.75,2.725709678400435,maxent,0.9086243408495612,0.5293900389044951,0.37923430194506613,1890
3,2.75,2.725709678400435,xgboost,0.9482446420769033,0.5969246921809297,0.3513199498959736,1890
3,2.75,2.725709678400435,randomforest,0.9395722367124175,0.6204221199547919,0.3191501167576256,1890
3,3.25,3.2305096339787855,maxent,0.9509803599837834,0.5180024546204409,0.43297790536334246,1890
3,3.25,3.2305096339787855,xgboost,0.9537253670328912,0.6072086230870162,0.34651674394587506,1890
3,3.25,3.2305096339787855,randomforest,0.9636920744408741,0.6347663639432459,0.3289257104976282,1890
3,3.75,3.7276478303012714,maxent,0.939569818639073,0.5411596979179306,0.39841012072114235,1890
3,3.75,3.7276478303012714,xgboost,0.9420082611464486,0.5946935370234164,0.3473147241230322,1890
3,3.75,3.7276478303012714,randomforest,0.9654801431431267,0.6424468175482709,0.32303332559485576,1890
3,4.25,4.244435495074016,maxent,0.95228601619656,0.5439907127375456,0.4082953034590143,1890
3,4.25,4.244435495074016,xgboost,0.9470735033704664,0.5795137388319314,0.367559764538535,1890
3,4.25,4.244435495074016,randomforest,0.9631272440898618,0.6282002004829076,0.33492704360695424,1890
4,0.75,0.8649866897369985,maxent,0.9839666653247203,0.5263922447738173,0.457574420550903,1890
4,0.75,0.8649866897369985,xgboost,0.9770223925544519,0.5846342128416119,0.39238817971284,1890
4,0.75,0.8649866897369985,randomforest,0.9845297807358054,0.5575237138779091,0.4270060668578963,1890
4,1.25,1.2769901088773863,maxent,0.8779879139078565,0.5254010722995479,0.35258684160830855,1890
4,1.25,1.2769901088773863,xgboost,0.8841523311619367,0.553952892126438,0.33019943903549875,1890
4,1.25,1.2769901088773863,randomforest,0.891071204350262,0.5294368485152292,0.3616343558350328,1890
4,1.75,1.7595413398357844,maxent,0.7432860106296522,0.5281904550284249,0.21509555560122728,1890
4,1.75,1.7595413398357844,xgboost,0.8145750863094117,0.5612144572840314,0.25336062902538026,1890
4,1.75,1.7595413398357844,randomforest,0.7752966441549332,0.58426194994355,0.1910346942113832,1890
4,2.25,2.221561650528029,maxent,0.7956101494894012,0.5170173681265019,0.27859278136289933,1890
4,2.25,2.221561650528029,xgboost,0.8810142235805504,0.5685714215156443,0.31244280206490604,1890
4,2.25,2.221561650528029,randomforest,0.8471313230077158,0.604694557074502,0.24243676593321373,1890
4,2.75,2.7253454434997466,maxent,0.9180539992505565,0.5444982740542927,0.3735557251962638,1890
