seed,block,train_design,algorithm,auc,tss,boyce
3,~40km,tgb,xgboost,0.7028763623140505,0.3847551385669794,0.3980080139377771
3,~40km,tgb,randomforest,0.7046811553632462,0.3921383440597198,0.5049105293931618
3,~40km,hybrid,maxent,0.6547974858745709,0.34200577787651065,0.68758353413894
3,~40km,hybrid,xgboost,0.7073225506063336,0.42037053578680794,0.5006901502599899
3,~40km,hybrid,randomforest,0.6967491386813166,0.38377443329927324,0.6382711532375678
3,~50km,random,maxent,0.6853099825215416,0.3615003886611329,0.5318886345817482
3,~50km,random,xgboost,0.7060539345511083,0.40400087915623395,0.4612224428195478
3,~50km,random,randomforest,0.7022288535114503,0.37277525354214597,0.7318387766181905
3,~50km,tgb,maxent,0.6856158271509736,0.3870970488630941,0.6390549971927144
3,~50km,tgb,xgboost,0.7001691734930885,0.39205847211206535,0.5607791784100968
3,~50km,tgb,randomforest,0.7077004253605029,0.3875102092722205,0.7533868698614519
3,~50km,hybrid,maxent,0.6508662846379083,0.32842572550183535,0.5969372343526309
3,~50km,hybrid,xgboost,0.7018514415865683,0.39040740013142977,0.6052885391335219
3,~50km,hybrid,randomforest,0.6969750760992699,0.4071190993622902,0.6124832639506604
3,~60km,random,maxent,0.6751515990487682,0.35239023219685717,0.5204835631251011
3,~60km,random,xgboost,0.7114502209556488,0.41812161424639227,0.44921019826658365
3,~60km,random,randomforest,0.6977681704514783,0.40613870415545944,0.632854772727481
3,~60km,tgb,maxent,0.6667836514016653,0.3444950751275003,0.48310611261983294
3,~60km,tgb,xgboost,0.6983968457496724,0.3848564887451845,0.4347725409301468
3,~60km,tgb,randomforest,0.7003773344538233,0.38026578651434934,0.5162983892260862
3,~60km,hybrid,maxent,0.6446847416869648,0.33577707567452053,0.506738261928553
3,~60km,hybrid,xgboost,0.6977821971761375,0.37859591693268013,0.538802462820908
3,~60km,hybrid,randomforest,0.6968736129768633,0.3998365351212559,0.5980877536608816
4,~40km,random,maxent,0.7033055548884359,0.40170206901604255,0.5511462986705896
4,~40km,random,xgboost,0.7312968508754563,0.45425818002901197,0.4638228509104513
4,~40km,random,randomforest,0.7213891578776763,0.4225974229136865,0.6663791801286967
4,~40km,tgb,maxent,0.6960157041444591,0.3877323387288355,0.5673808747445841
4,~40km,tgb,xgboost,0.7237882608940952,0.4251990894699265,0.4758637121727626
4,~40km,tgb,randomforest,0.7160780396444169,0.40897410296189474,0.6392703637411105
4,~40km,hybrid,maxent,0.6866033621101869,0.36990897072636186,0.7059472824513826
4,~40km,hybrid,xgboost,0.7125038289945415,0.4240698546407007,0.44878732722017256
4,~40km,hybrid,randomforest,0.7080728368997325,0.38801899379362326,0.6310264455229018
4,~50km,random,maxent,0.701805390280043,0.39571746653229345,0.6666978865178643
4,~50km,random,xgboost,0.7252757031229915,0.4775810603975284,0.6553986000599142
4,~50km,random,randomforest,0.7248390932975283,0.43923952090005425,0.5515761534771774
4,~50km,tgb,maxent,0.6990334409761622,0.4048628109858946,0.6204012413405489
4,~50km,tgb,xgboost,0.7065344952058052,0.3971285247845775,0.5867732525767425
4,~50km,tgb,randomforest,0.72060775702839,0.40951489246791767,0.6517742447793162
4,~50km,hybrid,maxent,0.6760493125841207,0.3596314882355117,0.7219846913052145
4,~50km,hybrid,xgboost,0.7061764267712098,0.38878960222503717,0.5023453718366315
4,~50km,hybrid,randomforest,0.7023062835448476,0.39959361870493654,0.4771520056211306
4,~60km,random,maxent,0.6939237085267449,0.38364147232466567,0.4316693189493154
4,~60km,random,xgboost,0.7404986422791615,0.477936821588094,0.4237296352053937
4,~60km,random,randomforest,0.7172818501725302,0.4447519364490232,0.5728146488505581
4,~60km,tgb,maxent,0.6838901587345014,0.384706331662571,0.538356286400205
4,~60km,tgb,xgboost,0.7138338489813876,0.40466955394645343,0.4394016784432365
4,~60km,tgb,randomforest,0.7096926619113718,0.4154138168957246,0.5721250394932833
4,~60km,hybrid,maxent,0.6796242486974549,0.36819407081729133,0.655784469210302
4,~60km,hybrid,xgboost,0.7149751507229044,0.4096293665997333,0.4183766502272362
4,~60km,hybrid,randomforest,0.7088250453322453,0.40156595214171303,0.5393052929008364
