site,lat,lon,dist_entry_km,dist_volc_km
Candi Situsumpak,-7.5406294,112.4025429,50.1,28.7
Makam Ki Ageng Jabung,-7.6149124,112.4143181,54.9,22.3
Situs Yoni Lebak Jabung,-7.619221,112.4114903,55.5,22.3
Candi Kedaton,-7.5704583,112.3796406,54.2,28.3
Umpak SentonoRejo,-7.5702837,112.3787094,54.3,28.4
Situs Lantai Segi Enam,-7.5714672,112.3798313,54.3,28.2
Makam Syeh Jumadil Kubro / Makam Troloyo,-7.5761414,112.3804347,54.6,27.9
osm_931337611,-7.6288599,112.5209454,49.1,13.0
Candi Songgoriti,-7.8672218,112.4927191,74.3,18.0
Candi Sumberawan,-7.85722,112.652,68.4,16.2
Florawisata Santerra de Laponte,-7.854189165,112.485567001,73.2,17.3
