lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-7.8,112.66,0.738,Arjuno-Welirang,12.2,2.1
-7.7,112.7,0.738,Penanggungan,12.3,2.1
-8.06,112.86,0.737,Semeru,8.7,4.4
-8.0,112.24,0.737,Kelud,10.8,2.9
-7.98,112.86,0.737,Bromo,10.8,2.9
-7.92,112.42,0.737,Kelud,12.4,2.1
-7.9,112.18,0.737,Kelud,14.5,1.4
-7.86,112.58,0.737,Arjuno-Welirang,14.6,1.3
-7.68,112.72,0.737,Penanggungan,12.4,2.1
-7.86,112.22,0.736,Kelud,12.4,2.1
-7.86,112.56,0.736,Arjuno-Welirang,14.7,1.3
-7.82,112.64,0.736,Arjuno-Welirang,12.4,2.1
-7.58,112.7,0.736,Penanggungan,8.7,4.3
-7.9,112.86,0.735,Bromo,11.0,2.8
-7.84,112.5,0.735,Arjuno-Welirang,14.9,1.3
-7.78,112.7,0.735,Arjuno-Welirang,14.9,1.3
-7.7,112.48,0.735,Arjuno-Welirang,11.0,2.8
-8.04,112.88,0.734,Semeru,8.9,4.2
-7.84,112.6,0.734,Arjuno-Welirang,12.6,2.0
-7.9,112.42,0.733,Kelud,12.8,1.9
-7.86,112.4,0.733,Kelud,12.8,1.9
-7.78,112.68,0.733,Arjuno-Welirang,12.9,1.9
-7.54,112.6,0.733,Penanggungan,8.9,4.1
-7.66,112.5,0.732,Arjuno-Welirang,11.3,2.6
-7.54,112.66,0.732,Penanggungan,9.0,4.1
-8.1,112.84,0.731,Semeru,9.1,4.0
-8.02,112.26,0.731,Kelud,11.3,2.6
-8.02,112.3,0.731,Kelud,10.0,3.3
-8.02,112.32,0.731,Kelud,10.1,3.3
-7.88,112.2,0.731,Kelud,13.1,1.8
-7.84,112.94,0.731,Bromo,11.4,2.5
-7.84,112.96,0.731,Bromo,11.4,2.5
-7.82,112.5,0.731,Arjuno-Welirang,13.1,1.8
-7.8,112.48,0.731,Arjuno-Welirang,13.1,1.8
-8.12,112.84,0.73,Semeru,9.1,4.0
-7.84,112.62,0.73,Arjuno-Welirang,13.3,1.7
-7.98,112.4,0.729,Kelud,11.6,2.5
-7.64,112.52,0.729,Arjuno-Welirang,11.6,2.4
-7.88,112.42,0.728,Kelud,13.5,1.7
-7.84,112.92,0.727,Bromo,11.8,2.3
-7.84,112.98,0.727,Bromo,11.8,2.3
-7.68,112.48,0.727,Arjuno-Welirang,11.8,2.3
-8.02,112.28,0.726,Kelud,10.5,3.0
-7.84,112.22,0.726,Kelud,13.9,1.5
-7.82,112.66,0.726,Arjuno-Welirang,13.8,1.6
-7.72,112.7,0.726,Arjuno-Welirang,13.8,1.6
-7.7,112.72,0.726,Penanggungan,13.8,1.6
-7.86,112.88,0.725,Bromo,11.9,2.3
-7.8,112.68,0.725,Arjuno-Welirang,14.0,1.5
-7.62,112.52,0.725,Penanggungan,12.0,2.2
-7.94,112.84,0.724,Bromo,12.1,2.2
-7.88,112.86,0.724,Bromo,12.1,2.2
-7.86,112.2,0.724,Kelud,14.2,1.4
-7.84,112.64,0.724,Arjuno-Welirang,14.3,1.4
-7.68,112.74,0.724,Penanggungan,14.2,1.4
-8.08,112.84,0.723,Semeru,9.5,3.7
-7.82,112.3,0.723,Kelud,12.3,2.1
-7.62,112.74,0.723,Penanggungan,12.2,2.1
-7.96,112.84,0.722,Bromo,12.3,2.1
-7.94,112.44,0.722,Kelud,14.6,1.3
-7.92,112.44,0.722,Kelud,14.6,1.3
-7.92,112.84,0.722,Bromo,12.4,2.1
-7.86,112.42,0.722,Kelud,14.6,1.3
-7.82,112.32,0.722,Kelud,12.3,2.1
-7.82,112.48,0.722,Arjuno-Welirang,14.6,1.3
-7.6,112.74,0.722,Penanggungan,12.3,2.1
-7.86,112.6,0.721,Arjuno-Welirang,14.8,1.3
-7.9,112.44,0.72,Kelud,14.9,1.3
-7.84,112.9,0.72,Bromo,12.6,2.0
-7.8,112.46,0.72,Arjuno-Welirang,14.9,1.2
-7.56,112.56,0.72,Penanggungan,9.8,3.5
-7.82,112.34,0.719,Kelud,12.7,1.9
-7.72,112.46,0.719,Arjuno-Welirang,12.7,1.9
-7.98,112.84,0.718,Bromo,12.8,1.9
-7.56,112.7,0.718,Penanggungan,9.9,3.4
