algorithm,comparison,pair,seed_i,seed_j,spearman,jaccard_top10
maxent,within_design,tgb|tgb,0,4,0.9525001281128116,0.7391291499830085
maxent,within_design,tgb|tgb,1,2,0.9220038121746477,0.6499761697832852
maxent,within_design,tgb|tgb,1,3,0.9366066625858064,0.6434106362481326
maxent,within_design,tgb|tgb,1,4,0.9478735519524605,0.7099482828752397
maxent,within_design,tgb|tgb,2,3,0.9548955902058786,0.7451887435874626
maxent,within_design,tgb|tgb,2,4,0.9563142997333903,0.7056121487878744
maxent,within_design,tgb|tgb,3,4,0.9387653854739205,0.6862115894276914
maxent,within_design,hybrid|hybrid,0,1,0.9650274091130269,0.7054144510931772
maxent,within_design,hybrid|hybrid,0,2,0.9704532222243624,0.7290889326321356
maxent,within_design,hybrid|hybrid,0,3,0.9617979747541385,0.6854148171482574
maxent,within_design,hybrid|hybrid,0,4,0.9587887034903699,0.6877831947232578
maxent,within_design,hybrid|hybrid,1,2,0.9723462236792271,0.7424502605400284
maxent,within_design,hybrid|hybrid,1,3,0.9498912646752942,0.7063539235441644
maxent,within_design,hybrid|hybrid,1,4,0.9586155198763588,0.7163062655837623
maxent,within_design,hybrid|hybrid,2,3,0.9429098052316754,0.6117927370323711
maxent,within_design,hybrid|hybrid,2,4,0.97684093818076,0.75756670797808
maxent,within_design,hybrid|hybrid,3,4,0.9405760046049481,0.6158640382186591
maxent,between_design,random|tgb,0,0,0.9437395850302825,0.7011504220141057
maxent,between_design,random|tgb,1,1,0.9273204208042879,0.6215851323239698
maxent,between_design,random|tgb,2,2,0.9365324243921603,0.6697307572275655
maxent,between_design,random|tgb,3,3,0.9595251981075,0.6442141140973348
maxent,between_design,random|tgb,4,4,0.9373563574054514,0.681586353700873
maxent,between_design,random|hybrid,0,0,0.7837719517811613,0.383539423574216
maxent,between_design,random|hybrid,1,1,0.7435550718620365,0.3497775331406816
maxent,between_design,random|hybrid,2,2,0.7490296805786687,0.31848018460021954
maxent,between_design,random|hybrid,3,3,0.7589646688975925,0.33551937368809215
maxent,between_design,random|hybrid,4,4,0.7784139590059796,0.33992828277078946
maxent,between_design,tgb|hybrid,0,0,0.801362829839917,0.43367315867041817
maxent,between_design,tgb|hybrid,1,1,0.7710294211950172,0.372456653801756
maxent,between_design,tgb|hybrid,2,2,0.7895626388480104,0.34359910963986073
maxent,between_design,tgb|hybrid,3,3,0.789818956329596,0.39112655415307523
maxent,between_design,tgb|hybrid,4,4,0.8113845376936332,0.4045391628084578
