arm,world,config,algorithm,n_observed,auc_own,auc_true,map_jaccard,spearman_full,spearman_remote
with_road,2,random,maxent,501,0.8598969266631927,0.8375738784165131,0.8318194556634411,0.9741499726284536,0.908614396098524
with_road,2,random,xgboost,501,0.8397233997958617,0.8250724303404013,0.5839213170836006,0.9348286500897003,0.8653165445745616
with_road,2,random,randomforest,501,0.8498646780528103,0.8386794416914392,0.7405197124195292,0.9638669762482872,0.889980709049626
no_road,2,tgb,maxent,501,0.8490967356825367,0.8368408107640274,0.7999514051996436,0.9801214213018629,0.937439383772785
no_road,2,tgb,xgboost,501,0.828974543084534,0.8163308458579541,0.5224420452677152,0.9344737867275319,0.8874976427051849
no_road,2,tgb,randomforest,501,0.8393718251889725,0.8356021141203929,0.6967475950526798,0.9645005698618893,0.8787370902727194
with_road,2,tgb,maxent,501,0.8483482285061441,0.8336131281923317,0.795501551189245,0.9768069058512384,0.9176434627719741
with_road,2,tgb,xgboost,501,0.8251359690320399,0.8166910437896014,0.5259544081296347,0.9386880997921828,0.8876997563104578
with_road,2,tgb,randomforest,501,0.8402769503113688,0.838194518399213,0.7140212864414622,0.9632507335665372,0.8798167754124969
no_road,3,random,maxent,496,0.8621524987974578,0.8485117808256829,0.8146188516558887,0.9891905792280239,0.9548036397746653
no_road,3,random,xgboost,496,0.8583676531241583,0.8298304720178222,0.571666996690334,0.9414933756716831,0.9104167573624626
no_road,3,random,randomforest,496,0.8625131540934683,0.8428805996213289,0.720576622330954,0.9554072345521141,0.877133498115245
with_road,3,random,maxent,496,0.8602061618118271,0.8471263498118493,0.817170891251022,0.9888363772123325,0.9540231024415664
with_road,3,random,xgboost,496,0.8584431755396704,0.8296793199961044,0.5790146789251559,0.9395931991987357,0.921226733463948
with_road,3,random,randomforest,496,0.8605778818709137,0.8439755149602803,0.7104858075241672,0.9539315576253291,0.8791540897060851
no_road,3,tgb,maxent,496,0.8589503818063278,0.8444409954590076,0.6951945080091533,0.9855067444954683,0.9556216275678571
no_road,3,tgb,xgboost,496,0.8456041259931807,0.8272918625880068,0.5118367346938776,0.948064180746345,0.9176452790930292
no_road,3,tgb,randomforest,496,0.854234963444626,0.8423646040029376,0.6988228099678948,0.9558150674214365,0.8644670344408506
with_road,3,tgb,maxent,496,0.8582486007114936,0.8444284202771405,0.6972659233236597,0.984809168824946,0.9492215386184775
with_road,3,tgb,xgboost,496,0.8421561131212689,0.8274152779656841,0.49511584725922336,0.9439390679051584,0.9089989062630861
