filename,title,lang,year_ce,century,word_count,total_keywords,indic,pre_indic,ambiguous,pre_indic_ratio,has_hyang,has_manhuri,has_wuku
DHARMA_INSIDENKBorobudurHB142.xml,"Relief label from Borobudur's hidden base, no. 142 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB144.xml,"Relief label from Borobudur's hidden base, no. 144 (8th c. CE)",san-Latn,750.0,8,2,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB147.xml,"Relief label from Borobudur's hidden base, no. 147 (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB148A.xml,"Relief label from Borobudur's hidden base, no. 148A (8th c. CE)",san-Latn,750.0,8,2,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB148B.xml,"Relief label from Borobudur's hidden base, no. 148B (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB149.xml,"Relief label from Borobudur's hidden base, no. 149 (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB150A.xml,"Relief label from Borobudur's hidden base, no. 150A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB150B.xml,"Relief label from Borobudur's hidden base, no. 150B (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB151.xml,"Relief label from Borobudur's hidden base, no. 151 (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB152A.xml,"Relief label from Borobudur's hidden base, no. 152A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB152B.xml,"Relief label from Borobudur's hidden base, no. 152B (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB153A.xml,"Relief label from Borobudur's hidden base, no. 153A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB153B.xml,"Relief label from Borobudur's hidden base, no. 153B (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB154A.xml,"Relief label from Borobudur's hidden base, no. 154A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB154B.xml,"Relief label from Borobudur's hidden base, no. 154B (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB154C.xml,"Relief label from Borobudur's hidden base, no. 154C (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB157.xml,"Relief label from Borobudur's hidden base, no. 157 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBukateja.xml,Embossed Image of Śiva in Gold Leaf from Central Java (8th c. CE),omy-Latn,750.0,8,6,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBularut.xml,Bularut charter (964 Śaka),kaw-Latn,1042.0,11,1539,2,1,0,1,0.0,False,False,False
DHARMA_INSIDENKCanggal.xml,The stela of Canggal or Gunung Wukir (654 Śaka),san-Latn,732.0,8,266,4,3,0,1,0.0,False,False,False
DHARMA_INSIDENKDalinan.xml,"Charter for the demarcation of Wukajana, Tumpak & Wuru Telu villages for the monastery at Dalinan (825 Śaka, 5 March 904)",kaw-Latn,903.0,10,1896,9,5,2,2,0.222,True,True,False
DHARMA_INSIDENKDawangsari.xml,"A poem in honor of Gaṇeśa found at Dawangsari, 9th c. CE",kaw-Latn,850.0,9,134,2,2,0,0,0.0,False,False,False
DHARMA_INSIDENKdevadravya.xml,Inventory of a Śaiva temple at Dieng (9th c. CE),omy-Latn,850.0,9,90,2,1,1,0,0.5,True,False,False
DHARMA_INSIDENKDinoyoIIa.xml,Two connected charters on a stone from Dinoyo (772 and 786 Śaka),kaw-Latn,864.0,9,265,5,3,1,1,0.2,True,False,False
DHARMA_INSIDENKDisunuh.xml,Disunuh (709 Śaka),kaw-Latn,787.0,8,76,4,3,0,1,0.0,False,False,False
DHARMA_INSIDENKGajahMada.xml,Gajah Mada's foundation of a caitya (1351-04-27),kaw-Latn,1351.0,14,129,3,3,0,0,0.0,False,False,False
DHARMA_INSIDENKGondangLor.xml,Akṣobhya Statue from Gondang Lor (11th or 12th c. CE),san-Latn,1150.0,12,52,2,1,0,1,0.0,False,False,False
DHARMA_INSIDENKGulungGulung.xml,Gulung-Gulung (851 Śaka),kaw-Latn,929.0,10,1707,10,7,1,2,0.1,True,False,False
DHARMA_INSIDENKHampran.xml,Gift of Hampran village (674 Śaka),unknown,752.0,8,56,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKHering.xml,Charter of Hering (870 Śaka),san-Latn,948.0,10,1456,8,5,2,1,0.25,False,True,False
DHARMA_INSIDENKHorren.xml,"Charter of Horren, ca. 975 Śaka",kaw-Latn,1053.0,11,180,2,0,1,1,0.5,True,False,False
