rank,language,concept,form,p_substrate,semantic_domain,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_reduplication,n_consonant_clusters,has_prefix_like
143,Toraja-Sadan,other,seŋaʔ,0.7337352,GRAMMAR,5,0.4,0,1,1,0,0,0
144,Muna,intestines,ghule-ghule,0.733165,BODY,11,0.3636,1,0,0,1,2,0
145,Tolaki,feather,wulumanumanu,0.7326293,BODY,12,0.5,1,0,0,0,0,0
146,Bugis,short,ma-poncoʔ,0.72782266,QUALITY,9,0.3333,0,1,1,1,1,1
147,Wolio,"in, inside",nuñca,0.727646,GRAMMAR,5,0.4,1,0,0,0,1,0
148,Wolio,to sew,posorumba,0.72588634,ACTION,9,0.4444,1,0,1,0,1,1
149,Toraja-Sadan,Twenty,duaŋpulo,0.7254853,NUMBER,8,0.5,1,0,1,0,1,0
150,Makassar,wing,kaʔñiʔ,0.72440994,BODY,6,0.3333,0,1,0,0,1,1
151,Bugis,to hold,mak-katənni,0.7236757,ACTION,11,0.3636,1,0,0,1,1,1
152,Makassar,dry,kalotoroʔ,0.7226284,QUALITY,9,0.4444,0,1,0,0,0,1
153,Makassar,bird,jaŋanɟaŋaŋ,0.7218199,OTHER,10,0.4,0,0,1,1,1,0
154,Wolio,cloud,ta'ina ŋalu,0.7161939,NATURE,11,0.4545,1,1,1,0,0,1
155,Wolio,to stand,kabalebale,0.7114104,ACTION,10,0.5,1,0,0,0,0,1
156,Tolaki,to grow,toro,0.71127605,ACTION,4,0.5,1,0,0,0,0,0
157,Tolaki,to hit,toni,0.71127605,ACTION,4,0.5,1,0,0,0,0,0
158,Wolio,other,mosagaanana,0.70598197,GRAMMAR,11,0.5455,1,0,0,1,0,1
159,Tolaki,to breathe,mehonahona,0.70228946,ACTION,10,0.5,1,0,0,0,0,1
160,Bugis,to say,pau,0.7000883,ACTION,3,0.6667,1,0,0,0,0,1
161,Makassar,skin,bukku lɛŋ,0.69980776,BODY,9,0.3333,0,0,1,0,1,0
162,Wolio,One Hundred,saatu,0.6983428,NUMBER,5,0.6,1,0,0,0,0,0
163,Wolio,to drink,sumpu,0.6854098,ACTION,5,0.4,1,0,1,0,1,0
164,Toraja-Sadan,to sit,noʔkoʔ,0.6850588,ACTION,6,0.3333,0,1,0,0,1,0
165,Tolaki,to bite,kaa,0.67740893,ACTION,3,0.6667,1,0,0,0,0,1
166,Bugis,"to open, uncover",timpaʔ,0.6755201,ACTION,6,0.3333,0,1,1,0,1,0
167,Tolaki,night,wingi,0.6744698,OTHER,5,0.4,1,0,1,0,1,0
168,Wolio,Fifty,lima pulu,0.6740746,NUMBER,9,0.4444,1,0,0,0,0,0
169,Muna,wife,mie no lambu,0.6691557,OTHER,12,0.4167,1,0,1,0,1,0
170,Muna,husband,mie no lambu,0.6691557,OTHER,12,0.4167,1,0,1,0,1,0
171,Muna,how?,pedahamai,0.66693854,GRAMMAR,9,0.5556,1,0,0,0,0,0
172,Wolio,"to cut, hack",ndamu,0.6660143,ACTION,5,0.4,1,0,1,0,1,0
173,Wolio,to swell,gende,0.6660143,ACTION,5,0.4,1,0,1,0,1,0
174,Wolio,to hit,rambi,0.6660143,ACTION,5,0.4,1,0,1,0,1,0
175,Makassar,Twenty,ruampulo,0.66455173,NUMBER,8,0.5,1,0,1,0,1,0
176,Muna,how?,pedahai,0.65707767,GRAMMAR,7,0.5714,1,0,0,0,0,0
177,Toraja-Sadan,to lie down,mammaʔ,0.6553366,ACTION,6,0.3333,0,1,0,0,1,1
178,Toraja-Sadan,to sleep,mammaʔ,0.6553366,ACTION,6,0.3333,0,1,0,0,1,1
179,Bugis,small,ma-rənniʔ,0.6542304,QUALITY,9,0.3333,0,1,0,1,1,1
180,Bugis,small,ma-biccuʔ,0.6542304,QUALITY,9,0.3333,0,1,0,1,1,1
181,Bugis,red,ma-cəllaʔ,0.6542304,QUALITY,9,0.3333,0,1,0,1,1,1
182,Tolaki,Ten,hopulo,0.6532176,NUMBER,6,0.5,1,0,0,0,0,0
183,Bugis,to steal,mennau,0.65176475,ACTION,6,0.5,1,0,0,0,1,1
184,Makassar,fog,saliu,0.6484219,NATURE,5,0.6,1,0,0,0,0,0
185,Bugis,if,nakko,0.6472995,GRAMMAR,5,0.4,1,0,0,0,1,1
186,Toraja-Sadan,child,pia,0.6429889,OTHER,3,0.6667,1,0,0,0,0,0
187,Bugis,to split,pueʔ,0.64251214,ACTION,4,0.5,0,1,0,0,0,0
188,Makassar,to laugh,ammakkalaʔ,0.64169717,ACTION,10,0.4,0,1,0,0,2,0
189,Makassar,to hold,annaʔgalaʔ,0.64169717,ACTION,10,0.4,0,1,0,0,2,0
190,Bugis,green,ma-kudaraʔ,0.6412651,QUALITY,10,0.4,0,1,0,1,0,1
191,Tolaki,"to cut, hack",pole,0.64107066,ACTION,4,0.5,1,0,0,0,0,1
192,Toraja-Sadan,cloud,salebuʔ,0.63991153,NATURE,7,0.4286,0,1,0,0,0,0
193,Wolio,to see,kamata,0.6381329,ACTION,6,0.5,1,0,0,0,0,1
194,Wolio,rope,puloli,0.6379415,OTHER,6,0.5,1,0,0,0,0,0
