site_id,name,lat,lon,label,class,season,scene_date,cloud_pct,ndvi_mean,ndvi_std,ndvi_center,ndvi_ring,ndvi_diff,ndvi_lvar,ndwi_mean,ndwi_std,ndwi_center,ndwi_ring,ndwi_diff,ndwi_lvar,msavi_mean,msavi_center,msavi_diff,clay_ratio,iron_oxide
OSM7,Candi Bayi,-7.6139718,112.6055954,soft_positive,1,dry,2024-08-12,0.720913,0.4747368775881211,0.06008272681990217,0.44337149852329943,0.4775379965046905,-0.03416649798139104,0.0007373614764140527,-0.42258538416809205,0.05223240395929466,-0.39940885653627506,-0.42620964303086034,0.026800786494585283,0.0005711272412642226,0.641507972280951,0.612614182279059,-0.03135847464628627,1.4952801366548705,0.8763834786366388
OSM9,Candi Kendalisodo,-7.6067777,112.6076324,soft_positive,1,dry,2024-08-12,0.720913,0.4779486353674138,0.07572752547602271,0.48650067168123834,0.4850245433473857,0.0014761283338526332,0.0006341301255686671,-0.42348643757121973,0.06391136412040062,-0.42083762067411373,-0.42901369896212627,0.008176078288012534,0.0004209079788671395,0.6431214738660059,0.6527660708521296,0.0029545950062010995,1.4944797507108754,0.870156325820772
OSM10,Candi Tawangalun,-7.3988488,112.7891649,soft_positive,1,dry,2024-08-12,0.720913,0.19782815242826388,0.11314379303938352,0.2315054518646588,0.18402463644939027,0.047480815415268524,0.0032978798089835734,-0.21325426173301576,0.11407211848437442,-0.282964454306476,-0.19260047596387306,-0.09036397834260293,0.002588867164964587,0.3157393760092849,0.3658200099035321,0.07051799782095275,1.1718020777032228,1.0378506649350425
OSM11,Candi Kethek,-7.5939326,111.1602927,soft_positive,1,dry,2024-07-26,3.090687,0.0598836654674685,0.08724495644568984,0.02370906541896027,0.05202292443287185,-0.028313859013911577,0.0005013341642117315,-0.030874301388265177,0.07740335789836568,-0.004934463990387153,-0.02271513861782148,0.017780674627434327,0.00030462345849397034,0.10156515974250449,0.04561243333408356,-0.04166091090503976,1.1075780237030868,0.9434912027803916
OSM12,Candi Wisnu,-7.6147858,112.613817,soft_positive,1,dry,2024-08-12,0.720913,0.42510683554401724,0.07181586911979101,0.37864704168956237,0.4379516493300953,-0.059304607640532914,0.0006183216718173536,-0.39313229182847265,0.05466512597746623,-0.3543336074543683,-0.40501394846833494,0.05068034101396662,0.00042549927204420506,0.5930404405381267,0.5471397331635296,-0.058238220227381565,1.4416438413492931,0.9245839524523766
OSM14,Candi Selokelir,-7.6251042,112.6080982,soft_positive,1,dry,2024-08-12,0.720913,0.5666028064234029,0.05119352484634158,0.5722290743364372,0.5610793803554139,0.011149693981023279,0.0008062188390766276,-0.5107773721150086,0.04722959223010931,-0.5139197756064319,-0.5069369746804159,-0.006982800926015997,0.00062191311807533,0.7219374668352596,0.7256392083977937,0.00820761091773392,1.546899189294269,0.8533384082037786
OSM15,Candi,-7.6176551,112.610255,soft_positive,1,dry,2024-08-12,0.720913,0.4778671287069525,0.08194507367299973,0.5215200063173888,0.47248600101252697,0.04903400530486185,0.0007731507088277243,-0.43196636910714115,0.06987379180900807,-0.46995732765033127,-0.4277446178809024,-0.04221270976942887,0.0005697912117412211,0.6424759888173265,0.6837229868353165,0.046890960052581754,1.4812114358863546,0.8879421685035875
OSM16,Candi Naga,-7.6138526,112.6106987,soft_positive,1,dry,2024-08-12,0.720913,0.45022622848356475,0.06697218579848298,0.4772012390879161,0.4445757134543777,0.03262552563353843,0.0007039461348558852,-0.40567549733386016,0.05618692534437795,-0.43035433125266637,-0.4002798184101801,-0.030074512842486245,0.0005131196628060674,0.6179169190847419,0.6447176092927828,0.03259040093046672,1.4630147113998924,0.8951790073112094
OSM18,Candi,-7.6252159,112.6159826,soft_positive,1,dry,2024-08-12,0.720913,0.5820521355765174,0.05344088006698405,0.6136241875709186,0.5717979895825063,0.04182619798841236,0.0007678316787926085,-0.5313846488639696,0.05104289447795747,-0.568327981110055,-0.5204402064358927,-0.047887774674162276,0.0005841108091693499,0.7342777262280911,0.7600509774930163,0.03425146677222379,1.5577772984710268,0.8625577169256631
OSM19,Candi Merak,-7.6066004,112.6133722,soft_positive,1,dry,2024-08-12,0.720913,0.48886699555631624,0.07360703105916734,0.5709393504582425,0.47781994547517537,0.09311940498306714,0.0005781691227772541,-0.4375346052389321,0.06112743269379884,-0.5034812164749914,-0.4299955351210437,-0.07348568135394773,0.00039034003819859607,0.6532923116001697,0.7261161119118162,0.0828179211755754,1.4856430872993054,0.875320174554204
OSM20,Candi Penampihan,-7.9027228,111.7952694,soft_positive,1,dry,2024-07-26,3.090687,0.5289893350644468,0.08228938457108306,0.5237500636916343,0.5236863872265907,6.367646504368274e-05,0.0020791460311866275,-0.4818311771746016,0.06385046525826976,-0.478834583685328,-0.4771300210612582,-0.0017045626240698164,0.0012688321048404797,0.6877543891352739,0.6829470765631868,0.00013524407355214318,1.4924045359090652,0.8777921966842358
OSM21,Candi Rengganis,-7.9647946,113.5730157,soft_positive,1,dry,2024-08-12,0.215202,0.3329924187005222,0.07406409259747485,0.2660504306448466,0.33811315345430787,-0.07206272280946124,0.0011982614980946915,-0.33057230590551046,0.06127784800322487,-0.2733930001076952,-0.33460286872784084,0.06120986862014566,0.0008297768622491144,0.4947526299594802,0.4083304189874832,-0.09295805237612259,1.2668489209872722,0.9945339987785555
OSM22,Candi Tumpak Wolu,-7.6032232,112.6158902,soft_positive,1,dry,2024-08-12,0.720913,0.5398234715742912,0.04839965993850426,0.5301010311891112,0.5392495702870277,-0.009148539097916464,0.0005344748593635715,-0.4846360241367067,0.042482564909290595,-0.48444227071325785,-0.48308483001959984,-0.0013574406936580075,0.00041050203197356137,0.699812196884459,0.6923745435118291,-0.006590982804558387,1.5231236159015344,0.8599056631340618
WIKI0006,Candi Wayang,-7.605485,112.621598,soft_positive,1,dry,2024-08-12,0.720913,0.5272683175336377,0.07287127684051313,0.5951701360058449,0.5134679168446289,0.081702219161216,0.0005404192845079047,-0.48285588900695914,0.06333814931275032,-0.5453044841928917,-0.4692305533701275,-0.0760739308227642,0.0003958556726985906,0.6873170532845034,0.7454101174301695,0.07022928142347451,1.5052114782604367,0.8852137039433077
OSM26,Candi Griya,-7.6032082,112.6206324,soft_positive,1,dry,2024-08-12,0.720913,0.5497476333666941,0.04700890753879829,0.6062230381865403,0.5347349887891599,0.0714880493973804,0.0004471779099510497,-0.49908100066141625,0.043470716711207114,-0.556422458845436,-0.4844002205445325,-0.07202223830090343,0.00035657895174604414,0.7082336650791649,0.7542775359166773,0.05852280606185678,1.5282983661769285,0.8687278432463134
OSM29,Candi Gedog,-8.0877749,112.1841994,soft_positive,1,dry,2024-07-16,0.767885,0.24473314503535307,0.1420678869893031,0.30848444456913404,0.2400120782055741,0.06847236636355994,0.004143381071205441,-0.24879992782299984,0.11519802130430223,-0.29937113523982484,-0.24376008370603727,-0.055611051533787564,0.0028198144257961617,0.37311915866105705,0.45685543123371875,0.09202897436177865,1.1427201078067362,1.007163610918213
OSM30,Candi Dadi,-8.1302386,111.9268294,soft_positive,1,dry,2024-07-16,0.767885,0.33467326559947913,0.12638858376453044,0.40980516944750245,0.3228769752065388,0.08692819424096365,0.001027329590952932,-0.3237430642624089,0.10318634163986071,-0.39420700204330983,-0.31479329593894967,-0.07941370610436016,0.0005559566392436605,0.4874086431450022,0.578103392112946,0.10558830235381395,1.3770363661939864,0.9739753190394814
OSM31,Candi Ketawanggede,-7.946843,112.6123534,soft_positive,1,dry,2024-08-12,0.720913,0.17809233860494478,0.15000015936800262,0.1511363176610449,0.17550424616257954,-0.02436792850153463,0.004593370251693313,-0.1966110417657619,0.1263672616290619,-0.17858350475939827,-0.19435600835259542,0.01577250359319715,0.0037706159233101082,0.2774133974348213,0.24587620674620894,-0.029600687821914634,1.078198644700678,1.038772121100757
OSM32,Candi Karang Besuki,-7.9523146,112.5997549,soft_positive,1,dry,2024-08-12,0.720913,0.2554147979274987,0.17309027607787028,0.3112704209987339,0.2405509472576324,0.07071947374110152,0.0047912939542346785,-0.2601635245826747,0.1454170310632444,-0.3050224012562224,-0.24844723515755185,-0.056575166098670526,0.0037494305508778154,0.377020696103182,0.45076096522677633,0.09191695244916948,1.1705187509868034,1.007343667809911
OSM33,Situs Peninggalan Lesung Purbalingga,-7.9485617,112.5993642,soft_positive,1,dry,2024-08-12,0.720913,0.306582861154833,0.1725831312051025,0.48536797882859944,0.2676246239059926,0.21774335492260682,0.0045030983374384275,-0.3069713465109424,0.13941299132922239,-0.4483111459396031,-0.274028400084409,-0.1742827458551941,0.003113999299823756,0.4418459740263108,0.6475820043306032,0.2529492967304833,1.2221065425006825,0.9968519944806874
OSM34,Watu Prasasti,-7.596268,112.6128719,soft_positive,1,dry,2024-08-12,0.720913,0.5003798400409735,0.048623679253822036,0.5061267593916121,0.494887778965285,0.011238980426327094,0.0005907233611480412,-0.4496264348103501,0.04315260976809137,-0.45176647850681406,-0.4448362747651622,-0.006930203741651875,0.00044942276795055525,0.6655547520911556,0.670327491130704,0.009715928507195937,1.4955719958121172,0.876171574237815
OSM36,Candi Simping,-8.1640797,112.1461388,soft_positive,1,dry,2024-07-16,0.767885,0.36093676890779036,0.14806020956560298,0.3554974529607613,0.3372061934108719,0.018291259549889416,0.0031676463109108215,-0.34513410507317566,0.11351683132176182,-0.3414512448559779,-0.3259687666889409,-0.015482478167036962,0.001999588795140039,0.5125769722423088,0.5079929553128102,0.019132426719100704,1.3020297851025018,0.9593371639094564
OSM37,Candi Sirah Kencong,-7.9800031,112.4278234,soft_positive,1,dry,2024-07-16,0.767885,0.5291017170287697,0.08117594788357256,0.5486246994879985,0.5232816695594249,0.025343029928573624,0.0017277524809202582,-0.47777153160553554,0.06765674637639203,-0.4860894941358074,-0.4725923733790073,-0.013497120756800096,0.0012503865036091173,0.6878701222249086,0.7054487918827056,0.02317422038535566,1.5095495280285818,0.8686030657647538
OSM38,Candi Gambar Wetan,-7.9680444,112.2388364,soft_positive,1,dry,2024-07-16,0.767885,0.3676332905887174,0.20385424374326036,0.44064432465381215,0.3988575598859229,0.04178676476788923,0.0020196544087309814,-0.3439230039698895,0.17049702612304296,-0.3977583244251143,-0.36873878482022887,-0.029019539604885403,0.00134320473423884,0.4978776621596772,0.5963506602654547,0.06118704519984597,1.32693691923304,0.9395253548363216
OSM39,Situs Umpak Balekambang,-8.0143318,112.2227457,soft_positive,1,dry,2024-07-16,0.767885,0.37445916056880285,0.14223644147538123,0.474966927538811,0.34683600534733755,0.12813092219147343,0.003190311825113031,-0.36495843600876327,0.10543577211798949,-0.4390956617351305,-0.3462169833459951,-0.09287867838913538,0.0020422807003790595,0.5284098271354295,0.6389975521117163,0.14166067627398382,1.3098268803279822,0.9740934856657517
OSM40,Candi Wringin Branjang,-8.0027503,112.2817723,soft_positive,1,dry,2024-07-16,0.767885,0.38967881403650007,0.18787414174198874,0.5022942789593015,0.38374697708992683,0.11854730186937462,0.0019059192507534805,-0.3622324421822578,0.16027932705946155,-0.4592258225989688,-0.3568645423531153,-0.1023612802458535,0.0013583390437583375,0.5295717642842461,0.6629154541158391,0.137353803186558,1.3151467596865147,0.9307234016998059
OSM41,Situs Gadungan,-8.0000331,112.2816472,soft_positive,1,dry,2024-07-16,0.767885,0.3619379687268212,0.19527461465171772,0.40707844903250634,0.40040950030533495,0.0066689487271713865,0.001740416588054702,-0.33663146135803323,0.1639259203783877,-0.3609348377408349,-0.3723140894278359,0.01137925168700099,0.0012375179491942985,0.4958933314425546,0.5758039906559298,0.03368115847625708,1.2946807429964189,0.9370241686897048
OSM42,Candi Brahu,-7.5429066,112.3743651,soft_positive,1,dry,2024-07-16,0.767885,0.38361945924028007,0.11933244283156585,0.4137502918602178,0.3644823954030787,0.04926789645713908,0.0021618973284803365,-0.3600220386922615,0.08245894540330671,-0.38327795835742734,-0.3466420978434562,-0.036635860513971163,0.001119298562796931,0.5427539019667885,0.5799261847674564,0.05867850043004419,1.3544232024181317,0.9443146310489466
OSM43,Candi Gentong,-7.5435102,112.3780875,soft_positive,1,dry,2024-07-16,0.767885,0.344930621770404,0.12692878764875165,0.2842870222930402,0.3444458936076279,-0.06015887131458769,0.002627458298194116,-0.33282615992443854,0.08819904849811828,-0.3102344443123353,-0.3296546812088516,0.019420236896516285,0.0013503032764827722,0.4989297662658828,0.42966085559939526,-0.06901306716265831,1.3124986873201516,0.9708606797240784
OSM44,Candi Wringin Lawang,-7.5418917,112.3909426,soft_positive,1,dry,2024-07-16,0.767885,0.3126493697883183,0.13554336187265068,0.343798702588443,0.3245186425804286,0.019280060008014355,0.0030462223398778827,-0.3008642453150408,0.10389967623618894,-0.32844659527430475,-0.3096876537023466,-0.018758941571958176,0.001863240920383303,0.45903743299097505,0.4977809917019806,0.023107165765489934,1.2552428048101147,0.9721438576134315
WIKI0002,Candi Jago,-8.00579,112.76405,soft_positive,1,dry,2024-08-12,0.720913,0.23953438072407043,0.15263426175324626,0.17763068900495577,0.2631713154168985,-0.08554062641194271,0.004220609038347958,-0.25732449649336464,0.12563950699700066,-0.2059516425963383,-0.27854226515744207,0.07259062256110377,0.002975522535464714,0.3627412162102709,0.2890766688405955,-0.10396362471074128,1.1445144331784614,1.037525732070782
