# Old Javanese	kaw	https://github.com/davidmoeljadi/OJW	CC BY 4.0
02413390-a	kaw:lemma	araṅraṅ
00217728-a	kaw:lemma	araras
01560513-a	kaw:lemma	araras
00217728-a	kaw:lemma	arawit	ararawit
00166146-a	kaw:lemma	arĕcĕp	arcĕp
00217728-a	kaw:lemma	arĕcĕp	arcĕp
00419289-a	kaw:lemma	arĕgĕd
01210854-a	kaw:lemma	arĕhĕr
02385102-a	kaw:lemma	arĕhĕr
00113818-a	kaw:lemma	arĕṅu
00393105-a	kaw:lemma	arjuna
00217728-a	kaw:lemma	arjya
01210854-a	kaw:lemma	aruhur
02385102-a	kaw:lemma	aruhur
00800826-a	kaw:lemma	asahaṅ	sahaṅ
01930512-a	kaw:lemma	asaṅgĕm	saṅgĕm
01930512-a	kaw:lemma	asaniga
00981818-a	kaw:lemma	asantĕr
01754421-a	kaw:lemma	asantun
02461723-a	kaw:lemma	asatya
01372049-a	kaw:lemma	asĕḍĕp
01800349-a	kaw:lemma	asĕḍĕp
01361863-a	kaw:lemma	asĕkĕl
02251212-a	kaw:lemma	asĕnĕt
00113818-a	kaw:lemma	asĕṅhit	sĕṅit
02324397-a	kaw:lemma	asĕpa
02399595-a	kaw:lemma	asĕpa
01086545-a	kaw:lemma	asĕpi
02251212-a	kaw:lemma	asĕpi
01447302-a	kaw:lemma	asiṅsĕt
01452593-a	kaw:lemma	asrak
00032733-a	kaw:lemma	asrĕpĕt
00217728-a	kaw:lemma	aśrī
00077645-a	kaw:lemma	atakut
00980527-a	kaw:lemma	atamban
01901186-a	kaw:lemma	atamban
00842199-a	kaw:lemma	atĕguh
01447302-a	kaw:lemma	atĕguh
02290998-a	kaw:lemma	atĕguh
02526124-a	kaw:lemma	atĕguh
02547317-a	kaw:lemma	atĕlĕs
01436003-a	kaw:lemma	atĕṇḍĕk
01918984-a	kaw:lemma	atĕṅö
01922763-a	kaw:lemma	atĕṅö
02123314-a	kaw:lemma	atĕṅö
00444519-a	kaw:lemma	atĕpĕk
01251128-a	kaw:lemma	atis
02529945-a	kaw:lemma	atis
00594413-a	kaw:lemma	atitir
01827946-a	kaw:lemma	atpada
00439588-a	kaw:lemma	atugul
01643620-a	kaw:lemma	atuha-tuha
02099774-a	kaw:lemma	atuha-tuha
00505853-a	kaw:lemma	atulya
01150915-a	kaw:lemma	atwas
00460735-a	kaw:lemma	awa	mawa, māwa, awā, māwā
00948670-a	kaw:lemma	awāhya
01509527-a	kaw:lemma	awantö
00583239-a	kaw:lemma	awantu
01509527-a	kaw:lemma	awantu
01083157-a	kaw:lemma	awapūrṇa
01635146-a	kaw:lemma	awasthita
00077645-a	kaw:lemma	awĕdi
01387319-a	kaw:lemma	awĕgah
00594413-a	kaw:lemma	awichinna
00831225-a	kaw:lemma	awidya
00153898-a	kaw:lemma	awiraṅ
00077645-a	kaw:lemma	awrin	wrin-wrin, kawrin-wrin
01387319-a	kaw:lemma	awugah
00113818-a	kaw:lemma	awuyuṅ	ahuyuṅ
02497141-a	kaw:lemma	ayogya
01066542-a	kaw:lemma	bahu
01823092-a	kaw:lemma	bahula
00948103-a	kaw:lemma	bāhya
00842199-a	kaw:lemma	balawān
01824244-a	kaw:lemma	balawān
01825671-a	kaw:lemma	balawān
02526124-a	kaw:lemma	balawān
00842199-a	kaw:lemma	balawanta
01824244-a	kaw:lemma	balawanta
01825671-a	kaw:lemma	balawanta
02526124-a	kaw:lemma	balawanta
01919931-a	kaw:lemma	baṅkak
00764484-a	kaw:lemma	basaja
01222360-a	kaw:lemma	basaja
01791911-a	kaw:lemma	basaja
00013887-a	kaw:lemma	bĕk	bök
00113818-a	kaw:lemma	bĕndu
00919542-a	kaw:lemma	berag
00289082-a	kaw:lemma	bhagna
00961392-a	kaw:lemma	bhaktimanta
00113818-a	kaw:lemma	bhāmana
01725712-a	kaw:lemma	bhāmana
00339941-a	kaw:lemma	bhīru	bhīrun
00077645-a	kaw:lemma	bhīta
00339941-a	kaw:lemma	bhīta
00736299-a	kaw:lemma	bhraṃśa
02225510-a	kaw:lemma	binisa
00913454-a	kaw:lemma	biṣama
00419289-a	kaw:lemma	bolotĕn
02569130-a	kaw:lemma	buddhimān
00681930-a	kaw:lemma	buḍĕg
00697923-a	kaw:lemma	byakta
00113818-a	kaw:lemma	cala
00032733-a	kaw:lemma	caliriṅ
00419289-a	kaw:lemma	camah
02384077-a	kaw:lemma	caṅgih
00205295-a	kaw:lemma	cĕkap
00392812-a	kaw:lemma	cĕmĕṅ
01889819-a	kaw:lemma	cĕṅka
00631391-a	kaw:lemma	cĕpat
00336831-a	kaw:lemma	cĕpĕt
00631391-a	kaw:lemma	cĕpĕt
00914421-a	kaw:lemma	cĕpĕt
01837744-a	kaw:lemma	cĕpĕt
01391351-a	kaw:lemma	cili	acili
02461723-a	kaw:lemma	clor	cĕlor
00647542-a	kaw:lemma	codya
02461723-a	kaw:lemma	crol
00419289-a	kaw:lemma	cute	acute
01386883-a	kaw:lemma	dalu
01735736-a	kaw:lemma	dānta
02025498-a	kaw:lemma	daridra
00810916-a	kaw:lemma	darpa
00885695-a	kaw:lemma	darpa
00919542-a	kaw:lemma	darpa
01725712-a	kaw:lemma	darpa
01889819-a	kaw:lemma	darpa
01564315-a	kaw:lemma	ḍĕm	ḍöm
00888765-a	kaw:lemma	dĕṅgi
02251212-a	kaw:lemma	ḍewek
00958151-a	kaw:lemma	dharmātma
02036934-a	kaw:lemma	dharmātma
00262792-a	kaw:lemma	dhīra
00583239-a	kaw:lemma	dhīra
00595299-a	kaw:lemma	dhīra
00842199-a	kaw:lemma	dhīra
02301560-a	kaw:lemma	dhīra
00393105-a	kaw:lemma	dhota
00583239-a	kaw:lemma	dhruwa	dhruwam
00595299-a	kaw:lemma	dhruwa	dhruwam
01754421-a	kaw:lemma	dhruwa	dhruwam
01755024-a	kaw:lemma	dhruwa	dhruwam
01391351-a	kaw:lemma	ḍiḍik	saḍiḍik
01010862-a	kaw:lemma	ḍihin
00339941-a	kaw:lemma	dīna
00703615-a	kaw:lemma	dīna
