rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
94,Makassar,"to stab, pierce",annoboʔ,0.8681,0.1319,3,7,0.429,0,1,0,0,ACTION
95,Tolaki,house,laika,0.8675,0.1325,0,5,0.6,1,0,0,0,OTHER
96,Tolaki,Eight,hoalu,0.8641,0.1359,3,5,0.6,1,0,0,0,NUMBER
97,Tolaki,"shy, ashamed",kohanu,0.8631,0.1369,0,6,0.5,1,0,0,0,QUALITY
98,Wolio,to breathe,poinuñca,0.8604,0.1396,2,8,0.5,1,0,0,1,ACTION
99,Makassar,to breathe,aʔmaiʔ,0.8603,0.1397,2,6,0.5,0,1,0,0,ACTION
100,Makassar,One Thousand,sisaʔbu,0.8601,0.1399,0,7,0.429,1,1,0,0,NUMBER
101,Tolaki,above,i wawo,0.8502,0.1498,0,6,0.5,1,0,0,0,GRAMMAR
102,Tolaki,below,i lolu,0.8502,0.1498,0,6,0.5,1,0,0,0,GRAMMAR
103,Toraja-Sadan,One Hundred,saratuʔ,0.8463,0.1537,2,7,0.429,0,1,0,0,NUMBER
104,Tolaki,"to sniff, smell",siusiu,0.8457,0.1543,0,6,0.667,1,0,0,0,ACTION
105,Toraja-Sadan,to blow,pamurruʔ,0.8421,0.1579,0,8,0.375,0,1,0,1,ACTION
106,Toraja-Sadan,Fifty,limaŋpulo,0.8324,0.1676,2,9,0.444,1,0,1,0,NUMBER
107,Makassar,"to sniff, smell",aŋŋaraʔ,0.8298,0.1702,0,7,0.429,0,1,1,1,ACTION
108,Makassar,Eight,sagantuju,0.8254,0.1746,3,9,0.444,1,0,1,0,NUMBER
109,Makassar,Fifty,limampulo,0.8243,0.1757,2,9,0.444,1,0,1,0,NUMBER
110,Tolaki,who?,inae,0.8185,0.1815,3,4,0.75,1,0,0,0,GRAMMAR
111,Tolaki,to choose,mepili,0.8157,0.1843,0,6,0.5,1,0,0,1,ACTION
112,Tolaki,person/human being,toono,0.8114,0.1886,0,5,0.6,1,0,0,0,OTHER
113,Tolaki,warm,mokula,0.8093,0.1907,2,6,0.5,1,0,0,1,QUALITY
114,Tolaki,cold,morini,0.8093,0.1907,0,6,0.5,1,0,0,1,QUALITY
115,Tolaki,dry,mowatu,0.8093,0.1907,3,6,0.5,1,0,0,1,QUALITY
116,Tolaki,white,mowila,0.8093,0.1907,0,6,0.5,1,0,0,1,QUALITY
117,Tolaki,yellow,mokuni,0.8093,0.1907,0,6,0.5,1,0,0,1,QUALITY
118,Tolaki,small,mohewu,0.8093,0.1907,2,6,0.5,1,0,0,1,QUALITY
119,Tolaki,narrow,mohewu,0.8093,0.1907,3,6,0.5,1,0,0,1,QUALITY
120,Tolaki,"painful, sick",mohaki,0.8093,0.1907,0,6,0.5,1,0,0,1,QUALITY
121,Tolaki,to come,leu,0.808,0.192,0,3,0.667,1,0,0,0,ACTION
122,Tolaki,"to live, be alive",laa,0.808,0.192,0,3,0.667,1,0,0,0,ACTION
