block_label,block_size_deg,block_size_km,seed,xgb_mean_auc,xgb_std_auc,xgb_mean_tss,xgb_std_tss,rf_mean_auc,rf_std_auc,rf_mean_tss,rf_std_tss,xgb_mvr_pass,rf_mvr_pass
60km,0.5405405405405406,60.0,21924,0.7455336265817113,0.07576244614605901,0.44074665835097554,0.12619992330338925,0.7340705521898825,0.08831043291499083,0.4493514542502527,0.13544887330804753,0,0
60km,0.5405405405405406,60.0,22830,0.7458663561743094,0.071217081867342,0.4815975408849312,0.14282439634314914,0.7336074109518333,0.08332013080850383,0.4291006905711369,0.1129736942794461,0,0
60km,0.5405405405405406,60.0,41287,0.7254593842432826,0.056542107329845624,0.41766315130600135,0.11332524399878705,0.7260770808417694,0.07397673207095433,0.4289170751000538,0.11950913097666756,0,0
60km,0.5405405405405406,60.0,17010,0.719527637055317,0.065051192966012,0.45201666195837226,0.15472015565674863,0.7200134156000219,0.0965482308538154,0.4408139590383156,0.1672068388765872,0,0
60km,0.5405405405405406,60.0,27291,0.7404035483516777,0.06338657502787601,0.4307790379472828,0.1227675570086817,0.7256692991568492,0.07684271697230691,0.4414386290206741,0.11603683164910412,0,0
60km,0.5405405405405406,60.0,20828,0.7357763138450616,0.06783623014466762,0.4263716024838705,0.1288073012150539,0.7298735342286765,0.08125709435236729,0.44761019173088573,0.13864334780645843,0,0
60km,0.5405405405405406,60.0,25916,0.7460463616773708,0.0784127660492789,0.47141051507242837,0.15550144467385377,0.72797984382965,0.08175359650887408,0.4563399967089169,0.13654693556448336,0,0
60km,0.5405405405405406,60.0,8971,0.748805501405479,0.05663664237997197,0.466216924856573,0.133211818719645,0.7438168199917248,0.08239587241970922,0.48651054960796325,0.13059044141300166,0,0
60km,0.5405405405405406,60.0,26138,0.7405077333227676,0.0650137655375542,0.4340158596559432,0.1295481082504977,0.7190209945693612,0.08604942314223327,0.42774099740844546,0.11183256973605264,0,0
60km,0.5405405405405406,60.0,32581,0.7531021887930415,0.06341600854315212,0.4869975303054316,0.1437757897430155,0.7362255996838234,0.08631199978131983,0.45214609598538863,0.1428264221548877,1,0
60km,0.5405405405405406,60.0,36226,0.7548474444586859,0.06243863136056224,0.48499900852572486,0.14397342714931008,0.7362900820125597,0.07656336942621991,0.4456769641904982,0.10618293858986216,1,0
60km,0.5405405405405406,60.0,33850,0.7200448840601847,0.06245885535172272,0.46221149676365414,0.13086286171776468,0.7174046385235135,0.08487039122712292,0.4253221335511223,0.11470677875520226,0,0
60km,0.5405405405405406,60.0,39446,0.7343620972375302,0.08519101055106165,0.4510712126410432,0.1600985374862059,0.7423827613346802,0.1122453933554823,0.4725626888908142,0.17711858580042894,0,0
60km,0.5405405405405406,60.0,41432,0.7350120056133352,0.06729442024056179,0.41760842427231415,0.12233182311642862,0.7390006621989281,0.08411515185873314,0.4645976714612283,0.14605460808348197,0,0
60km,0.5405405405405406,60.0,11903,0.7373781168706248,0.06866889732633844,0.4243610521530433,0.14161003014462337,0.7315255994226117,0.07601471388803435,0.4213017209271408,0.11861085104956642,0,0
