seed,fold,xgb_auc,xgb_tss,rf_auc,rf_tss,n_train,n_test
25916,4,0.8116935483870967,0.5951612903225806,0.7665322580645162,0.45645161290322583,2124,144
25916,5,0.7619718309859155,0.5605633802816902,0.6901408450704225,0.45774647887323944,2187,81
26138,1,0.8548792405416725,0.6778584392014518,0.8586486109172135,0.6698310763646517,1745,523
26138,2,0.6851000816993464,0.36397058823529416,0.710375816993464,0.4249387254901961,1624,644
26138,3,0.7100642831064519,0.32242606790799555,0.6750280342147812,0.36727429197308714,1403,865
26138,4,0.7530009233610342,0.41228070175438597,0.6602031394275162,0.2894736842105263,2135,133
26138,5,0.7726495726495727,0.511965811965812,0.7632478632478633,0.4786324786324787,2165,103
27291,1,0.8111184792219276,0.5600132625994695,0.8236074270557029,0.6273209549071619,1927,341
27291,2,0.7657605246456527,0.4970911783372118,0.8316056695578591,0.5431563359424583,1587,681
27291,3,0.6880803156917363,0.2995686320024761,0.6482513153822346,0.25326911173011446,1262,1006
27291,4,0.7536096879366558,0.43735444806707036,0.7210060549604098,0.3455985095482067,2136,132
27291,5,0.7473684210526316,0.5198380566801619,0.748178137651822,0.45748987854251016,2160,108
32581,1,0.8790366721401204,0.7283798576902025,0.887383689107827,0.7398056923918993,1735,533
32581,2,0.6921093980163017,0.32986349798684084,0.732642639693607,0.4486153392909752,1601,667
32581,3,0.6952528060961796,0.33403357017814855,0.6608073318916694,0.3335186901451962,1434,834
32581,4,0.8058589870903674,0.5079443892750745,0.717974180734856,0.35153922542204563,2143,125
32581,5,0.6947115384615384,0.46073717948717946,0.7387820512820513,0.4567307692307693,2159,109
33850,1,0.8719021991894226,0.7117799481762008,0.8832635705268752,0.7443359245232875,1720,548
33850,2,0.6625633852072041,0.29365273649239376,0.7117328204231508,0.4420178352858891,1517,751
33850,3,0.6828360107889871,0.3276900371507574,0.6501382551018677,0.284932738468846,1529,739
33850,4,0.7701612903225806,0.5241935483870968,0.7516129032258064,0.44032258064516133,2124,144
33850,5,0.7144736842105264,0.5105263157894737,0.6671052631578948,0.3815789473684211,2182,86
36226,1,0.8045296878188124,0.5622321975107121,0.8335033666598654,0.6776168128953275,1901,367
36226,2,0.7607655502392345,0.42330748501347415,0.8147720398174119,0.5414948028378155,1612,656
36226,3,0.6679077808684901,0.2592335033225159,0.6377202132591563,0.23432429299953644,1261,1007
36226,4,0.805921052631579,0.5643796992481203,0.7175751879699248,0.38580827067669177,2137,131
36226,5,0.7945990180032734,0.6202945990180033,0.7896890343698855,0.48199672667757776,2161,107
39446,1,0.836919147263975,0.6455447489930248,0.8500835052559191,0.6458394734256803,1888,380
39446,2,0.7955587079877783,0.5035464862505457,0.8453186381492798,0.6038847664775208,1607,661
39446,3,0.6864449595815502,0.28936340941512123,0.6461131914724996,0.23246057219844662,1279,989
39446,4,0.7309344790547798,0.39688506981740057,0.6670247046186896,0.2798066595059076,2151,117
39446,5,0.7471509971509972,0.4914529914529915,0.7613960113960114,0.4672364672364673,2147,121
39691,1,0.8498902499468952,0.6398782128442966,0.865821709268569,0.7220137364582596,1752,516
39691,2,0.6766486871565236,0.33217993079584773,0.7021931610014248,0.4065743944636678,1622,646
39691,3,0.7140991149062268,0.3112839708347955,0.6722098750991019,0.3116348890708465,1401,867
39691,4,0.7267734553775744,0.4,0.6805491990846682,0.32128146453089235,2134,134
39691,5,0.7775919732441472,0.6187290969899666,0.7892976588628763,0.5426421404682275,2163,105
41287,1,0.8128834355828222,0.6143431351808759,0.8467315422043579,0.681827797757563,1913,355
41287,2,0.7553390978226898,0.4464527554953641,0.808000833420148,0.5443796228773831,1577,691
41287,3,0.6750963678270545,0.2681360276585598,0.6453266571292322,0.2542769432522651,1281,987
41287,4,0.7359022556390977,0.42434210526315785,0.693609022556391,0.33787593984962405,2137,131
41287,5,0.7142857142857144,0.4505494505494506,0.7531699070160609,0.4725274725274725,2164,104
41432,1,0.8537702103305194,0.7209901273429675,0.8700815567320075,0.7368006867935327,1757,511
41432,2,0.680625059012369,0.3585591539986781,0.7142385043905203,0.4217259937682938,1577,691
41432,3,0.7006716521257443,0.30875917462955266,0.6559756266445091,0.3115150256197203,1439,829
41432,4,0.7378446115288221,0.42305764411027563,0.7077694235588972,0.38095238095238093,2144,124
41432,5,0.7415384615384616,0.4830769230769231,0.7761538461538462,0.4953846153846154,2155,113
44036,1,0.8451354679802955,0.6197660098522167,0.8788485221674877,0.7001231527093597,1791,477
44036,2,0.6845951343500364,0.30346768336964414,0.7169798474945535,0.4152142338416848,1552,716
44036,3,0.7134081125163774,0.36248963876039464,0.6879127784165352,0.32600470600818204,1421,847
44036,4,0.7634408602150538,0.5053763440860215,0.670461733080329,0.31752055660974066,2158,110
44036,5,0.7545787545787546,0.5413919413919414,0.7523809523809524,0.4820512820512821,2150,118
