name,lat,lon,zone,nearest_volcano,distance_km,azimuth_to_volcano,azimuth_from_volcano
Candi Sumur,-7.5704798,112.3798002,A,Arjuno-Welirang,27.811272041593515,129.34360706452122,309.31762263455744
Candi Tawangalun,-7.3988488,112.7891649,A,Penanggungan,30.20914622412522,215.49893686449045,35.51973806097601
Candi Deres,-8.2989723,113.4190438,A,Lamongan,36.576037876484556,346.58781311551604,166.5987206238982
Candi Wonorejo,-7.769902,112.1171099,A,Kelud,27.55091774592358,130.26510704610928,310.2390353676264
Candi Pendem Ngawi,-7.4971784,111.2241507,A,Lawu,14.648272610667705,193.9985840420594,14.002814536915707
Candi Agung,-8.396529,114.1601135,A,Raung,32.87136736043663,336.70054139381415,156.7175118238955
Candi,-7.4853909,112.726104,A,Penanggungan,18.337396692690415,215.28283218100822,35.29546390804768
Candi Prambanan,-8.1992747,111.0914972,A,Lawu,64.80868820650375,9.8410180073177,189.82718318056718
Candi Merak,-7.6066004,112.6133722,A,Penanggungan,2.361891184733264,129.11297772688528,309.1107747681682
Candi Sukuh,-7.6273153,111.1315373,A,Lawu,6.668651043298096,87.79150430918986,267.78348036985847
Candi Cetho,-7.5957362,111.1581311,A,Lawu,4.952049622015978,131.0812291168195,311.07674366316877
Candi Penataran,-8.0164156,112.2094979,B,Kelud,14.491064245491453,48.47037273115711,228.45670949527414
Candi Jawi,-7.6624877,112.669879,A,Penanggungan,6.452583752783323,317.0663395062405,137.07164221240168
Candi Kidal,-8.0258439,112.7091054,A,Semeru,25.155916410594063,111.30861440495312,291.27873893947935
Candi Jago,-8.0057952,112.7641342,A,Semeru,20.766339240193822,123.19050443152116,303.168378503893
Candi Bajang Ratu,-7.5677817,112.3986624,A,Penanggungan,26.150725084231002,102.84393029985955,282.8133588297869
