seed,algorithm,pick_own,pick_common_ins,pick_boyce,auc_common_at_pick_own,auc_common_at_pick_common_ins,auc_common_at_pick_boyce,auc_common_min,auc_common_max
10,randomforest,1.0,0.2,0.8,0.6286056222574105,0.7054382969966124,0.6628697423072861,0.6286056222574105,0.7054382969966124
10,xgboost,1.0,0.2,0.2,0.6196840011278915,0.7197912093375846,0.7197912093375846,0.6196840011278915,0.7197912093375846
11,maxent,1.0,0.4,0.6,0.5446860025349756,0.6620900195755568,0.6490466067743048,0.5446860025349756,0.6620900195755568
11,randomforest,1.0,0.3,0.5,0.630583179670574,0.7018461136701124,0.6708862264015311,0.630583179670574,0.7018461136701124
11,xgboost,1.0,0.4,0.7,0.6174302017556903,0.717085369657628,0.6596316034863192,0.6174302017556903,0.717085369657628
12,maxent,1.0,0.0,0.4,0.5379461404300627,0.6683735005253629,0.6520285845718539,0.5379461404300627,0.6683735005253629
12,randomforest,1.0,0.2,0.8,0.6335315716262542,0.7106972950254619,0.6585450562280222,0.6335315716262542,0.7106972950254619
12,xgboost,1.0,0.2,0.3,0.6140964518106371,0.7162994118325328,0.7118230520767612,0.6140964518106371,0.7162994118325328
13,maxent,1.0,0.0,0.2,0.5617140679874245,0.6766889218300295,0.6721013765837812,0.5617140679874245,0.6766889218300295
13,randomforest,1.0,0.0,0.2,0.6439006150625136,0.7230584416629785,0.7154131775054171,0.6439006150625136,0.7230584416629785
13,xgboost,1.0,0.0,0.6,0.6239905868749211,0.7472307376494792,0.7142273204830503,0.6239905868749211,0.7472307376494792
14,maxent,1.0,0.2,0.3,0.5429934613629176,0.6789042998531123,0.6764742766149572,0.5429934613629176,0.6789042998531123
14,randomforest,1.0,0.2,0.7,0.6313077556568817,0.7054806625066767,0.6592773891141152,0.6313077556568817,0.7054806625066767
14,xgboost,1.0,0.2,0.2,0.6124912017249937,0.7249705053033961,0.7249705053033961,0.6124912017249937,0.7249705053033961
15,maxent,1.0,0.1,0.5,0.5495407162730384,0.6756516393808158,0.6696416320120596,0.5495407162730384,0.6756516393808158
15,randomforest,1.0,0.1,0.2,0.6324250322527114,0.7208843933358647,0.7033547255734666,0.6324250322527114,0.7208843933358647
15,xgboost,1.0,0.1,0.5,0.6072975276675967,0.7192248319885145,0.7061624866483054,0.6072975276675967,0.7192248319885145
16,maxent,1.0,0.2,0.2,0.5559038962289337,0.6881051099784601,0.6881051099784601,0.5559038962289337,0.6881051099784601
16,randomforest,1.0,0.1,0.2,0.637844161902292,0.7179318506799943,0.7155546306850237,0.637844161902292,0.7179318506799943
16,xgboost,1.0,0.1,0.3,0.6100809538768286,0.7393921221249901,0.7122033650345466,0.6100809538768286,0.7393921221249901
17,maxent,1.0,0.2,0.4,0.5565033708416098,0.675320572104051,0.6577113976470325,0.5565033708416098,0.675320572104051
17,randomforest,1.0,0.2,0.7,0.6396963788358448,0.7087321215693361,0.6738019016644862,0.6396963788358448,0.7087321215693361
17,xgboost,1.0,0.2,0.2,0.6275467906750711,0.7324903103789868,0.7324903103789868,0.6275467906750711,0.7324903103789868
18,maxent,0.9,0.1,0.1,0.6020706150524452,0.6827084652671914,0.6827084652671914,0.5373067551134237,0.6827084652671914
18,randomforest,1.0,0.0,0.2,0.6321692490350925,0.7166193603459684,0.7164988464308064,0.6321692490350925,0.7166193603459684
18,xgboost,1.0,0.2,0.4,0.6119323769655599,0.7226405140766217,0.7132455452350296,0.6119323769655599,0.7226405140766217
19,maxent,0.9,0.0,0.4,0.6060913110540348,0.6571754664914122,0.6492782107345477,0.55435649680592,0.6571754664914122
19,randomforest,1.0,0.0,0.0,0.634277580233935,0.710425706377047,0.710425706377047,0.634277580233935,0.710425706377047
19,xgboost,1.0,0.1,0.6,0.6241022705094746,0.7335141275742224,0.6914678381195574,0.6241022705094746,0.7335141275742224
