seed,hard_frac,zdist_mean,algorithm,auc_own,auc_common,tss_common,boyce
1,0.2,2.2649210031770552,randomforest,0.73216815555237,0.7131900011099137,0.4089763798735941,0.7277959374916689
1,0.3,2.3345144086044485,maxent,0.7083125059314306,0.6733245865178616,0.353804946379605,0.6193195984783627
1,0.3,2.3345144086044485,xgboost,0.7274314750609692,0.7067620023611297,0.41606327404023913,0.48867422797404647
1,0.3,2.3345144086044485,randomforest,0.716720007004098,0.7028111965051633,0.39759523345499137,0.7001318938986265
1,0.4,2.4033583273334846,maxent,0.7274693724905462,0.6575454413023355,0.33641425896251764,0.6041579678859781
1,0.4,2.4033583273334846,xgboost,0.7751312711813311,0.7049580743646764,0.3802471297634495,0.5137795364018554
1,0.4,2.4033583273334846,randomforest,0.7673813176489681,0.6998569704770405,0.4081139762253615,0.5798583171391852
1,0.5,2.474402286637629,maxent,0.7247312175286991,0.651531373364824,0.3239022004318438,0.6106713971454212
1,0.5,2.474402286637629,xgboost,0.7803794339419172,0.7111999176230357,0.4129564936352009,0.7070881105729729
1,0.5,2.474402286637629,randomforest,0.769116030975488,0.6941031957715987,0.39212578157113415,0.6070140406581214
1,0.6,2.506331605734512,maxent,0.736472024519627,0.6587070684237344,0.3216601237418066,0.6271422335780736
1,0.6,2.506331605734512,xgboost,0.7653927527058405,0.6943049208541103,0.364124372780443,0.6334955613311517
1,0.6,2.506331605734512,randomforest,0.7611685308666072,0.6852421653897631,0.35767431901672575,0.6025873818300507
1,0.7,2.6474912025161945,maxent,0.7592399871692169,0.6352618288733962,0.28616321211752105,0.5538389624768553
1,0.7,2.6474912025161945,xgboost,0.7939262917458223,0.6700254893356733,0.3170309994941671,0.5581275907795946
1,0.7,2.6474912025161945,randomforest,0.7964478892203093,0.6645885974226344,0.33682040408444514,0.5532651572155082
1,0.8,2.6970257181129536,maxent,0.7918175609603526,0.6357311029019022,0.2831913303898207,0.5094666184116722
1,0.8,2.6970257181129536,xgboost,0.8204430520527926,0.6697448124527001,0.32952917320200614,0.5175136357205721
1,0.8,2.6970257181129536,randomforest,0.8114548854954362,0.6601342165440836,0.33191496776292245,0.5490609622946986
1,0.9,2.7384372319447987,maxent,0.7935755448680567,0.61479328778864,0.27578290912120096,0.4243579072698207
1,0.9,2.7384372319447987,xgboost,0.8467456521215496,0.6473622009038029,0.3016319686807293,0.34961401832940286
1,0.9,2.7384372319447987,randomforest,0.8272909403400247,0.6493237040240055,0.3149983667109305,0.5666586264700204
1,1.0,2.8176555310411606,maxent,0.8186480825330522,0.5617503278618934,0.18143133633946212,-0.05037808906526704
1,1.0,2.8176555310411606,xgboost,0.8640812042188019,0.6283641589290125,0.25831134798242683,0.25929761231093984
1,1.0,2.8176555310411606,randomforest,0.8447262321304125,0.6369153243454415,0.2865975404690255,0.48059596220067896
2,0.0,2.1420405817850794,maxent,0.6812474203611286,0.6838797052654007,0.3819686647368144,0.6861736360666731
2,0.0,2.1420405817850794,xgboost,0.7519221612532164,0.7378773954405311,0.45179678888097374,0.563423042754639
2,0.0,2.1420405817850794,randomforest,0.7184985064345499,0.7241007515876877,0.41687065977133286,0.5149780832746319
2,0.1,2.1710999979741823,maxent,0.6803936937795669,0.6746732238619126,0.36927097822920196,0.6346296712865722
2,0.1,2.1710999979741823,xgboost,0.6950615468965229,0.7059299151141616,0.43378715353747443,0.571954083680594
2,0.1,2.1710999979741823,randomforest,0.7004874156097594,0.7169496011418703,0.4079815210508405,0.6101041557444541
2,0.2,2.2317667270843056,maxent,0.7019361715256975,0.6816604464775916,0.36817701927439683,0.644486601326993
2,0.2,2.2317667270843056,xgboost,0.7560316939818625,0.7382018667441932,0.45154096518837844,0.6161513662501761
2,0.2,2.2317667270843056,randomforest,0.7385574767112028,0.7239304573210569,0.4271390612353815,0.7065118679058336
2,0.3,2.3228217644434888,maxent,0.7118054149292629,0.6808477274612414,0.36189593304206485,0.7058921692671029
2,0.3,2.3228217644434888,xgboost,0.7542899979986948,0.728687790959438,0.43031016000610495,0.5577978169916488
2,0.3,2.3228217644434888,randomforest,0.7303368273496824,0.7130935431272272,0.42405425253446427,0.5351415243259909
2,0.4,2.3947125694397786,maxent,0.7094839778719988,0.6695263180422708,0.3598261615410013,0.6970392747430997
2,0.4,2.3947125694397786,xgboost,0.7517838298035876,0.7073286077782173,0.4094457614789295,0.6166189380181626
2,0.4,2.3947125694397786,randomforest,0.745110452686075,0.7139675049707056,0.42579387455528916,0.5139203496179061
2,0.5,2.4766230389986763,maxent,0.7417546517728034,0.671591032316002,0.35748488902760506,0.6769037367804114
2,0.5,2.4766230389986763,xgboost,0.7660408445380454,0.6926785490435792,0.36489784642562617,0.5953625999748178
2,0.5,2.4766230389986763,randomforest,0.7696164877423007,0.7051781834208125,0.39217059541828914,0.526869022722102
2,0.6,2.534172047643682,maxent,0.7451197094714272,0.6612388060798923,0.33692674890419877,0.5997726920968629
2,0.6,2.534172047643682,xgboost,0.7659322117174362,0.6959802083617792,0.38448129049024216,0.5815112178155882
