filename,title,lang,total_words,unique_words,ttr,guiraud,mean_word_length,hapax_ratio,hapax_count,sanskrit_phon_ratio,sanskrit_sem_ratio,sanskrit_sem_count,indigenous_count,formulaic_ratio,nf_ttr,nf_guiraud,nf_word_count,year_ce,century
DHARMA_INSIDENKAyamTeas_I.xml,Ayam Teas I (822 Śaka),kaw-Latn,193,155,0.8031088082901554,11.157144136604765,4.922279792746114,0.7046632124352331,136,0.3225806451612903,0.07096774193548387,11,2,0.03626943005181347,0.7956989247311828,10.851886511580144,186,900.0,9.0
DHARMA_INSIDENKAyamTeas_III.xml,"Charter of Ayam Teas III (822 Śaka, 901-01-01)",kaw-Latn,216,172,0.7962962962962963,11.703117659964073,4.986111111111111,0.6805555555555556,147,0.20348837209302326,0.029069767441860465,5,3,0.013888888888888888,0.7934272300469484,11.579689196085285,213,901.0,10.0
DHARMA_INSIDENKBalekambang.xml,Prayer for long life of Vijaya (7th c. CE),san-Latn,21,20,0.9523809523809523,4.364357804719848,4.666666666666667,0.9047619047619048,19,0.6,0.0,0,0,0.0,0.9523809523809523,4.364357804719848,21,650.0,7.0
DHARMA_INSIDENKBarahasrama.xml,"Barahasrama (837 Śaka, 915-12-14)",kaw-Latn,677,385,0.568685376661743,14.796752008963692,5.128508124076809,0.43722304283604135,296,0.34285714285714286,0.04155844155844156,16,3,0.014771048744460856,0.5637181409295352,14.558778142052487,667,915.0,10.0
DHARMA_INSIDENKBhatari.xml,"Bhatari (829 Śaka, 907-10-07)",unknown,394,224,0.5685279187817259,11.284956969661275,4.50507614213198,0.4416243654822335,174,0.29464285714285715,0.049107142857142856,11,5,0.017766497461928935,0.5607235142118863,11.030729920725072,387,907.0,10.0
DHARMA_INSIDENKBularut.xml,Bularut charter (964 Śaka),kaw-Latn,1234,812,0.6580226904376013,23.11524225776862,4.736628849270664,0.5486223662884927,677,0.04556650246305419,0.0049261083743842365,4,4,0.0016207455429497568,0.6574675324675324,23.077016733076682,1232,1042.0,11.0
DHARMA_INSIDENKCanggal.xml,The stela of Canggal or Gunung Wukir (654 Śaka),san-Latn,374,346,0.9251336898395722,17.891234073827665,6.136363636363637,0.8743315508021391,327,0.6560693641618497,0.005780346820809248,2,0,0.0,0.9251336898395722,17.891234073827665,374,732.0,8.0
DHARMA_INSIDENKDalinan.xml,"Charter for the demarcation of Wukajana, Tumpak & Wuru Telu villages for the monastery at Dalinan (825 Śaka, 5 March 904)",kaw-Latn,1549,812,0.5242091672046482,20.631477013781012,4.514525500322789,0.4144609425435765,642,0.3583743842364532,0.01600985221674877,13,8,0.003873466752743706,0.5223590408295529,20.51880568913843,1543,903.0,10.0
DHARMA_INSIDENKDawangsari.xml,"A poem in honor of Gaṇeśa found at Dawangsari, 9th c. CE",kaw-Latn,127,108,0.8503937007874016,9.583450301694029,5.448818897637795,0.7401574803149606,94,0.4166666666666667,0.009259259259259259,1,0,0.0,0.8503937007874016,9.583450301694029,127,850.0,9.0
DHARMA_INSIDENKDinoyoIIa.xml,Two connected charters on a stone from Dinoyo (772 and 786 Śaka),kaw-Latn,226,159,0.7035398230088495,10.576522673280055,4.553097345132743,0.5309734513274337,120,0.34591194968553457,0.06289308176100629,10,4,0.05752212389380531,0.7136150234741784,10.414868389378482,213,864.0,9.0
DHARMA_INSIDENKDisunuh.xml,Disunuh (709 Śaka),kaw-Latn,71,50,0.704225352112676,5.933908290969266,4.690140845070423,0.6056338028169014,43,0.6,0.16,8,1,0.08450704225352113,0.676923076923077,5.457528321925173,65,787.0,8.0
DHARMA_INSIDENKGajahMada.xml,Gajah Mada's foundation of a caitya (1351-04-27),kaw-Latn,123,97,0.7886178861788617,8.746195456274092,6.203252032520325,0.6747967479674797,83,0.5773195876288659,0.09278350515463918,9,0,0.08130081300813008,0.7876106194690266,8.372415728614016,113,1351.0,14.0
DHARMA_INSIDENKGondangLor.xml,Akṣobhya Statue from Gondang Lor (11th or 12th c. CE),san-Latn,54,53,0.9814814814814815,7.21238646486158,5.925925925925926,0.9629629629629629,52,0.6226415094339622,0.018867924528301886,1,0,0.0,0.9814814814814815,7.21238646486158,54,1150.0,12.0
DHARMA_INSIDENKGulungGulung.xml,Gulung-Gulung (851 Śaka),kaw-Latn,1512,863,0.5707671957671958,22.193965169547553,4.9411375661375665,0.4523809523809524,684,0.3603707995365006,0.027809965237543453,24,7,0.008597883597883597,0.5677118078719147,21.98005342347919,1499,929.0,10.0
