cx,cy,mean_suitability,site_count,cell_area_km2,predicted_count,residual,residual_density,dist_to_volcano_km,nearest_volcano
626398.4224269099,9221928.406435862,0.7352019534302155,2,626.0832539287251,2.0428843246434214,-0.0428843246434214,-0.0684962013826734,90.01641559263926,Arjuno-Welirang
651389.4143323496,9221928.406435862,0.6821800840409925,1,626.0832539287221,1.8955539954282172,-0.8955539954282172,-1.4304072019312846,79.77089885940148,Arjuno-Welirang
676380.4062377894,9221928.406435862,0.6698642336399162,0,626.0832539287221,1.8613322994552615,-1.8613322994552615,-2.972978893422326,76.63508913260607,Arjuno-Welirang
701371.3981432291,9221928.406435862,0.7719311449300111,0,626.0832539287221,2.144942662793472,-2.144942662793472,-3.4259703471284153,81.43449404720091,Arjuno-Welirang
726362.3900486687,9221928.406435862,0.8344575883416911,0,626.0832539287221,2.3186830759213994,-2.3186830759213994,-3.7034740369934496,92.94792148251744,Arjuno-Welirang
751353.3819541085,9221928.406435862,0.847818745534205,2,626.0832539287193,2.355809335529841,-0.35580933552984106,-0.5683099384899865,104.6462932296595,Lamongan
776344.3738595482,9221928.406435862,0.8464844865318802,0,626.0832539287221,2.352101868774419,-2.352101868774419,-3.7568515912457214,105.96767707450338,Lamongan
801335.3657649879,9221928.406435862,0.8215690107664673,0,626.0832539287251,2.2828699595762525,-2.2828699595762525,-3.6462721934360194,112.9448973405177,Lamongan
826326.3576704275,9221928.406435862,0.7563828807554251,0,626.0832539287221,2.101739152506973,-2.101739152506973,-3.3569643323286367,121.63369637009406,Raung
851317.3495758674,9221928.406435862,0.7000377440234771,0,626.0832539287221,1.9451745568029806,-1.9451745568029806,-3.106894401977462,122.36020554766968,Raung
876308.341481307,9221928.406435862,0.7115700027882631,0,626.0832539287251,1.9772189094443113,-1.9772189094443113,-3.1580766567977925,128.05617151671848,Raung
893480.0659807504,9221928.406435862,0.6953840039811452,0,234.7812202232719,1.9322433444482143,-1.9322433444482143,-8.229974026928954,134.54541006349675,Raung
501443.46289971133,9196937.414530423,0.8763348264770401,0,626.0832539287687,2.435046141806785,-2.435046141806785,-3.8893328108146887,160.6489803154453,Kelud
526434.4548051511,9196937.414530423,0.8762934830621156,1,626.0832539287687,2.4349312620599584,-1.4349312620599584,-2.2919176532123227,138.91915617821033,Kelud
551425.4467105907,9196937.414530423,0.8665073272841466,2,626.0832539287687,2.40773875509768,-0.4077387550976801,-0.651253251926252,118.48235473257272,Kelud
576416.4386160304,9196937.414530423,0.8620599837540519,0,626.0832539287687,2.3953810507396525,-2.3953810507396525,-3.8259784712468634,100.13343180736341,Kelud
601407.4305214703,9196937.414530423,0.8271368324616859,5,626.0832539287687,2.2983411040835575,2.7016588959164425,4.3151751447800555,85.23168014828802,Kelud
626398.4224269099,9196937.414530423,0.8423718957232637,4,626.0832539287717,2.340674332085491,1.659325667914509,2.650327504372585,69.99627663592412,Arjuno-Welirang
651389.4143323496,9196937.414530423,0.8121662636715241,0,626.0832539287687,2.2567428191909147,-2.2567428191909147,-3.6045410974171666,56.21316546488849,Arjuno-Welirang
676380.4062377894,9196937.414530423,0.7001472395665556,4,626.0832539287687,1.9454788088898116,2.0545211911101884,3.281546309085496,51.666822556729244,Arjuno-Welirang
701371.3981432291,9196937.414530423,0.679680604607442,23,626.0832539287687,1.8886087644875957,21.111391235512404,33.719782637588814,58.54998281357281,Arjuno-Welirang
726362.3900486687,9196937.414530423,0.7033416426138656,0,626.0832539287687,1.9543550039019377,-1.9543550039019377,-3.1215577028103842,73.72814777726548,Arjuno-Welirang
751353.3819541085,9196937.414530423,0.7083966241013099,1,626.0832539287659,1.9684011342119587,-0.9684011342119587,-1.5467609589221514,79.72728638342599,Lamongan
776344.3738595482,9196937.414530423,0.7009168582947646,1,626.0832539287687,1.9476173261073935,-0.9476173261073935,-1.5135644024352175,81.45392619096499,Lamongan
801335.3657649879,9196937.414530423,0.6995329936499374,0,626.0832539287717,1.9437720215932317,-1.9437720215932317,-3.1046542283246743,90.3445811469455,Lamongan
826326.3576704275,9196937.414530423,0.700062747897498,0,626.0832539287687,1.9452440343418453,-1.9452440343418453,-3.1070053737025223,96.72791070167376,Raung
851317.3495758674,9196937.414530423,0.6999997227048884,0,626.0832539287687,1.9450689080688002,-1.9450689080688002,-3.10672565647331,97.63991252416562,Raung
876308.341481307,9196937.414530423,0.70540554046101,0,626.0832539287717,1.9600898969336074,-1.9600898969336074,-3.1307176555733323,104.6896159109296,Raung
893480.0659807504,9196937.414530423,0.6954892760517457,0,234.7812202232894,1.9325358608946805,-1.9325358608946805,-8.231219937679583,112.53443910738272,Raung
