filename,title,lang,date_ce,century,lat,lon,geocode_method,confidence,geocode_note,nearest_volcano,volcano_dist_km
DHARMA_INSIDENKBukateja.xml,Embossed Image of Śiva in Gold Leaf from Central Java (8th c. CE),omy-Latn,,,-7.6,110.35,known_location,low,Central Java,Merapi,11.96
DHARMA_INSIDENKBularut.xml,Bularut charter (964 Śaka),kaw-Latn,1042,11,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKCanggal.xml,The stela of Canggal or Gunung Wukir (654 Śaka),san-Latn,732,8,-7.6,110.3,known_location,high,"Gunung Wukir, Magelang",Merapi,16.81
DHARMA_INSIDENKCanggu.xml,Canggu inscription,kaw-Latn,,,-7.47,112.65,known_location,medium,Sidoarjo/Surabaya area,Penanggungan,14.83
DHARMA_INSIDENKDalinan.xml,"Charter for the demarcation of Wukajana, Tumpak & Wuru Telu villages for the monastery at Dalinan (825 Śaka, 5 March 904)",kaw-Latn,903,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKDawangsari.xml,"A poem in honor of Gaṇeśa found at Dawangsari, 9th c. CE",kaw-Latn,,,-7.77,110.49,known_location,medium,Prambanan area,Merapi,26.16
DHARMA_INSIDENKdevadravya.xml,Inventory of a Śaiva temple at Dieng (9th c. CE),omy-Latn,,,-7.21,109.92,known_location,high,Dieng Plateau,Dieng,1.11
DHARMA_INSIDENKDinoyoIIa.xml,Two connected charters on a stone from Dinoyo (772 and 786 Śaka),kaw-Latn,864,9,-7.97,112.63,known_location,high,"Dinoyo, Malang",Arjuno,27.05
DHARMA_INSIDENKGajahMada.xml,Gajah Mada's foundation of a caitya (1351-04-27),kaw-Latn,,,-7.55,112.39,known_location,medium,Trowulan/Majapahit area,Penanggungan,25.95
DHARMA_INSIDENKGandasuli.xml,Gandasuli (early 8th century CE),omy-Latn,,,-7.28,110.4,known_location,high,"Temanggung, Central Java",Merbabu,19.41
DHARMA_INSIDENKGarung.xml,Garung,kaw-Latn,,,-7.35,109.95,known_location,medium,Near Dieng,Sindoro,7.1
DHARMA_INSIDENKGondangLor.xml,Akṣobhya Statue from Gondang Lor (11th or 12th c. CE),san-Latn,,,-7.5,112.0,known_location,medium,East Java,Kelud,58.76
DHARMA_INSIDENKGulungGulung.xml,Gulung-Gulung (851 Śaka),kaw-Latn,929,10,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKHampran.xml,Gift of Hampran village (674 Śaka),,752,8,-7.58,110.4,known_location,medium,Kedu Plain,Merapi,6.26
DHARMA_INSIDENKHering.xml,Charter of Hering (870 Śaka),san-Latn,948,10,-7.6,112.0,known_location,medium,"East Java, Brantas area",Kelud,50.13
DHARMA_INSIDENKHimadvalandit.xml,Himad Walandit,kaw-Latn,,,-7.58,112.55,known_location,medium,Penanggungan area,Penanggungan,8.03
DHARMA_INSIDENKHorren.xml,"Charter of Horren, ca. 975 Śaka",kaw-Latn,1053,11,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKHuludayeuh.xml,Huludayeuh,osn-Latn,,,-6.72,107.37,known_location,medium,Bogor area,Tangkubanperahu,25.78
DHARMA_INSIDENKHumanding.xml,The Polengan plates: Humanding charter (797 Śaka),kaw-Latn,875,9,-7.6,110.35,known_location,medium,Kedu-Prambanan area (Polengan),Merapi,11.96
DHARMA_INSIDENKJeruJeru.xml,Jeru-Jeru (852 Śaka),kaw-Latn,930,10,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKJragung.xml,Jragung,san-Latn,,,-7.6,110.35,known_location,low,Central Java,Merapi,11.96
DHARMA_INSIDENKJurungan.xml,The Polengan plates: Jurungan charter (798 Śaka),kaw-Latn,876,9,-7.6,110.35,known_location,medium,Kedu-Prambanan area (Polengan),Merapi,11.96
DHARMA_INSIDENKKalasan.xml,Kalasan,san-Latn,,,-7.77,110.47,known_location,high,"Candi Kalasan, Sleman",Merapi,25.79
DHARMA_INSIDENKKanjuruhan.xml,The Kanjuruhan Charter (682 Śaka),san-Latn,760,8,-7.97,112.63,known_location,high,Malang area,Arjuno,27.05
DHARMA_INSIDENKKarangloMojokerto.xml,Karang Lo (1019 Śaka),kaw-Latn,1097,11,-7.47,112.65,known_location,medium,Mojokerto area,Penanggungan,14.83
DHARMA_INSIDENKKasugihan.xml,"Kasugihan (829 Śaka, 907-11-18)",kaw-Latn,907,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKKawali_1a.xml,Kawali I (a),osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
DHARMA_INSIDENKKawali_1b.xml,Kawali I (b),osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
DHARMA_INSIDENKKawali_2.xml,Kawali 2,osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
DHARMA_INSIDENKKawali_3.xml,Kawali 3,osn-Latn,,,-7.19,108.36,known_location,high,"Ciamis, West Java",Galunggung,33.76
