filename,title,year_ce,n_organic,n_lithic,n_metal,materials,classes
DHARMA_INSIDENKAmoghapasaPlaqueTropenmuseum.xml,Singasari Amoghapāśa plaque Tropenmuseum,,0,0,0,,
DHARMA_INSIDENKAnjatan.xml,Anjatan: Foundation Charter of the Amr̥tamaṅgala Monastery,,3,0,2,kayu|bambu|daun|emas|tembaga|pahat|sima,institution|organic|metal|activity
DHARMA_INSIDENKAyamTeas_I.xml,Ayam Teas I (822 Śaka),900,0,0,1,emas|sima,institution|metal
DHARMA_INSIDENKAyamTeas_II.xml,Charter of Ayam Teas II,,1,0,1,daun|emas|sima,institution|organic|metal
DHARMA_INSIDENKAyamTeas_III.xml,"Charter of Ayam Teas III (822 Śaka, 901-01-01)",901,0,0,1,emas,metal
DHARMA_INSIDENKBalekambang.xml,Prayer for long life of Vijaya (7th c. CE),650,1,2,0,daun|batu|stambha,organic|lithic
DHARMA_INSIDENKBarahasrama.xml,"Barahasrama (837 Śaka, 915-12-14)",915,5,1,2,kayu|bambu|atap|ijuk|daun|batu|emas|perak|sima,institution|organic|metal|lithic
DHARMA_INSIDENKBarsahan.xml,Barsahan charter (date lost),,1,0,0,atap|sima,institution|organic
DHARMA_INSIDENKBatur.xml,Batur,,1,1,0,daun|batu,organic|lithic
DHARMA_INSIDENKBatutulis.xml,Batutulis,,1,1,1,daun|batu|emas,organic|metal|lithic
DHARMA_INSIDENKBhatari.xml,"Bhatari (829 Śaka, 907-10-07)",907,2,0,2,kayu|daun|emas|perak|sima,institution|organic|metal
DHARMA_INSIDENKBorobudurHB021.xml,"Relief label from Borobudur's hidden base, no. 21 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB024.xml,"Relief label from Borobudur's hidden base, no. 24",,0,0,0,,
DHARMA_INSIDENKBorobudurHB029.xml,"Relief label from Borobudur's hidden base, no. 29",,0,0,0,,
DHARMA_INSIDENKBorobudurHB043.xml,"Relief label from Borobudur's hidden base, no. 43 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB121A.xml,"Relief label from Borobudur's hidden base, no. 121A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB121B.xml,"Relief label from Borobudur's hidden base, no. 121B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB122.xml,"Relief label from Borobudur's hidden base, no. 122 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB123.xml,"Relief label from Borobudur's hidden base, no. 123 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB124A.xml,"Relief label from Borobudur's hidden base, no. 124A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB124B.xml,"Relief label from Borobudur's hidden base, no. 124B (8th c. CE)",750,0,0,1,emas,metal
DHARMA_INSIDENKBorobudurHB125A.xml,"Relief label from Borobudur's hidden base, no. 125A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB125B.xml,"Relief label from Borobudur's hidden base, no. 125B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB126A.xml,"Relief label from Borobudur's hidden base, no. 126A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB126B.xml,"Relief label from Borobudur's hidden base, no. 126B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB127A.xml,"Relief label from Borobudur's hidden base, no. 127A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB127B.xml,"Relief label from Borobudur's hidden base, no. 127B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB128.xml,"Relief label from Borobudur's hidden base, no. 128 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB129.xml,"Relief label from Borobudur's hidden base, no. 129 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB130.xml,"Relief label from Borobudur's hidden base, no. 130 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB131A.xml,"Relief label from Borobudur's hidden base, no. 131A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB131B.xml,"Relief label from Borobudur's hidden base, no. 131B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB132.xml,"Relief label from Borobudur's hidden base, no. 132 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB133.xml,"Relief label from Borobudur's hidden base, no. 133 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB134A.xml,"Relief label from Borobudur's hidden base, no. 134A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB134B.xml,"Relief label from Borobudur's hidden base, no. 134B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB135A.xml,"Relief label from Borobudur's hidden base, no. 135A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB135B.xml,"Relief label from Borobudur's hidden base, no. 135B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB137.xml,"Relief label from Borobudur's hidden base, no. 137 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB138A.xml,"Relief label from Borobudur's hidden base, no. 138A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB138B.xml,"Relief label from Borobudur's hidden base, no. 138B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB139.xml,"Relief label from Borobudur's hidden base, no. 139 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB140.xml,"Relief label from Borobudur's hidden base, no. 140 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB141.xml,"Relief label from Borobudur's hidden base, no. 141 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB142.xml,"Relief label from Borobudur's hidden base, no. 142 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB144.xml,"Relief label from Borobudur's hidden base, no. 144 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB147.xml,"Relief label from Borobudur's hidden base, no. 147 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB148A.xml,"Relief label from Borobudur's hidden base, no. 148A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB148B.xml,"Relief label from Borobudur's hidden base, no. 148B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB149.xml,"Relief label from Borobudur's hidden base, no. 149 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB150A.xml,"Relief label from Borobudur's hidden base, no. 150A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB150B.xml,"Relief label from Borobudur's hidden base, no. 150B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB151.xml,"Relief label from Borobudur's hidden base, no. 151 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB152A.xml,"Relief label from Borobudur's hidden base, no. 152A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB152B.xml,"Relief label from Borobudur's hidden base, no. 152B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB153A.xml,"Relief label from Borobudur's hidden base, no. 153A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB153B.xml,"Relief label from Borobudur's hidden base, no. 153B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB154A.xml,"Relief label from Borobudur's hidden base, no. 154A (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB154B.xml,"Relief label from Borobudur's hidden base, no. 154B (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB154C.xml,"Relief label from Borobudur's hidden base, no. 154C (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBorobudurHB157.xml,"Relief label from Borobudur's hidden base, no. 157 (8th c. CE)",750,0,0,0,,
DHARMA_INSIDENKBromoSemeru2.xml,Bromo Semeru 2,,0,0,0,,
DHARMA_INSIDENKBromoSemeru4.xml,Bromo Semeru 4,,0,0,0,,
DHARMA_INSIDENKBromoSemeru6.xml,Bromo Semeru 6,,0,0,0,,
DHARMA_INSIDENKBukateja.xml,Embossed Image of Śiva in Gold Leaf from Central Java (8th c. CE),750,1,0,0,daun,organic
DHARMA_INSIDENKBulai.xml,Bulai,,2,0,3,atap|daun|emas|perak|tembaga,organic|metal
DHARMA_INSIDENKBularut.xml,Bularut charter (964 Śaka),1042,3,1,1,kayu|atap|daun|batu|emas|pahat|sima,metal|activity|lithic|institution|organic
DHARMA_INSIDENKCamundi.xml,Camundi,,1,0,1,atap|emas,organic|metal
DHARMA_INSIDENKCanggal.xml,The stela of Canggal or Gunung Wukir (654 Śaka),732,1,1,3,rumah_kayu|daun|stambha|emas|tembaga|timah|pahat,activity|metal|building|lithic|organic
DHARMA_INSIDENKCanggu.xml,Canggu inscription,,2,0,3,atap|daun|emas|tembaga|besi,organic|metal
DHARMA_INSIDENKDalinan.xml,"Charter for the demarcation of Wukajana, Tumpak & Wuru Telu villages for the mon",903,4,1,1,kayu|bambu|atap|daun|batu|emas|sima,institution|organic|metal|lithic
DHARMA_INSIDENKDawangsari.xml,"A poem in honor of Gaṇeśa found at Dawangsari, 9th c. CE",850,1,0,2,kayu|emas|besi,organic|metal
DHARMA_INSIDENKdevadravya.xml,Inventory of a Śaiva temple at Dieng (9th c. CE),850,0,1,0,batu,lithic
