language,concept,form,cognacy,tags
Wolio,"in, inside",[i] nuñca,,RESIDUAL
Wolio,below,i tambe,,RESIDUAL
Wolio,this,sii,,RESIDUAL
Wolio,that,humai,,RESIDUAL
Wolio,near,makasu,,RESIDUAL
Wolio,where?,i apai,,RESIDUAL
Wolio,they,[maŋa] incia,,RESIDUAL
Wolio,other,mosagaanana,,RESIDUAL
Wolio,if,ande,,RESIDUAL
Wolio,Six,nama,,RESIDUAL
Wolio,Six,ʔana,,RESIDUAL
Wolio,Twenty,rua pulu,,RESIDUAL
Wolio,Fifty,lima pulu,,RESIDUAL
Wolio,One Hundred,saatu,,RESIDUAL
Wolio,One Thousand,sarewu,,RESIDUAL
Toraja-Sadan,leg/foot,letteʔ,,RESIDUAL
Toraja-Sadan,to come,sae,,RESIDUAL
Toraja-Sadan,to swim,oroŋ,,RESIDUAL
Toraja-Sadan,intestines,tambuk,,RESIDUAL
Toraja-Sadan,to think,taŋaʔ,,RESIDUAL
Toraja-Sadan,mouth,sadaŋ,,RESIDUAL
Toraja-Sadan,to spit,met-tudu,,RESIDUAL
Toraja-Sadan,to see,tiro,,RESIDUAL
Toraja-Sadan,to sleep,mammaʔ,,RESIDUAL
Toraja-Sadan,to lie down,mammaʔ,,RESIDUAL
Toraja-Sadan,to sit,noʔkoʔ,,RESIDUAL
Toraja-Sadan,to stand,bendan,,RESIDUAL
Toraja-Sadan,child,pia,,RESIDUAL
Toraja-Sadan,to say,po-kada,,RESIDUAL
Toraja-Sadan,"to tie up, fasten",pori,,RESIDUAL
Toraja-Sadan,to sew,dasiʔ,,RESIDUAL
Toraja-Sadan,to hunt,lola,,RESIDUAL
Toraja-Sadan,to hit,bamba,,RESIDUAL
Toraja-Sadan,to steal,boko,,RESIDUAL
Toraja-Sadan,"dull, blunt",ma-pumpu,,RESIDUAL
Toraja-Sadan,to hold,tue,,RESIDUAL
Toraja-Sadan,to throw,tibe,,RESIDUAL
Toraja-Sadan,mosquito,kasisiʔ,,RESIDUAL
Toraja-Sadan,rotten,bosi,,RESIDUAL
Toraja-Sadan,grass,riu,,RESIDUAL
Toraja-Sadan,to blow,pamurruʔ,,RESIDUAL
Toraja-Sadan,cold,ma-sakkaʔ,,RESIDUAL
Toraja-Sadan,heavy,ma-gasa,,RESIDUAL
Toraja-Sadan,short,kondiʔ,,RESIDUAL
Toraja-Sadan,below,dioŋ,,RESIDUAL
Toraja-Sadan,who?,[m]inda,,RESIDUAL
Toraja-Sadan,other,seŋaʔ,,RESIDUAL
Toraja-Sadan,if,iake,,RESIDUAL
Toraja-Sadan,"no, not",taeʔ,,RESIDUAL
Toraja-Sadan,One,misa',,RESIDUAL
Toraja-Sadan,Six,annan,,RESIDUAL
Toraja-Sadan,Ten,sangpulo,,RESIDUAL
Toraja-Sadan,Twenty,duaŋpulo,,RESIDUAL
Toraja-Sadan,Fifty,limaŋpulo,,RESIDUAL
Toraja-Sadan,One Thousand,saŋsaʔbu,,RESIDUAL
Tolaki,to come,leu,,RESIDUAL
Tolaki,back,bunggu,,RESIDUAL
Tolaki,shoulder,bohe,,RESIDUAL
Tolaki,"to know, be knowledgeable",to'ori,,RESIDUAL
Tolaki,to fear,motaku,,RESIDUAL
Tolaki,neck,woroko,,RESIDUAL
Tolaki,to breathe,mehonahona,,RESIDUAL
Tolaki,to breathe,penao,,RESIDUAL
Tolaki,"to sniff, smell",siusiu,,RESIDUAL
Tolaki,mouth,pondu,,RESIDUAL
Tolaki,to laugh,mototao,,RESIDUAL
Tolaki,to cry,umi'ia,,RESIDUAL
Tolaki,to cry,hono,,RESIDUAL
Tolaki,to vomit,mo'ua,,RESIDUAL
Tolaki,to spit,mo'eni,,RESIDUAL
Tolaki,to chew,kaa,,RESIDUAL
Tolaki,to drink,mo'inu,,RESIDUAL
Tolaki,to bite,kaa,,RESIDUAL
Tolaki,to hear,podea,,RESIDUAL
Tolaki,to see,ki'ii,,RESIDUAL
Tolaki,to see,ki'i,,RESIDUAL
Tolaki,to sleep,mo'iso,,RESIDUAL
Tolaki,to lie down,mo'iso'iso,,RESIDUAL
Tolaki,to dream,mo'ipi,,RESIDUAL
Tolaki,to sit,mererehu,,RESIDUAL
Tolaki,to stand,menggokora,,RESIDUAL
Tolaki,person/human being,toono,,RESIDUAL
Tolaki,man/male,langgai,,RESIDUAL
Tolaki,husband,langgai,,RESIDUAL
Tolaki,wife,tina,,RESIDUAL
Tolaki,house,laika,,RESIDUAL
Tolaki,name,tamo,,RESIDUAL
Tolaki,to say,te'eni,,RESIDUAL
Tolaki,rope,oloo,,RESIDUAL
Tolaki,"to tie up, fasten",onggo,,RESIDUAL
Tolaki,to sew,moseu,,RESIDUAL
Tolaki,to hit,toni,,RESIDUAL
Tolaki,to steal,ponini,,RESIDUAL
Tolaki,"to live, be alive",laa,,RESIDUAL
Tolaki,"to cut, hack",pole'i,,RESIDUAL
Tolaki,"to cut, hack",pole,,RESIDUAL
Tolaki,stick/wood,tangge,,RESIDUAL
Tolaki,sharp,monggaso,,RESIDUAL
Tolaki,to work,mombaho,,RESIDUAL
Tolaki,to plant,mombaho,,RESIDUAL
Tolaki,to choose,mepili,,RESIDUAL
Tolaki,to grow,toro,,RESIDUAL
Tolaki,to hold,po'indi,,RESIDUAL
Tolaki,to dig,metanggali,,RESIDUAL
Tolaki,to buy,po'oli,,RESIDUAL
Tolaki,"to open, uncover",hungga,,RESIDUAL
Tolaki,"to pound, beat",moaliali,,RESIDUAL
Tolaki,to fall,mo'isa,,RESIDUAL
Tolaki,egg,ti'olu,,RESIDUAL
Tolaki,feather,wulumanumanu,,RESIDUAL
Tolaki,wing,kae,,RESIDUAL
Tolaki,to fly,lumaa,,RESIDUAL
Tolaki,meat/flesh,ramo,,RESIDUAL
Tolaki,worm (earthworm),uleule,,RESIDUAL
Tolaki,leaf,tawa,,RESIDUAL
Tolaki,flower,wulele,,RESIDUAL
Tolaki,grass,rembu,,RESIDUAL
Tolaki,water,woi,,RESIDUAL
Tolaki,to flow,lumaa,,RESIDUAL
Tolaki,salt,peanihi,,RESIDUAL
Tolaki,woods/forest,ahoma,,RESIDUAL
Tolaki,star,wotiti,,RESIDUAL
Tolaki,cloud,gowa,,RESIDUAL
Tolaki,wind,pua,,RESIDUAL
Tolaki,to blow,mepua,,RESIDUAL
Tolaki,warm,mokula,,RESIDUAL
Tolaki,cold,morini,,RESIDUAL
Tolaki,dry,mowatu,,RESIDUAL
Tolaki,wet,meiwoi,,RESIDUAL
Tolaki,heavy,mobea,,RESIDUAL
Tolaki,to burn,hunu,,RESIDUAL
Tolaki,black,me'eto,,RESIDUAL
Tolaki,white,mowila,,RESIDUAL
Tolaki,red,momea,,RESIDUAL
Tolaki,yellow,mokuni,,RESIDUAL
Tolaki,green,mo'osu,,RESIDUAL
Tolaki,small,mohewu,,RESIDUAL
Tolaki,big,wo'ose,,RESIDUAL
Tolaki,long,mendaa,,RESIDUAL
Tolaki,narrow,mohewu,,RESIDUAL
Tolaki,wide,molua,,RESIDUAL
Tolaki,"painful, sick",mohaki,,RESIDUAL
Tolaki,"shy, ashamed",kohanu,,RESIDUAL
Tolaki,old,motu'o,,RESIDUAL
Tolaki,new,wo'ohu,,RESIDUAL
Tolaki,good,meambo,,RESIDUAL
Tolaki,"bad, evil",mosaa,,RESIDUAL
Tolaki,"correct, true",meara'i,,RESIDUAL
Tolaki,night,wingi,,RESIDUAL
Tolaki,day,oleo,,RESIDUAL
Tolaki,to hide,hi'i,,RESIDUAL
Tolaki,to climb,momone,,RESIDUAL
Tolaki,above,i wawo,,RESIDUAL
Tolaki,below,i lolu,,RESIDUAL
Tolaki,this,inono,,RESIDUAL
Tolaki,that,nggitu'o,,RESIDUAL
Tolaki,near,merambi,,RESIDUAL
Tolaki,far,mondae,,RESIDUAL
Tolaki,where?,humbee,,RESIDUAL
Tolaki,I,inaku,,RESIDUAL
Tolaki,thou,inggo'o,,RESIDUAL
Tolaki,he/she,i'ia,,RESIDUAL
Tolaki,he/she,ie'i,,RESIDUAL
Tolaki,you,inggomiu,,RESIDUAL
Tolaki,they,mehira,,RESIDUAL
Tolaki,they,mehiro,,RESIDUAL
Tolaki,what?,hawo,,RESIDUAL
Tolaki,who?,inae,,RESIDUAL
Tolaki,all,luwuako-,,RESIDUAL
Tolaki,and,ronga,,RESIDUAL
Tolaki,how?,mombake hawo,,RESIDUAL
Tolaki,"no, not",oki,,RESIDUAL
Tolaki,to count,do'a,,RESIDUAL
Tolaki,Four,omba,,RESIDUAL
Tolaki,Eight,hoalu,,RESIDUAL
Tolaki,Ten,hopulo,,RESIDUAL
Tolaki,Twenty,ruambulo,,RESIDUAL
Tolaki,Fifty,limambulo,,RESIDUAL
Tolaki,One Hundred,aso'etu,,RESIDUAL
Tolaki,One Thousand,aso-sou,,RESIDUAL
