filename,year_ce,text_length,plants,variants_matched,n_plants,ritual_keywords,has_ritual_context
DHARMA_INSIDENKMunggut.xml,1022,34070,tebu|waringin|cendana|lada|pala,gula|vata|candana|lada|pala,5,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|pūjā|hyang|hyaṁ,True
DHARMA_INSIDENKNarasinghanagara.xml,,4322,padi|waringin,pari|vata,2,sīma|piṇḍa|maṅhuri|pūjā|hyaṁ,True
DHARMA_INSIDENKNgadoman.xml,,5545,padi|tebu|jati|pala,pari|gula|jati|pala,4,,False
DHARMA_INSIDENKNglumbangDungik.xml,950,1555,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKPabanyolan.xml,,4986,padi|pinang,pari|jambe,2,hyaṁ,True
DHARMA_INSIDENKPadingding.xml,1350,6450,padi|pala,"padi,pari|pala",2,,False
DHARMA_INSIDENKPaguhan.xml,,4603,padi,pari,1,,False
DHARMA_INSIDENKPalebuhan.xml,,7871,sirih|tebu|kapas,pān|gula|kapas,3,nakṣatra|tithi|hyaṁ|śrāddha,True
DHARMA_INSIDENKPalepangan.xml,906,13982,padi|waringin,pari|vata,2,piṇḍa|tithi|hyaṁ|pūjā,True
DHARMA_INSIDENKPamintihan.xml,,11692,padi|pinang|tebu|waringin|jati|pala,"padi,pari|pinaṅ|gula|vata|śāka|pala",6,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKPananggaran.xml,869,3155,padi|waringin,pari|vata,2,tithi|hyaṁ,True
DHARMA_INSIDENKPanggumulanA.xml,,17094,padma|padi|waringin|pala,kamala|pari|vata|pala,4,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKParablyan.xml,1286,3911,padi|pala,pari|pala,2,maṅhuri|hyaṁ|pūjā,True
DHARMA_INSIDENKParung_I.xml,,6090,padi|waringin,pari|vata,2,hyaṁ,True
DHARMA_INSIDENKParung_II.xml,,3656,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKPasanggrahan.xml,,3545,padi|waringin,pari|vata,2,,False
DHARMA_INSIDENKPatapan.xml,,1664,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKPatapan_II.xml,,3133,padi|waringin,pari|waringin,2,,False
DHARMA_INSIDENKPatitihan.xml,,7864,padma|padi|pinang|waringin|pala,kamala|pari|pinaṅ|vata|pala,5,maṅhuri|hyaṁ,True
DHARMA_INSIDENKPenampihan.xml,,2691,padi|waringin,pari|vata,2,tithi,True
DHARMA_INSIDENKPesindon.xml,914,8546,padi,pari,1,tithi|hyaṁ,True
DHARMA_INSIDENKPlalangan.xml,950,1748,padi,pari,1,,False
DHARMA_INSIDENKPlered.xml,,3922,padi|tebu|pala,pari|gula|pala,3,,False
DHARMA_INSIDENKPoh.xml,,15673,padi|waringin|lada|pala,"pari,śali|vata|lada|pala",4,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKPucangan.xml,1041,85181,padma|padi|sirih|pinang|tebu|waringin|jati|kapur_barus|pala,"kamala|padi,pari|pān|pūga|ikṣu,gula|vata|jati,śāka|kapur|pala",9,sīma|svarga|sraddha|atīta|nakṣatra|tithi|pūjā|hyang|hyaṁ,True
DHARMA_INSIDENKPuhawangGlis.xml,827,2647,padi,pari,1,tithi|hyaṁ,True
DHARMA_INSIDENKRabvan.xml,906,1395,padi,pari,1,tithi,True
DHARMA_INSIDENKRaKidanI.xml,878,1892,padi|sirih|waringin,pari|pān|vata,3,sīma|hyaṁ,True
DHARMA_INSIDENKRameswarapura.xml,1275,25165,padma|padi|tebu|waringin|cendana|pala,"kumuda,kamala|pari|ikṣu,gula|vata|candana|pala",6,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKRampal.xml,875,3489,kapas,kapas,1,piṇḍa,True
DHARMA_INSIDENKRembang.xml,,3841,padi|sirih,pari|pān,2,,False
DHARMA_INSIDENKRongkab.xml,,6926,padi|tebu|waringin,pari|gula|vata,3,sīma|nakṣatra|tithi,True
DHARMA_INSIDENKRukam.xml,907,12654,padi|sirih|waringin|pala,pari|pān|vata|pala,4,sīma|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKRumwigaI.xml,904,6497,padi|waringin|pala,pari|vata|pala,3,piṇḍa|tithi|hyaṁ,True
DHARMA_INSIDENKRumwigaII.xml,905,6317,padi|waringin,pari|vata,2,piṇḍa|tithi|nakṣatra,True
DHARMA_INSIDENKSadang.xml,,2564,padi|waringin,pari|vata,2,hyaṁ,True
DHARMA_INSIDENKSalingsinganII.xml,880,7406,padma|padi|waringin|jati,kamala|pari|vata|jati,4,tithi|atīta,True
DHARMA_INSIDENKSamalagi.xml,902,5307,padi|waringin|bambu,pari|vata|bulu,3,sīma|piṇḍa|hyaṁ,True
DHARMA_INSIDENKSanga.xml,1250,8954,padi|sirih|waringin|jati|pala,"pari|pān|waringin,vata|śāka|pala",5,sīma|maṅhuri|hyaṁ,True
DHARMA_INSIDENKSangguran.xml,928,15951,padma|padi|tebu|kapas|waringin|pala,"padma,kamala|pari|gula|kapas|vata|pala",6,sīma|piṇḍa|sapatha|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKSangHyangTapak.xml,1030,4502,waringin,vata,1,sapatha|pūjā|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKSangMakudur.xml,908,1046,padi,pari,1,,False
DHARMA_INSIDENKSangsang.xml,,13805,padi|sirih|tebu|kapas|waringin,"pari,śali|pān|gula|kapas|vata",5,sīma|nakṣatra|maṅhuri|tithi,True
DHARMA_INSIDENKSankara.xml,,4421,tebu,ikṣu,1,,False
DHARMA_INSIDENKSarwadharma.xml,1269,14982,sirih|pinang|tebu|waringin|pala,pān|pinaṅ|ikṣu|vata|pala,5,piṇḍa|maṅhuri|nakṣatra|tithi|kabuyutan|pūjā|hyaṁ,True
DHARMA_INSIDENKSatyapura.xml,,3737,padi|waringin|pala,pari|vata|pala,3,hyaṁ,True
DHARMA_INSIDENKSelamandi_I.xml,,2471,padi|lada|pala,pari|lada|pala,3,,False
DHARMA_INSIDENKSelamandi_II.xml,,2458,padi|lada,pari|lada,2,,False
DHARMA_INSIDENKSilamanikundala.xml,1350,7912,padi,pari,1,tithi,True
DHARMA_INSIDENKSimaAnglayang.xml,1046,20188,padi|sirih|waringin|lada|pala,"pari|suruh,pān|vata|marica|pala",5,sīma|svarga|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKSindoro-PuBahut.xml,906,5468,padma|tebu,"padma,kamala|gula",2,tithi,True
DHARMA_INSIDENKSindoro-PuMamruk.xml,906,5290,padi|tebu,pari|gula,2,tithi,True
DHARMA_INSIDENKSriManggalaII.xml,874,5644,padi,pari,1,sīma|nakṣatra|tithi,True
DHARMA_INSIDENKSriManggalaIII.xml,874,5460,padi,pari,1,sīma|nakṣatra|tithi|hyaṁ,True
