name,lat,lon,suitability,burial_depth_cm,zone,dist_nearest_volcano_km,nearest_volcano
Monumen Kapal Selam,-7.2654793,112.750307,0.9328367,6.810648287888694,A,55.0454870650754,Arjuno-Welirang
Monumen Yos Sudarso,-7.2233947,112.7208589,0.94472134,6.08630902536232,A,58.47534066728853,Arjuno-Welirang
osm_448474624,-7.265091,112.7514254,0.8227716,6.781608480020531,A,55.12929926374597,Arjuno-Welirang
Taman Candi Jago,-8.005805,112.7640344,0.8485552,73.29612583220205,A,20.77494014370592,Semeru
Kompleks Candi Sumberawan,-7.8553516,112.6448151,0.70873326,73.49128533818804,A,16.017194511313907,Arjuno-Welirang
Monumen Pahlawan,-7.3842345,112.7284029,0.91608465,11.972434353587788,A,41.89978595547833,Arjuno-Welirang
osm_563730675,-7.8751671,112.8070746,0.79297924,60.86750262828579,A,17.407448039401864,Bromo
osm_629408048,-7.8338111,112.564841,0.88001347,94.68398746681562,A,11.708081296260879,Arjuno-Welirang
osm_629408061,-7.8335843,112.5631048,0.8630786,95.29739794657456,A,11.702851504062519,Arjuno-Welirang
Tugu Adipura,-7.9764602,112.6276778,0.9227947,83.8390586827118,A,28.12147980421119,Arjuno-Welirang
Candi Pari,-7.5161315,112.6834255,0.9161516,23.156647941676987,A,26.515321029173066,Arjuno-Welirang
Situs Watu Gong,-7.9388986,112.5975542,0.9283841,92.84595259415865,A,23.471524652672436,Arjuno-Welirang
osm_646335021,-7.5446032,112.6994321,0.8874571,24.81396798623336,A,24.667252775773964,Arjuno-Welirang
Candi Cetho,-7.5957362,111.1581311,0.8960333,0.937549652248352,A,132.02742581942772,Kelud
R. A. Kartini Monument,-8.063832,111.9006575,0.7000819,40.05110693833896,A,47.258158211692944,Kelud
Arek Lancor,-7.1605749,113.4826465,0.7976345,0.4782486890949554,A,92.07802169297429,Lamongan
Candi Menak Jinggo,-7.5583872,112.3865115,0.7484394,51.049128661755695,A,28.132106656336063,Arjuno-Welirang
osm_781575304,-7.5440231,112.7054267,0.8475661,24.364325014492337,A,25.093410841260603,Arjuno-Welirang
osm_781575305,-7.542813,112.7048245,0.72963345,24.2900825953087,A,25.16604190200827,Arjuno-Welirang
osm_781575361,-7.5458412,112.7065992,0.9553861,24.45843904438632,A,25.002687766510086,Arjuno-Welirang
osm_818950515,-7.8322261,112.5638675,0.86364347,94.7562348775576,A,11.543559176754588,Arjuno-Welirang
Kanal Majapahit,-7.5697504,112.3981881,0.8469124,53.35849897097118,A,26.32971442689725,Arjuno-Welirang
Kanal Majapahit,-7.5704829,112.4015133,0.75978667,53.34818184384771,A,26.00439099683124,Arjuno-Welirang
Makam Panjang,-7.5557022,112.3856116,0.79416317,50.414098946940655,A,28.40713765857713,Arjuno-Welirang
Makam Putri Campa,-7.5559681,112.3843442,0.80293316,50.540039904256034,A,28.489940987681507,Arjuno-Welirang
Kanal Majapahit,-7.5679071,112.3919217,0.6583924,53.233971609876775,A,26.98048727393259,Arjuno-Welirang
Balong Bunder,-7.5616797,112.3821834,0.7760725,52.10209270926297,A,28.24356550370549,Arjuno-Welirang
Kanal Majapahit,-7.5221912,112.3972606,0.8303364,42.21776590396061,A,30.20837807820893,Arjuno-Welirang
Kolam Ngelinguk,-7.5642472,112.3770594,0.8658267,53.01233971850302,A,28.48635591604353,Arjuno-Welirang
osm_840244045,-7.5617253,112.3776899,0.8855507,52.32000373775492,A,28.61471115173834,Arjuno-Welirang
Balong Dowo,-7.5609934,112.381282,0.9084434,51.96611331097216,A,28.368590535433203,Arjuno-Welirang
Situs Kumitir,-7.5707338,112.4117737,0.7070316,52.74558498636779,A,25.1651754056107,Arjuno-Welirang
osm_840616538,-7.5727595,112.4189578,0.8325329,52.76156195543005,A,24.444845636489593,Arjuno-Welirang
osm_840616546,-7.5678305,112.3950181,0.83935326,53.039264992401336,A,26.731975334238655,Arjuno-Welirang
Makam Mbah Mendek,-7.5715271,112.5885726,0.71546155,37.05759061176062,A,17.573957950332936,Arjuno-Welirang
Situs Genting,-7.5714269,112.5898064,0.41431904,36.92425791732112,E,17.597146410073176,Arjuno-Welirang
Candi Bangkal,-7.543221,112.6355351,0.81193346,29.242919853841748,A,21.70826472357513,Arjuno-Welirang
Situs Tarik Raden Wijaya Majapahit,-7.4527626,112.4827118,0.7648933,27.025983119213677,A,32.35668656075597,Arjuno-Welirang
Candi Petirtaan Belahan,-7.6075228,112.6513504,0.47024065,35.92726069554693,A,15.91381466233806,Arjuno-Welirang
Situs Candi Terung,-7.3947721,112.6203456,0.881664,16.117878547319787,A,37.49906048623263,Arjuno-Welirang
Candi Kesiman,-7.6504231,112.5299286,0.8422584,59.72512703317099,A,10.050316356011672,Arjuno-Welirang
Situs Gapura Majapahit,-7.4274762,112.3593053,0.7798778,27.042182179298816,A,41.101761878757074,Arjuno-Welirang
Candi Patakan,-7.2836656,112.2565327,0.43280333,13.14598631633803,E,60.70191933448901,Arjuno-Welirang
Watu Ombo Petilasan Tribuawana Tungga Dewi,-7.5153984,112.3962008,0.69819474,40.86350968935868,A,30.86181283744917,Arjuno-Welirang
Reco Hayam Wuruk,-7.5125528,112.3883578,0.6948117,40.57664850193992,A,31.66069507252167,Arjuno-Welirang
Prasasti Cunggrang,-7.5798158,112.6849627,0.769001,29.50967227110089,A,20.54345033577631,Arjuno-Welirang
osm_845830591,-7.54446,112.4487524,0.7888071,44.208246461323455,A,24.792224160237325,Arjuno-Welirang
osm_845830592,-7.5437964,112.4474942,0.5137956,44.15412449044024,A,24.93123103268353,Arjuno-Welirang
Situs Petirtaan Brumbung,-7.799256,112.2885931,0.42568567,182.30590882301345,E,14.694387228087164,Kelud
Candi Surowono,-7.7464638,112.2180204,0.72314465,124.9249160380898,B,22.6879283685251,Kelud
Candi Tegowangi,-7.7347204,112.1611752,0.8400779,101.66514024437188,B,27.075743038579997,Kelud
Situs Petirtaan Sumberbeji,-7.6658053,112.2562369,0.7017175,89.25643508634546,A,29.925471475783638,Kelud
Situs Gua Selomangleng,-7.8072612,111.9729852,0.4988805,57.50473980232449,A,39.344176099895485,Kelud
Situs Arca Totok Kerot,-7.7979459,112.0701523,0.79392016,88.49411478931731,A,30.033080133504352,Kelud
Situs Candi Tondowongso,-7.7905516,112.1422892,0.86817545,117.6031767563392,B,23.950141502523447,Kelud
Candi Mirigambar,-8.1341345,111.9759543,0.77417266,48.64348507870733,A,43.03294499038903,Kelud
Candi Penataran,-8.0163487,112.2092507,0.8238435,183.80431722071685,B,14.506527738931815,Kelud
Situs Candi Gempur Adan-Adan,-7.769902,112.1171099,0.8380469,99.37513032584104,A,27.550917745922657,Kelud
Punden Selomanen,-7.9038744,112.0037485,0.7263154,74.85656313020002,A,33.63445954371409,Kelud
Situs Watu Umpak Grobogon,-7.6011296,112.3480411,0.866402,65.1553685571713,A,28.770223687621552,Arjuno-Welirang
Situs Kedaton Jombang,-7.6346011,112.2532318,0.67038476,75.9970970928108,A,33.39645907211531,Kelud
Candi Ngetos,-7.6935104,111.8424528,0.6248057,24.97298995625622,A,57.63472930137008,Kelud
