filename,title,lang,date_ce,century,edition_word_count,has_translation,n_sanskrit,n_indigenous,n_unknown,n_geo_terms,n_volcanic_terms,n_admin_terms
DHARMA_INSIDENKBorobudurHB131B.xml,"Relief label from Borobudur's hidden base, no. 131B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB132.xml,"Relief label from Borobudur's hidden base, no. 132 (8th c. CE)",san-Latn,,,1,True,1,0,0,0,0,0
DHARMA_INSIDENKBorobudurHB133.xml,"Relief label from Borobudur's hidden base, no. 133 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB134A.xml,"Relief label from Borobudur's hidden base, no. 134A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB134B.xml,"Relief label from Borobudur's hidden base, no. 134B (8th c. CE)",san-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBorobudurHB135A.xml,"Relief label from Borobudur's hidden base, no. 135A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,1
DHARMA_INSIDENKBorobudurHB135B.xml,"Relief label from Borobudur's hidden base, no. 135B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB137.xml,"Relief label from Borobudur's hidden base, no. 137 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB138A.xml,"Relief label from Borobudur's hidden base, no. 138A (8th c. CE)",san-Latn,,,2,True,1,0,1,0,0,1
DHARMA_INSIDENKBorobudurHB138B.xml,"Relief label from Borobudur's hidden base, no. 138B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,1
DHARMA_INSIDENKBorobudurHB139.xml,"Relief label from Borobudur's hidden base, no. 139 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB140.xml,"Relief label from Borobudur's hidden base, no. 140 (8th c. CE)",san-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBorobudurHB141.xml,"Relief label from Borobudur's hidden base, no. 141 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB142.xml,"Relief label from Borobudur's hidden base, no. 142 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB144.xml,"Relief label from Borobudur's hidden base, no. 144 (8th c. CE)",san-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBorobudurHB147.xml,"Relief label from Borobudur's hidden base, no. 147 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB148A.xml,"Relief label from Borobudur's hidden base, no. 148A (8th c. CE)",san-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBorobudurHB148B.xml,"Relief label from Borobudur's hidden base, no. 148B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB149.xml,"Relief label from Borobudur's hidden base, no. 149 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB150A.xml,"Relief label from Borobudur's hidden base, no. 150A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB150B.xml,"Relief label from Borobudur's hidden base, no. 150B (8th c. CE)",san-Latn,,,1,True,0,0,1,1,0,0
DHARMA_INSIDENKBorobudurHB151.xml,"Relief label from Borobudur's hidden base, no. 151 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB152A.xml,"Relief label from Borobudur's hidden base, no. 152A (8th c. CE)",san-Latn,,,1,True,1,0,0,0,0,1
DHARMA_INSIDENKBorobudurHB152B.xml,"Relief label from Borobudur's hidden base, no. 152B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB153A.xml,"Relief label from Borobudur's hidden base, no. 153A (8th c. CE)",san-Latn,,,1,True,1,0,0,0,0,0
DHARMA_INSIDENKBorobudurHB153B.xml,"Relief label from Borobudur's hidden base, no. 153B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB154A.xml,"Relief label from Borobudur's hidden base, no. 154A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,1
DHARMA_INSIDENKBorobudurHB154B.xml,"Relief label from Borobudur's hidden base, no. 154B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB154C.xml,"Relief label from Borobudur's hidden base, no. 154C (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB157.xml,"Relief label from Borobudur's hidden base, no. 157 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBromoSemeru2.xml,Bromo Semeru 2,kaw-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBromoSemeru4.xml,Bromo Semeru 4,kaw-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBromoSemeru6.xml,Bromo Semeru 6,kaw-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBukateja.xml,Embossed Image of Śiva in Gold Leaf from Central Java (8th c. CE),omy-Latn,,,5,True,0,0,5,0,0,0
DHARMA_INSIDENKBulai.xml,Bulai,kaw-Latn,,,94,True,5,16,73,1,0,2
DHARMA_INSIDENKBularut.xml,Bularut charter (964 Śaka),kaw-Latn,1042,11,1367,True,5,16,1346,4,1,3
DHARMA_INSIDENKCamundi.xml,Camundi,kaw-Latn,,,56,True,7,0,49,0,0,2
DHARMA_INSIDENKCanggal.xml,The stela of Canggal or Gunung Wukir (654 Śaka),san-Latn,732,8,379,True,13,1,365,7,0,3
DHARMA_INSIDENKCanggu.xml,Canggu inscription,kaw-Latn,,,859,True,49,23,787,4,3,11
DHARMA_INSIDENKDalinan.xml,"Charter for the demarcation of Wukajana, Tumpak & Wuru Telu villages for the monastery at Dalinan (825 Śaka, 5 March 904)",kaw-Latn,903,10,1555,True,18,107,1430,5,1,9
DHARMA_INSIDENKDawangsari.xml,"A poem in honor of Gaṇeśa found at Dawangsari, 9th c. CE",kaw-Latn,,,130,True,2,2,126,2,0,2
DHARMA_INSIDENKdevadravya.xml,Inventory of a Śaiva temple at Dieng (9th c. CE),omy-Latn,,,80,True,1,1,78,2,0,0
DHARMA_INSIDENKDinoyoIIa.xml,Two connected charters on a stone from Dinoyo (772 and 786 Śaka),kaw-Latn,864,9,230,True,11,24,195,1,0,3
DHARMA_INSIDENKDisunuh.xml,Disunuh (709 Śaka),kaw-Latn,787,8,72,True,6,6,60,0,0,2
DHARMA_INSIDENKE62.xml,E62,,,,52,False,4,1,47,0,0,2
DHARMA_INSIDENKGajahMada.xml,Gajah Mada's foundation of a caitya (1351-04-27),kaw-Latn,,,138,True,15,9,114,1,0,2
DHARMA_INSIDENKGandasuli.xml,Gandasuli (early 8th century CE),omy-Latn,,,307,True,11,5,291,3,1,5
DHARMA_INSIDENKGandhakuti.xml,Gandhakuti,kaw-Latn,,,769,False,22,23,724,3,1,3
DHARMA_INSIDENKGaraman.xml,Garaman,kaw-Latn,,,950,True,30,35,885,2,1,11
DHARMA_INSIDENKGarung.xml,Garung,kaw-Latn,,,63,True,3,7,53,0,0,6
DHARMA_INSIDENKGenengII.xml,Geneng II,kaw-Latn,,,488,True,18,22,448,0,0,6
DHARMA_INSIDENKGondangLor.xml,Akṣobhya Statue from Gondang Lor (11th or 12th c. CE),san-Latn,,,55,True,2,1,52,1,1,2
DHARMA_INSIDENKGulungGulung.xml,Gulung-Gulung (851 Śaka),kaw-Latn,929,10,1521,True,33,120,1368,3,1,10
DHARMA_INSIDENKGuntur.xml,Guntur,kaw-Latn,,,199,True,9,16,174,0,0,3
DHARMA_INSIDENKHampran.xml,Gift of Hampran village (674 Śaka),,752,8,62,True,5,0,57,1,0,3
DHARMA_INSIDENKHarinjing.xml,The Harinjing Charter,kaw-Latn,,,733,True,25,59,649,2,2,8
DHARMA_INSIDENKHering.xml,Charter of Hering (870 Śaka),san-Latn,948,10,1220,True,17,112,1091,5,1,8
DHARMA_INSIDENKHimadvalandit.xml,Himad Walandit,kaw-Latn,,,310,False,7,43,260,2,0,2
DHARMA_INSIDENKHorren.xml,"Charter of Horren, ca. 975 Śaka",kaw-Latn,1053,11,174,True,9,9,156,1,0,5
DHARMA_INSIDENKHujungGaluh-Sangsang.xml,Hujung Galuh / Sangsang (907-05-04),,,,591,False,13,53,525,1,1,8
DHARMA_INSIDENKHuludayeuh.xml,Huludayeuh,osn-Latn,,,52,True,0,2,50,0,0,2
DHARMA_INSIDENKHumanding.xml,The Polengan plates: Humanding charter (797 Śaka),kaw-Latn,875,9,488,True,8,22,458,2,0,4
DHARMA_INSIDENKHuwung.xml,Demarcation of Huwung (822/823 CE),kaw-Latn,823,9,44,True,0,2,42,0,0,0
DHARMA_INSIDENKJamwi.xml,Jamwi (Sinaguha),,,,177,False,3,8,166,1,0,2
DHARMA_INSIDENKJeruJeru.xml,Jeru-Jeru (852 Śaka),kaw-Latn,930,10,1344,True,26,119,1199,5,1,12
DHARMA_INSIDENKJragung.xml,Jragung,san-Latn,,,85,False,3,0,82,0,0,0
DHARMA_INSIDENKJurungan.xml,The Polengan plates: Jurungan charter (798 Śaka),kaw-Latn,876,9,1182,True,12,89,1081,2,0,5
DHARMA_INSIDENKKabhagavanan.xml,Kabhagavanan,kaw-Latn,,,276,True,7,16,253,3,1,1
DHARMA_INSIDENKKakalangan.xml,Kakalangan,kaw-Latn,,,112,True,1,4,107,2,0,2
DHARMA_INSIDENKKaladi.xml,Kaladi charter,kaw-Latn,,,1475,False,27,93,1355,4,0,9
DHARMA_INSIDENKKalasan.xml,Kalasan,san-Latn,,,197,True,15,1,181,2,1,4
DHARMA_INSIDENKKandangan.xml,The Charter of Kandangan,kaw-Latn,,,168,False,7,6,155,0,0,2
DHARMA_INSIDENKKanjuruhan.xml,The Kanjuruhan Charter (682 Śaka),san-Latn,760,8,229,True,11,0,218,2,1,4
DHARMA_INSIDENKKarangloMojokerto.xml,Karang Lo (1019 Śaka),kaw-Latn,1097,11,12,True,0,2,10,0,0,0
DHARMA_INSIDENKKasugihan.xml,"Kasugihan (829 Śaka, 907-11-18)",kaw-Latn,907,10,346,False,6,40,300,1,1,4
DHARMA_INSIDENKKawali_1a.xml,Kawali I (a),osn-Latn,,,49,True,0,0,49,0,0,0
DHARMA_INSIDENKKawali_1b.xml,Kawali I (b),osn-Latn,,,15,True,0,0,15,0,0,0
DHARMA_INSIDENKKawali_2.xml,Kawali 2,osn-Latn,,,14,True,0,0,14,0,0,0
DHARMA_INSIDENKKawali_3.xml,Kawali 3,osn-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKKawali_4.xml,Kawali 4,osn-Latn,,,5,True,0,2,3,0,0,0
DHARMA_INSIDENKKawali_5.xml,Kawali 5,osn-Latn,,,4,True,0,1,3,0,0,0
DHARMA_INSIDENKKawali_6.xml,Kawali VI,osn-Latn,,,17,True,0,0,17,0,0,0
DHARMA_INSIDENKKayuAraHiwang.xml,Kayu Ara Hiwang (823 Śaka),kaw-Latn,901,10,438,False,11,52,375,2,1,7
DHARMA_INSIDENKKayumwungan.xml,Kayumwungan charter of the Veṇuvanavihāra (746 Śaka),kaw-Latn,824,9,695,True,17,32,646,8,1,7
DHARMA_INSIDENKKebantenan_1.xml,Kebantenan 1,osn-Latn,,,91,True,1,2,88,1,1,1
DHARMA_INSIDENKKebantenan_2.xml,Kebantenan 2,osn-Latn,,,102,True,0,4,98,0,0,3
DHARMA_INSIDENKKebantenan_3.xml,Kebantenan 3,osn-Latn,,,51,True,0,1,50,1,0,0
DHARMA_INSIDENKKebantenan_4.xml,Kebantenan 4,osn-Latn,,,97,True,1,2,94,0,0,4
DHARMA_INSIDENKKedungwangi.xml,The Stela of Kedungwangi (Lawan),kaw-Latn,,,173,True,7,8,158,0,1,2
DHARMA_INSIDENKKetanen.xml,"Ketanen (826 Ś, 904/905)",,,,155,False,1,5,149,1,1,3
DHARMA_INSIDENKKinewu.xml,Kinewu (829 Śaka – 907-11-20),,907,10,430,False,15,50,365,1,1,4
DHARMA_INSIDENKKiringan.xml,Kiringan (917-11-14),kaw-Latn,,,232,True,6,42,184,0,0,1
DHARMA_INSIDENKKubu-Kubu.xml,"Kubu-Kubu (827 Ś, 905-10-17)",kaw-Latn,,,891,False,17,71,803,4,1,3
DHARMA_INSIDENKKurungan.xml,Kurungan (Randusari II),kaw-Latn,,,283,True,6,17,260,0,1,2
DHARMA_INSIDENKKusambyan.xml,Kusambyan charter (945 Śaka),kaw-Latn,1023,11,294,False,18,10,266,0,0,6
DHARMA_INSIDENKLaguna.xml,Laguna Copper plate (820 Śaka),omy-Latn,898,9,143,True,7,12,124,0,0,4
DHARMA_INSIDENKLanda.xml,Resources of the temple at Landa (late 9th c. CE),kaw-Latn,,,136,True,5,19,112,0,0,1
DHARMA_INSIDENKLinggasuntan.xml,Linggasuntan (851 Śaka),kaw-Latn,929,10,1665,True,38,124,1503,5,1,11
DHARMA_INSIDENKLinggawangi.xml,Linggawangi,osn-Latn,,,15,True,0,1,14,0,0,0
DHARMA_INSIDENKLintakan.xml,"Lintakan (841 Śaka, 919-07-12)",kaw-Latn,919,10,1885,True,35,207,1643,7,1,10
DHARMA_INSIDENKLuitan.xml,Charter of Luitan I,kaw-Latn,,,317,False,9,38,270,0,1,5
DHARMA_INSIDENKLurah.xml,Lurah (E. 14),,,,121,False,0,1,120,0,1,0
DHARMA_INSIDENKMadhawapura.xml,Madhawapura (13th c. CE),kaw-Latn,,,504,True,1,38,465,3,1,5
DHARMA_INSIDENKMalenga.xml,Malenga,kaw-Latn,,,583,True,19,38,526,4,1,4
DHARMA_INSIDENKMamali.xml,The Polengan plates: Mamali Charter (800 Śaka),kaw-Latn,878,9,250,True,4,17,229,3,0,2
DHARMA_INSIDENKManahimanuk.xml,Manah i Manuk Charter (1350–1356 CE),kaw-Latn,1356,14,705,True,29,29,647,3,1,11
DHARMA_INSIDENKManjusrigerha.xml,Manjusrigerha (792 CE),omy-Latn,792,8,154,True,10,1,143,0,0,2
DHARMA_INSIDENKMantyasihI.xml,The Charter of Mantyasih I,kaw-Latn,,,1503,False,35,107,1361,5,1,13
DHARMA_INSIDENKMantyasihII.xml,"Mantyasih II (829 Śaka, 907-04-11)",kaw-Latn,907,10,103,False,5,6,92,1,0,3
DHARMA_INSIDENKMantyasihIII.xml,The Charter of Mantyasih III,kaw-Latn,,,676,False,7,34,635,2,0,5
DHARMA_INSIDENKMaribong.xml,The Maribong Charter of Wisnuwardhana (1170 Śaka),kaw-Latn,1248,13,87,True,16,3,68,1,0,5
DHARMA_INSIDENKMarinci_I.xml,Marinci I,kaw-Latn,,,114,False,6,1,107,1,0,0
DHARMA_INSIDENKMarinci_II.xml,Marinci II,kaw-Latn,,,101,True,3,0,98,1,1,2
DHARMA_INSIDENKMarsemu.xml,"Marsemu charter, ca. 875 CE",kaw-Latn,875,9,41,True,0,4,37,0,0,1
DHARMA_INSIDENKMasahar.xml,Charter of Masahar (852 Śaka),kaw-Latn,930,10,1683,True,23,136,1524,6,1,11
DHARMA_INSIDENKMpuMano.xml,Mpu Mano,kaw-Latn,,,195,True,11,13,171,3,1,3
DHARMA_INSIDENKMula-Malurung.xml,Mula-Malurung,kaw-Latn,,,2290,True,97,136,2057,5,1,20
DHARMA_INSIDENKMunduan.xml,Munduan,kaw-Latn,,,228,True,5,23,200,2,0,2
DHARMA_INSIDENKMunggut.xml,Munggut charter (944 Śaka),kaw-Latn,1022,11,1002,True,34,37,931,6,2,14
DHARMA_INSIDENKNarasinghanagara.xml,Narasinghanagara,kaw-Latn,,,326,False,11,25,290,0,0,6
DHARMA_INSIDENKNgadoman.xml,Ngadoman,kaw-Latn,,,85,True,2,1,82,1,0,0
DHARMA_INSIDENKNglumbangDungik.xml,Stone from Nglumbang Dungik (9th-10th c. CE),san-Latn,,,18,True,2,2,14,0,0,0
