name,lat,lon,suitability,burial_depth_cm,zone
Candi NN,-7.6047027,112.6170999,0.91236377,39.139059431666524,A
Candi Gajah Mungkur,-7.604506,112.6215523,0.9790901,38.62597785810956,A
Candi Griya,-7.6032082,112.6206324,0.96324325,38.533582365935324,A
Candi Kerajaan,-7.6039862,112.6236257,0.9582717,38.32646071772683,A
Candi Kama 4,-7.6042414,112.6206256,0.9779944,38.6870284580768,A
osm_11377132597,-7.861484,111.8371913,0.6113895,31.63278912106484,A
osm_11721665791,-7.7352714,113.4717026,0.8457768,2.9204579625326668,A
osm_11728687039,-7.8075946,111.9675493,0.71546215,56.06898415728488,A
osm_11728687041,-7.8089073,111.9687751,0.7144679,56.52648948262124,A
osm_11735205895,-7.8868875,112.6620403,0.903111,72.95376927160262,A
Candi Gedog,-8.0877749,112.1841994,0.6087851,127.91426407254882,B
osm_11739728881,-7.6427458,112.6491067,0.76162404,41.08381739697692,A
osm_11742278876,-7.5159941,112.3945034,0.8660392,41.04959313010381,A
Candi Dadi,-8.1302386,111.9268294,0.7228647,39.626757224220945,A
Tugu Latsitarda Trenggalek,-8.0553692,111.7083222,0.81651163,16.046563386061823,A
Monumen Pancasila,-8.0497466,111.7090658,0.73589134,16.194855211539583,A
Tugu Adipura Trenggalek,-8.0483186,111.7093052,0.697793,16.23609631480684,A
Monumen Nol Kilometer Surabaya,-7.2456622,112.738727,0.8708135,6.434063099077615,A
osm_12106579199,-7.976324,112.5917286,0.9175767,94.15360555559671,A
Lumpang Makam Kebun Sareh,-7.9752299,112.605466,0.8639148,89.86912611445426,A
Candi Ketawanggede,-7.946843,112.6123534,0.9131236,88.23361179388192,A
Candi Karang Besuki,-7.9523146,112.5997549,0.921484,92.16150281505581,A
Monumen TRIP,-8.1023526,112.1706396,0.721732,115.41267966643188,B
Monumen Adpada Pancasila Kabupaten Tuban,-6.8817946,112.0469811,0.82080114,1.6096177978004829,A
Situs Peninggalan Lesung Purbalingga,-7.9485617,112.5993642,0.76702243,92.30319664525189,A
Tugu Monas Ketawang,-7.66303,112.1173509,0.8750844,66.05959293388351,A
Watu Prasasti,-7.596268,112.6128719,0.48143798,38.33064888730378,A
Candi Sengon,-7.6045661,112.6151579,0.86659896,39.33109294480043,A
osm_12620373893,-7.9621171,112.6236202,0.9563508,85.08612391460926,A
Candi Simping,-8.1640797,112.1461388,0.71724385,82.8815074711195,A
Kekunaan Jimbe,-8.1350087,112.1263146,0.74402636,87.58737504303751,A
Monumen Trisula Blitar,-8.2593837,112.0745185,0.75648403,45.16833929920171,A
osm_12682574865,-8.1238221,111.9223702,0.6663991,39.42908994345406,A
Tugu Garuda,-7.7588624,112.1754807,0.6687368,117.47775152329413,B
Tugu Kota Pasuruan,-7.6419326,112.9066795,0.79405594,21.64316287631676,A
Candi Sirah Kencong,-7.9800031,112.4278234,0.9017377,188.83100931439668,B
osm_12778963114,-7.2389913,112.7371808,0.9438541,6.27595145869258,A
osm_12787395885,-7.2609359,112.7408129,0.80725276,6.831606893525681,A
Wilmar Gresik,-7.1713258,112.6536693,0.71328205,5.532298875578937,A
osm_12810496485,-7.9754573,112.6260102,0.88571334,84.27065639972093,A
Watu Gilang Merjosari,-7.9467257,112.5983665,0.93752635,92.63240485558549,A
Arca Warak,-8.0156967,112.227048,0.66736376,197.02194894715464,B
Candi Gambar Wetan,-7.9680444,112.2388364,0.8750157,242.07726115215303,B
Situs Umpak Balekambang,-8.0143318,112.2227457,0.6625586,194.95057518919253,B
Candi Wringin Branjang,-8.0027503,112.2817723,0.8001732,243.86816956388526,B
Situs Gadungan,-8.0000331,112.2816472,0.7746199,247.12448286963854,B
Watu Tugu,-7.6748763,111.0509117,0.9136048,0.6321328475053947,A
Petirtan Yai Beji Sari,-7.9350584,112.6127357,0.87160075,87.93571241742444,A
osm_13152998301,-7.8061172,112.0339654,0.5945948,76.45278674013437,A
osm_13279129243,-8.0652554,112.5752373,0.4400276,88.7287225048426,A
osm_13294480821,-6.8925003,111.8857353,0.4361417,1.3014144246160855,E
Jembatan Bok Buntung,-7.7499998,112.2788631,0.77360064,140.14186006898439,B
Monumen Pesawat Terbang,-7.9369632,112.6263322,0.9039793,84.14130167640953,A
Monumen Lokomotif C 1140,-7.8172094,112.0152007,0.5899232,71.56866943470915,A
Patung TRIP,-7.9685752,112.6234368,0.95568824,85.05624780915186,A
osm_13439042335,-7.9802884,112.6304532,0.8487039,83.08352817043213,A
Tugu Buah Apel,-7.8707674,112.527441,0.87939966,117.84500946278499,B
osm_13556716977,-7.9563326,112.6133848,0.97847146,87.93985097652215,A
Tugu Nol Ngawi,-7.4042693,111.4455522,0.82953215,2.303522296270286,A
Tugu Batas Kecamatan Paron - Ngawi,-7.4291704,111.4048622,0.5591262,2.071150289652203,A
Tugu Perbatasan Kecamatan Ngawi - Kasreman,-7.4115086,111.4839797,0.4624434,2.747552054503531,A
Tugu Perbatasan Kecamatan Ngawi - Paron (Kebon),-7.4003245,111.3970695,0.7661723,1.8722214591362059,A
osm_123365141,-7.627355,111.131202,0.9628079,0.8644909773979508,A
Monumen Gerbong Maut,-7.9140563,113.8220181,0.71235794,0.5622853772446279,A
Kolam Air Segaran,-7.5579138,112.3829383,0.8069996,51.09787276864795,A
Candi Brahu,-7.5429066,112.3743651,0.6079154,47.747619296211745,A
Candi Gentong,-7.5435102,112.3780875,0.84373707,47.75156190439684,A
Patung Buddha Tidur,-7.5561301,112.3698228,0.8569399,51.193469932647794,A
Candi Wringin Lawang,-7.5418917,112.3909426,0.87244105,46.832783537880026,A
Tugu FKS,-7.1434195,113.3595413,0.75984746,0.7042084879108396,A
Pendopo Agung Trowulan,-7.5662385,112.380256,0.7634453,53.393508793301585,A
Monumen Jalesveva Jayamahe,-7.1954974,112.7396326,0.8024453,5.181208172365515,A
Monumen Kapal Selam,-7.2654793,112.750307,0.9328367,6.810648287888694,A
Monumen Yos Sudarso,-7.2233947,112.7208589,0.94472134,6.08630902536232,A
