lat,lon,sed_rate_mm_yr,depth_400ce_m,depth_200bce_m,depth_1000bce_m
-8.45,113.14999999999982,0.76,1.2,1.7,2.3
-8.45,113.19999999999982,0.71,1.2,1.6,2.1
-8.45,113.24999999999982,0.67,1.1,1.5,2.0
-8.45,113.29999999999981,0.63,1.0,1.4,1.9
-8.45,113.34999999999981,0.61,1.0,1.3,1.8
-8.45,113.3999999999998,0.59,1.0,1.3,1.8
-8.45,113.4499999999998,0.57,0.9,1.3,1.7
-8.45,113.4999999999998,0.56,0.9,1.3,1.7
-8.45,113.5499999999998,0.56,0.9,1.2,1.7
-8.45,113.5999999999998,0.56,0.9,1.3,1.7
-8.45,113.64999999999979,0.57,0.9,1.3,1.7
-8.45,113.69999999999979,0.59,1.0,1.3,1.8
-8.45,113.74999999999979,0.61,1.0,1.3,1.8
-8.45,113.79999999999978,0.63,1.0,1.4,1.9
-8.45,113.84999999999978,0.66,1.1,1.5,2.0
-8.45,113.89999999999978,0.69,1.1,1.5,2.1
-8.45,113.94999999999978,0.72,1.2,1.6,2.2
-8.45,113.99999999999977,0.74,1.2,1.6,2.2
-8.45,114.04999999999977,0.76,1.2,1.7,2.3
-8.45,114.09999999999977,0.76,1.2,1.7,2.3
-8.45,114.14999999999976,0.76,1.2,1.7,2.3
-8.45,114.19999999999976,0.74,1.2,1.7,2.2
-8.45,114.24999999999976,0.72,1.2,1.6,2.2
-8.45,114.29999999999976,0.7,1.1,1.6,2.1
-8.45,114.34999999999975,0.67,1.1,1.5,2.0
-8.45,114.39999999999975,0.64,1.0,1.4,1.9
-8.45,114.44999999999975,0.62,1.0,1.4,1.9
-8.399999999999999,110.0,0.51,0.8,1.1,1.5
-8.399999999999999,110.05,0.51,0.8,1.1,1.5
-8.399999999999999,110.1,0.51,0.8,1.1,1.5
-8.399999999999999,110.14999999999999,0.51,0.8,1.1,1.5
-8.399999999999999,110.19999999999999,0.51,0.8,1.1,1.5
-8.399999999999999,110.24999999999999,0.51,0.8,1.1,1.5
-8.399999999999999,110.29999999999998,0.51,0.8,1.1,1.5
-8.399999999999999,110.34999999999998,0.51,0.8,1.1,1.5
-8.399999999999999,110.39999999999998,0.51,0.8,1.1,1.5
-8.399999999999999,110.44999999999997,0.51,0.8,1.1,1.5
-8.399999999999999,110.49999999999997,0.51,0.8,1.1,1.5
-8.399999999999999,110.54999999999997,0.51,0.8,1.1,1.5
-8.399999999999999,110.59999999999997,0.51,0.8,1.1,1.5
-8.399999999999999,110.64999999999996,0.51,0.8,1.1,1.5
-8.399999999999999,110.69999999999996,0.51,0.8,1.1,1.5
-8.399999999999999,110.74999999999996,0.51,0.8,1.1,1.5
-8.399999999999999,110.79999999999995,0.51,0.8,1.1,1.5
-8.399999999999999,110.84999999999995,0.51,0.8,1.1,1.5
-8.399999999999999,110.89999999999995,0.51,0.8,1.1,1.5
-8.399999999999999,110.94999999999995,0.51,0.8,1.1,1.5
-8.399999999999999,110.99999999999994,0.51,0.8,1.1,1.5
-8.399999999999999,111.04999999999994,0.51,0.8,1.1,1.5
-8.399999999999999,111.09999999999994,0.51,0.8,1.1,1.5
-8.399999999999999,111.14999999999993,0.51,0.8,1.1,1.5
-8.399999999999999,111.19999999999993,0.51,0.8,1.1,1.5
-8.399999999999999,111.24999999999993,0.51,0.8,1.1,1.5
-8.399999999999999,111.29999999999993,0.51,0.8,1.1,1.5
-8.399999999999999,111.34999999999992,0.51,0.8,1.1,1.5
-8.399999999999999,111.39999999999992,0.51,0.8,1.1,1.5
-8.399999999999999,111.44999999999992,0.51,0.8,1.1,1.5
-8.399999999999999,111.49999999999991,0.51,0.8,1.1,1.5
-8.399999999999999,111.54999999999991,0.51,0.8,1.1,1.5
-8.399999999999999,111.59999999999991,0.51,0.8,1.1,1.5
-8.399999999999999,111.6499999999999,0.51,0.8,1.1,1.6
-8.399999999999999,111.6999999999999,0.52,0.8,1.1,1.6
-8.399999999999999,111.7499999999999,0.52,0.8,1.2,1.6
-8.399999999999999,111.7999999999999,0.53,0.9,1.2,1.6
-8.399999999999999,111.8499999999999,0.53,0.9,1.2,1.6
-8.399999999999999,111.89999999999989,0.54,0.9,1.2,1.6
-8.399999999999999,111.94999999999989,0.55,0.9,1.2,1.7
-8.399999999999999,111.99999999999989,0.57,0.9,1.3,1.7
-8.399999999999999,112.04999999999988,0.58,0.9,1.3,1.8
-8.399999999999999,112.09999999999988,0.6,1.0,1.3,1.8
-8.399999999999999,112.14999999999988,0.62,1.0,1.4,1.9
-8.399999999999999,112.19999999999987,0.63,1.0,1.4,1.9
-8.399999999999999,112.24999999999987,0.65,1.1,1.4,2.0
-8.399999999999999,112.29999999999987,0.67,1.1,1.5,2.0
-8.399999999999999,112.34999999999987,0.68,1.1,1.5,2.1
-8.399999999999999,112.39999999999986,0.7,1.1,1.6,2.1
-8.399999999999999,112.44999999999986,0.71,1.2,1.6,2.2
-8.399999999999999,112.49999999999986,0.74,1.2,1.6,2.2
-8.399999999999999,112.54999999999986,0.77,1.2,1.7,2.3
-8.399999999999999,112.59999999999985,0.8,1.3,1.8,2.4
-8.399999999999999,112.64999999999985,0.85,1.4,1.9,2.6
-8.399999999999999,112.69999999999985,0.91,1.5,2.0,2.7
-8.399999999999999,112.74999999999984,0.97,1.6,2.2,2.9
-8.399999999999999,112.79999999999984,1.03,1.7,2.3,3.1
-8.399999999999999,112.84999999999984,1.08,1.8,2.4,3.3
-8.399999999999999,112.89999999999984,1.1,1.8,2.5,3.3
-8.399999999999999,112.94999999999983,1.09,1.8,2.4,3.3
-8.399999999999999,112.99999999999983,1.05,1.7,2.3,3.2
-8.399999999999999,113.04999999999983,0.99,1.6,2.2,3.0
-8.399999999999999,113.09999999999982,0.92,1.5,2.0,2.8
-8.399999999999999,113.14999999999982,0.85,1.4,1.9,2.6
-8.399999999999999,113.19999999999982,0.78,1.3,1.7,2.4
-8.399999999999999,113.24999999999982,0.72,1.2,1.6,2.2
-8.399999999999999,113.29999999999981,0.67,1.1,1.5,2.0
-8.399999999999999,113.34999999999981,0.63,1.0,1.4,1.9
-8.399999999999999,113.3999999999998,0.61,1.0,1.3,1.8
-8.399999999999999,113.4499999999998,0.59,1.0,1.3,1.8
-8.399999999999999,113.4999999999998,0.58,0.9,1.3,1.7
-8.399999999999999,113.5499999999998,0.57,0.9,1.3,1.7
-8.399999999999999,113.5999999999998,0.58,0.9,1.3,1.7
-8.399999999999999,113.64999999999979,0.59,1.0,1.3,1.8
-8.399999999999999,113.69999999999979,0.61,1.0,1.4,1.8
-8.399999999999999,113.74999999999979,0.64,1.0,1.4,1.9
-8.399999999999999,113.79999999999978,0.67,1.1,1.5,2.0
-8.399999999999999,113.84999999999978,0.71,1.2,1.6,2.2
-8.399999999999999,113.89999999999978,0.76,1.2,1.7,2.3
-8.399999999999999,113.94999999999978,0.8,1.3,1.8,2.4
-8.399999999999999,113.99999999999977,0.84,1.4,1.9,2.5
-8.399999999999999,114.04999999999977,0.86,1.4,1.9,2.6
-8.399999999999999,114.09999999999977,0.87,1.4,1.9,2.6
-8.399999999999999,114.14999999999976,0.86,1.4,1.9,2.6
-8.399999999999999,114.19999999999976,0.84,1.4,1.9,2.6
-8.399999999999999,114.24999999999976,0.81,1.3,1.8,2.5
-8.399999999999999,114.29999999999976,0.77,1.3,1.7,2.3
-8.399999999999999,114.34999999999975,0.73,1.2,1.6,2.2
-8.399999999999999,114.39999999999975,0.69,1.1,1.5,2.1
-8.399999999999999,114.44999999999975,0.65,1.1,1.5,2.0
-8.349999999999998,110.0,0.51,0.8,1.1,1.5
-8.349999999999998,110.05,0.51,0.8,1.1,1.5
-8.349999999999998,110.1,0.51,0.8,1.1,1.5
-8.349999999999998,110.14999999999999,0.51,0.8,1.1,1.5
-8.349999999999998,110.19999999999999,0.51,0.8,1.1,1.5
-8.349999999999998,110.24999999999999,0.51,0.8,1.1,1.6
-8.349999999999998,110.29999999999998,0.51,0.8,1.1,1.6
-8.349999999999998,110.34999999999998,0.51,0.8,1.1,1.6
-8.349999999999998,110.39999999999998,0.51,0.8,1.1,1.6
-8.349999999999998,110.44999999999997,0.51,0.8,1.1,1.6
-8.349999999999998,110.49999999999997,0.51,0.8,1.1,1.6
-8.349999999999998,110.54999999999997,0.51,0.8,1.1,1.6
-8.349999999999998,110.59999999999997,0.51,0.8,1.1,1.6
-8.349999999999998,110.64999999999996,0.51,0.8,1.1,1.6
-8.349999999999998,110.69999999999996,0.51,0.8,1.1,1.6
-8.349999999999998,110.74999999999996,0.51,0.8,1.1,1.6
-8.349999999999998,110.79999999999995,0.51,0.8,1.1,1.6
-8.349999999999998,110.84999999999995,0.51,0.8,1.1,1.6
-8.349999999999998,110.89999999999995,0.51,0.8,1.1,1.6
-8.349999999999998,110.94999999999995,0.51,0.8,1.1,1.6
-8.349999999999998,110.99999999999994,0.51,0.8,1.1,1.6
-8.349999999999998,111.04999999999994,0.51,0.8,1.1,1.6
-8.349999999999998,111.09999999999994,0.51,0.8,1.1,1.6
-8.349999999999998,111.14999999999993,0.51,0.8,1.1,1.6
-8.349999999999998,111.19999999999993,0.51,0.8,1.1,1.6
-8.349999999999998,111.24999999999993,0.51,0.8,1.1,1.6
-8.349999999999998,111.29999999999993,0.51,0.8,1.1,1.6
-8.349999999999998,111.34999999999992,0.51,0.8,1.1,1.6
-8.349999999999998,111.39999999999992,0.51,0.8,1.1,1.6
-8.349999999999998,111.44999999999992,0.51,0.8,1.1,1.6
-8.349999999999998,111.49999999999991,0.51,0.8,1.1,1.6
-8.349999999999998,111.54999999999991,0.51,0.8,1.1,1.6
-8.349999999999998,111.59999999999991,0.51,0.8,1.1,1.6
-8.349999999999998,111.6499999999999,0.52,0.8,1.2,1.6
-8.349999999999998,111.6999999999999,0.52,0.8,1.2,1.6
-8.349999999999998,111.7499999999999,0.53,0.9,1.2,1.6
-8.349999999999998,111.7999999999999,0.53,0.9,1.2,1.6
-8.349999999999998,111.8499999999999,0.54,0.9,1.2,1.6
-8.349999999999998,111.89999999999989,0.56,0.9,1.2,1.7
