algorithm,design,seed_i,seed_j,jaccard,footprint_single_run_share,replaced_share
xgboost,random,8,9,0.563098415733769,0.43690158426623105,0.27950996550728086
xgboost,tgb,0,1,0.5356495192370416,0.4643504807629584,0.3023805073658097
xgboost,tgb,0,2,0.5416230092204526,0.4583769907795474,0.2973340356481403
xgboost,tgb,0,3,0.5500684787189212,0.44993152128107883,0.2902655769459501
xgboost,tgb,0,4,0.5662599300075847,0.4337400699924153,0.27692725944301905
xgboost,tgb,0,5,0.5668645669710604,0.43313543302893964,0.27643450631233757
xgboost,tgb,0,6,0.5515395971738901,0.4484604028261099,0.2890421898628787
xgboost,tgb,0,7,0.5474600336558687,0.4525399663441313,0.29244048731585476
xgboost,tgb,0,8,0.575631826943671,0.424368173056329,0.2693320646356176
xgboost,tgb,0,9,0.5277961657775528,0.47220383422244716,0.3090751533481725
xgboost,tgb,1,2,0.5018117791160559,0.4981882208839441,0.33172480587225806
xgboost,tgb,1,3,0.5290465055858664,0.4709534944141336,0.30800468965048516
xgboost,tgb,1,4,0.5280540049331429,0.4719459950668571,0.3088542640137292
xgboost,tgb,1,5,0.5453268390027439,0.4546731609972561,0.29422459347866714
xgboost,tgb,1,6,0.5475821083909648,0.4524178916090352,0.2923385383922655
xgboost,tgb,1,7,0.5169471866381421,0.4830528133618579,0.3184374628311216
xgboost,tgb,1,8,0.5405536286892219,0.45944637131077815,0.29823458447317897
xgboost,tgb,1,9,0.5283714649284545,0.47162853507154545,0.30858240021749106
xgboost,tgb,2,3,0.5559903234761457,0.44400967652385426,0.2853550371263997
xgboost,tgb,2,4,0.5577200481717243,0.44227995182827573,0.28392775219614974
xgboost,tgb,2,5,0.525815692933902,0.47418430706609804,0.3107743020746606
xgboost,tgb,2,6,0.5696435477203323,0.4303564522796677,0.27417463850610846
xgboost,tgb,2,7,0.5718654434250765,0.4281345565749235,0.2723735408560311
xgboost,tgb,2,8,0.5790984706198015,0.42090152938019854,0.2665454607241772
xgboost,tgb,2,9,0.5275582376224774,0.47244176237752256,0.30927905119535115
xgboost,tgb,3,4,0.5445968112328587,0.45540318876714125,0.29483628702020287
xgboost,tgb,3,5,0.5397072481588552,0.4602927518411448,0.29894822693830386
xgboost,tgb,3,6,0.5705650810594436,0.4294349189405564,0.27342701306645373
xgboost,tgb,3,7,0.5484779119635856,0.45152208803641436,0.29159091295261075
xgboost,tgb,3,8,0.586462517184678,0.413537482815322,0.2606664061305286
xgboost,tgb,3,9,0.5399086829676727,0.4600913170323273,0.29877831206565514
xgboost,tgb,4,5,0.5557024094315434,0.44429759056845664,0.2855929179481079
xgboost,tgb,4,6,0.5640330596082809,0.4359669403917191,0.27874534858036126
xgboost,tgb,4,7,0.5703555466613301,0.42964445333866985,0.2735969279391025
xgboost,tgb,4,8,0.5725164324266553,0.4274835675733447,0.27184680475081985
xgboost,tgb,4,9,0.535188856427379,0.464811143572621,0.30277131157290194
xgboost,tgb,5,6,0.5565253038177226,0.4434746961822774,0.28491325845751275
xgboost,tgb,5,7,0.5384193122557541,0.4615806877442459,0.3000356821232562
xgboost,tgb,5,8,0.571949411717571,0.42805058828242903,0.27230557490697166
xgboost,tgb,5,9,0.5276573653471771,0.4723426346528229,0.3091940937590268
xgboost,tgb,6,7,0.5774478007987349,0.4225521992012651,0.2678707967308378
xgboost,tgb,6,8,0.5757583871054112,0.42424161289458884,0.2692301157120282
xgboost,tgb,6,9,0.5644072301967039,0.4355927698032961,0.27843950180959337
xgboost,tgb,7,8,0.5733572154199861,0.4266427845800139,0.2711671452602247
xgboost,tgb,7,9,0.5527062144656826,0.4472937855343174,0.2880736750887805
xgboost,tgb,8,9,0.5604873457158387,0.4395126542841613,0.28165089290265577
xgboost,hybrid,0,1,0.5526857323765302,0.4473142676234698,0.28809066657604543
xgboost,hybrid,0,2,0.5398281027197447,0.4601718972802553,0.2988462780147146
xgboost,hybrid,0,3,0.5519691995306093,0.4480308004693907,0.2886853686303162
xgboost,hybrid,0,4,0.5212210504549214,0.4787789495450786,0.31473331860737774
xgboost,hybrid,0,5,0.5419461328861874,0.4580538671138126,0.29706217185190215
xgboost,hybrid,0,6,0.5145268792300368,0.4854731207699632,0.32054440725196676
xgboost,hybrid,0,7,0.5347684925612507,0.4652315074387493,0.30312813280546447
xgboost,hybrid,0,8,0.532051699228156,0.467948300771844,0.3054389750734883
xgboost,hybrid,0,9,0.5283119311320877,0.47168806886791226,0.30863337467928564
xgboost,hybrid,1,2,0.5471956044533828,0.4528043955466172,0.2926613766502982
xgboost,hybrid,1,3,0.5691413488328689,0.43085865116713107,0.2745824342004656
xgboost,hybrid,1,4,0.5349085882690452,0.4650914117309548,0.3030091923946103
xgboost,hybrid,1,5,0.5401101704894867,0.45988982951051327,0.29860839719300625
xgboost,hybrid,1,6,0.5292650287778197,0.47073497122218033,0.30781778329057136
xgboost,hybrid,1,7,0.5131445320032395,0.4868554679967605,0.3217508028477733
