title,date,source,identifier,relevance,phase1_tags,text_length,n_depths,depths_m,depth_contexts,n_locations,locations,primary_lat,primary_lon,materials,volcanic_context,has_depth,has_volcanic
Oudheidkundige Vondsten op Balt.,1925/09/30,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000429026:mpeg21:a00070:ocr,3,ARCHAEOLOGY,2182,0,,,0,,,,statue; temple; inscription,,False,False
De Javasche ramp.,1883/10/06,KB 1640 C 1,http://resolver.kb.nl/resolve?urn=ddd:110536912:mpeg21:a0057:ocr,3,VOLCANIC; JAVA,9213,0,,,1,"Batavia (-6.17,106.83)",-6.17,106.83,stone; statue,vulkaan; vulkanisch; lava; asch; uitbarsting; modder,False,True
DE OPNIEUW ONTDEKTE TJANDI De eenlge baksteenen tempel,1932/10/01,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:011023954:mpeg21:a0183:ocr,3,TEMPLE; STONE,1695,0,,,2,"Djokja (-7.80,110.36); Prambanan (-7.75,110.49)",-7.8,110.36,metal; stone; statue; temple,,False,False
DE OPNIEUW ONTDEKTE TJANDI De eenige baksteenen tempel,1932/10/01,KB 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010361724:mpeg21:a0182:ocr,3,TEMPLE; STONE,1691,0,,,2,"Djokja (-7.80,110.36); Prambanan (-7.75,110.49)",-7.8,110.36,metal; stone; statue; temple,,False,False
De Tjandi’s van Midden-Java. (Vervolg van de derde pagina). De Boroboedoer.,1936/05/22,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003463035:mpeg21:a00249:ocr,3,TEMPLE; JAVA,3703,0,,,2,"Magelang (-7.47,110.22); Boroboedoer (-7.61,110.20)",-7.47,110.22,stone; statue; temple,vulkanisch,False,True
Oudheidkundige vondsten.,1938/04/04,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011110511:mpeg21:a0219:ocr,3,ARCHAEOLOGY,1518,0,,,2,"Singosari (-7.89,112.66); Batavia (-6.17,106.83)",-7.89,112.66,stone; metal; temple,,False,False
Oudheidkundige Vondsten,1938/04/05,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010226648:mpeg21:a0074:ocr,3,ARCHAEOLOGY,1189,0,,,2,"Singosari (-7.89,112.66); Batavia (-6.17,106.83)",-7.89,112.66,stone; metal; temple,,False,False
Oudheidkundige vondst,1938/10/31,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121187:mpeg21:a0210:ocr,3,ARCHAEOLOGY,875,0,,,1,"Singosari (-7.89,112.66)",-7.89,112.66,statue,,False,False
OUDHEIDKUNDIGE RAPPORTEN. Als monografieën.,1941/03/14,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/41-2",http://resolver.kb.nl/resolve?urn=ddd:011176614:mpeg21:a0060:ocr,3,ARCHAEOLOGY,2127,0,,,1,"Singosari (-7.89,112.66)",-7.89,112.66,,,False,False
Oudheidkundige schatten moeten teruggegeven,1951/04/11,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000288078:mpeg21:a00015:ocr,3,ARCHAEOLOGY,5647,0,,,5,"Modjokerto (-7.47,112.43); Singosari (-7.89,112.66); Kediri (-7.82,112.01); Solo (-7.57,110.82); Bandung (-6.91,107.61)",-7.47,112.43,statue; bone,,False,False
