title,date,source,identifier,description,relevance,tags
NIET- OFFICIEEL GEDEELTE.,1911/03/31,Het Utrechts Archief,http://resolver.kb.nl/resolve?urn=MMUTRA04:253186154:mpeg21:a00046:ocr,,0,
LAND- EN ZEEMACHT. DE OPLEIDING VOOR VERLOFSOFFICIEREN.,1924/08/09,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000194797:mpeg21:a0007:ocr,,0,
Nederlandsche Oost-Indie.,1896/01/16,Regionaal Archief Zutphen,http://resolver.kb.nl/resolve?urn=MMRAZ02:000352013:mpeg21:a00007:ocr,,0,
Berigten van verschillenden aard.,1862/12/30,Koninklijke Bibliotheek C 135,http://resolver.kb.nl/resolve?urn=ddd:011193002:mpeg21:a0014:ocr,,0,
NEDERLANDSCH-INDIË.,1931/01/16,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:002134013:mpeg21:a00002:ocr,,0,
Eenige weken op een zendingspost. LOSSE AANTEEKENINGEN. Onderzoekt alle dingen en behoudt het goede.,1881/08/26,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011085943:mpeg21:a0001:ocr,,0,
"niet vervaardigd door Malajoe-Polinesische volksgroepen,",1926/08/01,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010028558:mpeg21:a0049:ocr,,0,
NEDERLANDSCH-INDIE,1927/03/23,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000076068:mpeg21:a00078:ocr,,0,
Stoomvaartlijnen.,1905/04/14,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010650423:mpeg21:a0055:ocr,,0,
Praehistorische vondsten. AFWIJKEND VAN TOT DUSVER GEVONDEN PRAEHISTORICA.,1934/07/04,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010971210:mpeg21:a0173:ocr,,0,
NEDERLAND,1939/03/11,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000136058:mpeg21:a00013:ocr,,0,
NEDERLANDSCH INDIË. UIT DE MAILBLADEN. De Snellius-expeditie.,1930/03/01,Koninklijke Bibliotheek MM03C-101506,http://resolver.kb.nl/resolve?urn=ddd:011169927:mpeg21:a0105:ocr,,0,
PRAE-HISTORISCH ONDERZOEK IN INDIE Wat gevonden werd.,1929/08/12,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010970441:mpeg21:a0003:ocr,,0,
NATUURWETENSCHAP. PITIHEOANTHROPUS ERECTOS. DE RECHTOPGAANDE AAPMENSCH.,1913/01/18,KB NBM Mfm MMK 0032 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010022428:mpeg21:a0057:ocr,,0,
"„Operatie Paashaas”, geslaagde tocht door Pasoendan Eskadron Pantserwagens houdt Nederlandse driekleur hoog „Dit moesten ze eens in-Holland zien” Eén met land en volk",1948/04/16,Universiteitsbibliotheek Leiden S 9462,http://resolver.kb.nl/resolve?urn=ddd:010898109:mpeg21:a0033:ocr,,0,
Advertentie,1839/08/01,KB T948,http://resolver.kb.nl/resolve?urn=ddd:010066095:mpeg21:a0008:ocr,,0,
Allerlei.,1870/07/14,Het Utrechts Archief,http://resolver.kb.nl/resolve?urn=MMUTRA04:253105012:mpeg21:a00012:ocr,,0,
ZUID-BOLLAND.,1908/12/09,KB C226,http://resolver.kb.nl/resolve?urn=ddd:010108253:mpeg21:a0160:ocr,,0,
NEDERL.-INDIE,1938/03/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000701068:mpeg21:a00020:ocr,,0,
OOST-INDIE.,1929/12/04,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000146265:mpeg21:a0023:ocr,,0,
Een Odyssea.,1930/01/25,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010228799:mpeg21:a0231:ocr,,0,
Een Odyssea.,1930/01/29,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000442024:mpeg21:a00053:ocr,,0,
EEN ODYSSEA. De expeditie van de Snellius.,1930/03/11,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:017913118:mpeg21:a00017:ocr,,0,
Uit het Moederland. PERSONALIA.,1914/03/16,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB08:000126652:mpeg21:a0021:ocr,,0,
Over Petroleum Exploratie Maatschappijen.,1902/02/15,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000037038:mpeg21:a00002:ocr,,0,
Onze voorloopers op deze aarde. Een en ander over resten van primitieve menschenrassen.,1932/06/29,CODA Apeldoorn,http://resolver.kb.nl/resolve?urn=MMCODA01:000156751:mpeg21:a0047:ocr,,0,
Onze voorloopers op deze aarde Een en ander over resten van primitieve menschenrassen. Een eeuw anthropologisch onderzoek.,1932/07/15,Regionaal Archief Nijmegen,http://resolver.kb.nl/resolve?urn=MMRANM02:000029628:mpeg21:a0053:ocr,,0,
WETENSCHAPPEN. Onze voorloopers op deze aarde.,1932/08/06,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010284064:mpeg21:a0278:ocr,,0,
Laatste Berichten,1911/08/08,Stadsarchief 's-Hertogenbosch,http://resolver.kb.nl/resolve?urn=MMSADB01:000011607:mpeg21:a0004:ocr,,0,
