title,date,source,identifier,description,subject,relevance,tags,depth_m
Oude tempels bij Malang.,1925/06/06,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010657593:mpeg21:a0145:ocr,,,3,TEMPLE; JAVA,
Oudheidkundige vondsten in Palembang.,1935/05/04,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010663926:mpeg21:a0198:ocr,,,3,ARCHAEOLOGY,
OUDHEIDKUNDIGE VONDSTEN. Geen ophef gewettigd.,1935/07/22,KB 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010382280:mpeg21:a0048:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige vondsten ERNSTIGE OVERDRIJVING,1935/06/11,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010971191:mpeg21:a0082:ocr,,,3,ARCHAEOLOGY,
OUDHEIDKUNDIGE VONDSTEN IN INDIE.,1937/08/18,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB32:164690042:mpeg21:a00046:ocr,,,3,ARCHAEOLOGY,
BEELDEN VIT MIDDEN- EN OOST-JAVA.,1937/11/20,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003465039:mpeg21:a00302:ocr,,,3,STATUE; JAVA,
Oudheden in het Loemadjangsche. Belangrijke vondsten.,1938/01/13,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003460021:mpeg21:a00130:ocr,,,3,ARCHAEOLOGY,
"De Vondsten op Celebes. Verwachtingen verre overtroffen, zegt dr. Stein. De eerste conclusies van den oudheidkundige.",1933/09/18,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001747032:mpeg21:a00154:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige dienst.,1937/10/14,KB NBM C 44 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010017463:mpeg21:a0238:ocr,,,3,ARCHAEOLOGY,
Op zoek naar de aapmens Ned. oudheidkundige naar Z. Afrika,1951/01/09,Regionaal Archief Zutphen,http://resolver.kb.nl/resolve?urn=MMRAZ03:179298007:mpeg21:a00078:ocr,,,3,ARCHAEOLOGY,
Op zoek naar de aapmens Ned. oudheidkundige naar Z. Afrika,1950/12/28,Historisch Centrum Overijssel,http://resolver.kb.nl/resolve?urn=MMHCO02:163902100:mpeg21:a00119:ocr,,,3,ARCHAEOLOGY,
"De Oudheidkundige Dienst, Het jaarverslag over 1938.",1939/06/06,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003473065:mpeg21:a00131:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige Dienst.,1939/06/07,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000477054:mpeg21:a00041:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige vondsten op Bali.,1925/09/26,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001695061:mpeg21:a00011:ocr,,,3,ARCHAEOLOGY,
Voorwerpen met Oudheidkundige Waarde.,1925/11/20,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000429069:mpeg21:a00087:ocr,,,3,ARCHAEOLOGY,
KOSTBARE OUDHEIDKUNDIGE VONDSTEN.,1934/06/28,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000456114:mpeg21:a00019:ocr,,,3,ARCHAEOLOGY,
WETENSCHAPPEN. OUDHEIDKUNDIGE VOORWERPEN. Medewerking gevraagd.,1925/11/13,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010278033:mpeg21:a0082:ocr,,,3,ARCHAEOLOGY,
LETTEREN EN KUNST. OUDHEIDKUNDIGE VONDSTEN OP BALL.,1925/10/31,Tilburg University Library,http://resolver.kb.nl/resolve?urn=MMKB23:001960105:mpeg21:a00087:ocr,,,3,ARCHAEOLOGY,
Voorwerpen van oudheidkundige waarde.,1925/11/18,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001698045:mpeg21:a00023:ocr,,,3,ARCHAEOLOGY,
Voorwerpen van Oudheidkundige Waarde.,1925/11/21,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011071720:mpeg21:a0132:ocr,,,3,ARCHAEOLOGY,
HET NIEUWS VAN DEN DAG  VOOR NEDERLANDSCH-INDIË. Oude Steen-Cultuur Bewaard Gebleven ? Oude Man in Goenoeng Kidoelsche Ontdekt die met Primitieve Middelen Beelden Maakt Merkwaardige Voortzetting van Vroegere Kunst. De Beelden in Tapa-Houding.,1936/08/08,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010230487:mpeg21:a0334:ocr,,,3,STATUE; STONE,
DE OUDHEIDKUNDIGE OPGRAVINGEN TE MODJOPAIT. (Van onzen correspondent.) BIZONDERHEDEN OVER DE OPPERVORSTELIJKE RESIDENTIE. Kedaton en kraton.,1941/07/24,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/41-3",http://resolver.kb.nl/resolve?urn=ddd:011176495:mpeg21:a0131:ocr,,,3,ARCHAEOLOGY,
WETENSCHAPPEN. BALI. Oudheidkundige vondsten.,1925/09/28,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010277994:mpeg21:a0181:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige vondsten op Ball. BALI EN LOMBOK.,1925/10/27,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010028094:mpeg21:a0149:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige vondsten op Bali.,1925/09/25,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010220370:mpeg21:a0012:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige Vondsten op Balt.,1925/09/30,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000429026:mpeg21:a00070:ocr,,,3,ARCHAEOLOGY,
De Javasche ramp.,1883/10/06,KB 1640 C 1,http://resolver.kb.nl/resolve?urn=ddd:110536912:mpeg21:a0057:ocr,,,3,VOLCANIC; JAVA,
DE OPNIEUW ONTDEKTE TJANDI De eenlge baksteenen tempel,1932/10/01,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:011023954:mpeg21:a0183:ocr,,,3,TEMPLE; STONE,
DE OPNIEUW ONTDEKTE TJANDI De eenige baksteenen tempel,1932/10/01,KB 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010361724:mpeg21:a0182:ocr,,,3,TEMPLE; STONE,
De Tjandi’s van Midden-Java. (Vervolg van de derde pagina). De Boroboedoer.,1936/05/22,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003463035:mpeg21:a00249:ocr,,,3,TEMPLE; JAVA,
Oudheidkundige vondsten.,1938/04/04,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011110511:mpeg21:a0219:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige Vondsten,1938/04/05,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010226648:mpeg21:a0074:ocr,,,3,ARCHAEOLOGY,
Oudheidkundige vondst,1938/10/31,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121187:mpeg21:a0210:ocr,,,3,ARCHAEOLOGY,
